11	a	ban	on	late-term	abortions	at1	nn1	ii	jj	nn2
19	a	large	man	with	a	at1	jj	nn1	iw	at1
7	a	large	map	of	the	at1	jj	nn1	io	at
8	a	large	metropolitan	area	in	at1	jj	jj	nn1	ii
5	a	large	military	presence	in	at1	jj	jj	nn1	ii
5	a	large	minority	of	the	at1	jj	nn1	io	at
16	a	large	mixing	bowl	and	at1	jj	nn1	nn1	cc
6	a	large	national	sample	of	at1	jj	jj	nn1	io
14	a	large	no-stick	frying	pan	at1	jj	jj	nn1	nn1
14	a	large	nonstick	frying	pan	at1	jj	nn1	nn1	nn1
11	a	large	nonstick	skillet	on	at1	jj	nn1	nn1	ii
5	a	large	nonstick	skillet	or	at1	jj	nn1	nn1	cc
65	a	large	nonstick	skillet	over	at1	jj	jj	nn1	ii
50	a	large	nonstick	skillet	over	at1	jj	nn1	nn1	ii
13	a	large	nonstick	skillet	with	at1	jj	jj	nn1	iw
5	a	large	number	of	African	at1	jj	nn1	io	jj
18	a	large	number	of	American	at1	jj	nn1	io	jj
17	a	large	number	of	Americans	at1	jj	nn1	io	nn2
6	a	large	number	of	black	at1	jj	nn1	io	jj
5	a	large	number	of	blacks	at1	jj	nn1	io	nn2
22	a	large	number	of	cases	at1	jj	nn1	io	nn2
16	a	large	number	of	children	at1	jj	nn1	io	nn2
6	a	large	number	of	civilians	at1	jj	nn1	io	nn2
10	a	large	number	of	countries	at1	jj	nn1	io	nn2
20	a	large	number	of	different	at1	jj	nn1	io	jj
6	a	large	number	of	female	at1	jj	nn1	io	jj
5	a	large	number	of	foreign	at1	jj	nn1	io	jj
16	a	large	number	of	his	at1	jj	nn1	io	appge
5	a	large	number	of	immigrants	at1	jj	nn1	io	nn2
5	a	large	number	of	independent	at1	jj	nn1	io	jj
12	a	large	number	of	individuals	at1	jj	nn1	io	nn2
5	a	large	number	of	international	at1	jj	nn1	io	jj
6	a	large	number	of	items	at1	jj	nn1	io	nn2
8	a	large	number	of	jobs	at1	jj	nn1	io	nn2
13	a	large	number	of	men	at1	jj	nn1	io	nn2
19	a	large	number	of	new	at1	jj	nn1	io	jj
23	a	large	number	of	other	at1	jj	nn1	io	jj
6	a	large	number	of	our	at1	jj	nn1	io	appge
9	a	large	number	of	participants	at1	jj	nn1	io	nn2
18	a	large	number	of	patients	at1	jj	nn1	io	nn2
167	a	large	number	of	people	at1	jj	nn1	io	nn
10	A	large	number	of	people	at1	jj	nn1	io	nn
6	a	large	number	of	possible	at1	jj	nn1	io	jj
6	a	large	number	of	potential	at1	jj	nn1	io	jj
5	a	large	number	of	readers	at1	jj	nn1	io	nn2
5	a	large	number	of	respondents	at1	jj	nn1	io	nn2
20	a	large	number	of	small	at1	jj	nn1	io	jj
5	a	large	number	of	social	at1	jj	nn1	io	jj
35	a	large	number	of	students	at1	jj	nn1	io	nn2
7	A	large	number	of	students	at1	jj	nn1	io	nn2
15	a	large	number	of	studies	at1	jj	nn1	io	nn2
8	a	large	number	of	teachers	at1	jj	nn1	io	nn2
56	a	large	number	of	the	at1	jj	nn1	io	at
10	A	large	number	of	the	at1	jj	nn1	io	at
6	a	large	number	of	their	at1	jj	nn1	io	appge
48	a	large	number	of	them	at1	jj	nn1	io	ppho2
12	A	large	number	of	them	at1	jj	nn1	io	ppho2
20	a	large	number	of	these	at1	jj	nn1	io	dd2
5	a	large	number	of	things	at1	jj	nn1	io	nn2
13	a	large	number	of	those	at1	jj	nn1	io	dd2
5	a	large	number	of	times	at1	jj	nn1	io	nnt2
5	a	large	number	of	topics	at1	jj	nn1	io	nn2
11	a	large	number	of	troops	at1	jj	nn1	io	nn2
9	a	large	number	of	very	at1	jj	nn1	io	rg
8	a	large	number	of	voters	at1	jj	nn1	io	nn2
11	a	large	number	of	women	at1	jj	nn1	io	nn2
11	a	large	number	of	workers	at1	jj	nn1	io	nn2
10	a	large	number	of	young	at1	jj	nn1	io	jj
5	a	large	oil	painting	of	at1	jj	nn1	nn1	io
5	a	large	ovenproof	frying	pan	at1	jj	jj	nn1	nn1
10	a	large	ovenproof	skillet	over	at1	jj	jj	nn1	ii
6	a	large	painting	of	a	at1	jj	nn1	io	at1
5	a	large	painting	of	the	at1	jj	nn1	io	at
7	a	large	pair	of	scissors	at1	jj	nn	io	nn2
10	a	large	part	in	the	at1	jj	nn1	ii	at
6	a	large	part	in	this	at1	jj	nn1	ii	dd1
7	a	large	part	of	a	at1	jj	nn1	io	at1
13	a	large	part	of	her	at1	jj	nn1	io	appge
43	a	large	part	of	his	at1	jj	nn1	io	appge
5	A	large	part	of	his	at1	jj	nn1	io	appge
36	a	large	part	of	it	at1	jj	nn1	io	pph1
18	a	large	part	of	its	at1	jj	nn1	io	appge
24	a	large	part	of	my	at1	jj	nn1	io	appge
24	a	large	part	of	our	at1	jj	nn1	io	appge
5	A	large	part	of	our	at1	jj	nn1	io	appge
25	a	large	part	of	that	at1	jj	nn1	io	dd1
8	A	large	part	of	that	at1	jj	nn1	io	dd1
352	a	large	part	of	the	at1	jj	nn1	io	at
54	A	large	part	of	the	at1	jj	nn1	io	at
42	a	large	part	of	their	at1	jj	nn1	io	appge
22	a	large	part	of	this	at1	jj	nn1	io	dd1
6	A	large	part	of	this	at1	jj	nn1	io	dd1
31	a	large	part	of	what	at1	jj	nn1	io	ddq
7	a	large	part	of	which	at1	jj	nn1	io	ddq
11	a	large	part	of	why	at1	jj	nn1	io	rrq
8	a	large	part	of	your	at1	jj	nn1	io	appge
6	a	large	percentage	of	a	at1	jj	nn1	io	at1
10	a	large	percentage	of	its	at1	jj	nn1	io	appge
5	a	large	percentage	of	our	at1	jj	nn1	io	appge
6	a	large	percentage	of	people	at1	jj	nn1	io	nn
6	a	large	percentage	of	students	at1	jj	nn1	io	nn2
119	a	large	percentage	of	the	at1	jj	nn1	io	at
15	A	large	percentage	of	the	at1	jj	nn1	io	at
15	a	large	percentage	of	their	at1	jj	nn1	io	appge
7	a	large	percentage	of	those	at1	jj	nn1	io	dd2
8	a	large	percentage	of	users	at1	jj	nn1	io	nn2
6	a	large	piece	of	aluminum	at1	jj	nn1	io	nn1
6	a	large	piece	of	furniture	at1	jj	nn1	io	nn1
7	a	large	piece	of	glass	at1	jj	nn1	io	nn1
8	a	large	piece	of	paper	at1	jj	nn1	io	nn1
12	a	large	piece	of	the	at1	jj	nn1	io	at
5	a	large	pinch	of	salt	at1	jj	nn1	io	nn1
5	a	large	plastic	cup	of	at1	jj	nn1	nn1	io
5	a	large	pool	of	water	at1	jj	nn1	io	nn1
8	a	large	population	of	people	at1	jj	nn1	io	nn
5	a	large	population	of	young	at1	jj	nn1	io	jj
6	a	large	portion	of	a	at1	jj	nn1	io	at1
5	a	large	portion	of	her	at1	jj	nn1	io	appge
15	a	large	portion	of	his	at1	jj	nn1	io	appge
7	a	large	portion	of	it	at1	jj	nn1	io	pph1
14	a	large	portion	of	its	at1	jj	nn1	io	appge
10	a	large	portion	of	my	at1	jj	nn1	io	appge
12	a	large	portion	of	our	at1	jj	nn1	io	appge
9	a	large	portion	of	that	at1	jj	nn1	io	dd1
178	a	large	portion	of	the	at1	jj	nn1	io	at
27	A	large	portion	of	the	at1	jj	nn1	io	at
27	a	large	portion	of	their	at1	jj	nn1	io	appge
10	a	large	portion	of	this	at1	jj	nn1	io	dd1
7	a	large	portion	of	your	at1	jj	nn1	io	appge
6	a	large	pot	and	add	at1	jj	nn1	cc	vv0
7	a	large	pot	and	cover	at1	jj	nn1	cc	vv0
50	a	large	pot	of	boiling	at1	jj	nn1	io	jj
10	a	large	pot	of	lightly	at1	jj	nn1	io	rr
5	a	large	pot	of	rapidly	at1	jj	nn1	io	rr
55	a	large	pot	of	salted	at1	jj	nn1	io	jj
71	a	large	pot	of	water	at1	jj	nn1	io	nn1
7	a	large	pot	of	well-salted	at1	jj	nn1	io	jj
5	a	large	pot	or	Dutch	at1	jj	nn1	cc	jj
9	a	large	pot	over	high	at1	jj	nn1	ii	jj
11	a	large	pot	over	medium	at1	jj	nn1	ii	jj
20	a	large	pot	over	medium-high	at1	jj	nn1	ii	jj
5	a	large	pot	with	a	at1	jj	nn1	iw	at1
6	a	large	pot	with	water	at1	jj	nn1	iw	nn1
6	a	large	presence	in	the	at1	jj	nn1	ii	at
6	a	large	proportion	of	its	at1	jj	nn1	io	appge
7	a	large	proportion	of	our	at1	jj	nn1	io	appge
91	a	large	proportion	of	the	at1	jj	nn1	io	at
20	A	large	proportion	of	the	at1	jj	nn1	io	at
7	a	large	proportion	of	their	at1	jj	nn1	io	appge
8	a	large	proportion	of	them	at1	jj	nn1	io	ppho2
5	a	large	proportion	of	whom	at1	jj	nn1	io	pnqo
5	a	large	proportion	of	women	at1	jj	nn1	io	nn2
11	a	large	public	university	in	at1	jj	jj	nn1	ii
9	a	large	resealable	plastic	bag	at1	jj	jj	nn1	nn1
8	a	large	roasting	pan	or	at1	jj	jj	nn1	cc
6	a	large	roasting	pan	with	at1	jj	jj	nn1	iw
8	a	large	role	in	determining	at1	jj	nn1	ii	vvg
41	a	large	role	in	the	at1	jj	nn1	ii	at
5	a	large	role	in	their	at1	jj	nn1	ii	appge
6	a	large	room	filled	with	at1	jj	nn1	vvn	iw
5	a	large	room	in	the	at1	jj	nn1	ii	at
13	a	large	room	with	a	at1	jj	nn1	iw	at1
9	a	large	saucepan	of	water	at1	jj	nn1	io	nn1
12	a	large	saucepan	over	high	at1	jj	nn1	ii	jj
51	a	large	saucepan	over	medium	at1	jj	nn1	ii	jj
30	a	large	saucepan	over	medium-high	at1	jj	nn1	ii	jj
11	a	large	saucepan	over	medium-low	at1	jj	nn1	ii	jj
6	a	large	saute	pan	or	at1	jj	nn1	nn1	cc
23	a	large	saute	pan	over	at1	jj	nn1	nn1	ii
7	a	large	scale	in	the	at1	jj	nn1	ii	at
31	a	large	section	of	the	at1	jj	nn1	io	at
7	a	large	segment	of	our	at1	jj	nn1	io	appge
91	a	large	segment	of	the	at1	jj	nn1	io	at
5	a	large	series	of	patients	at1	jj	nn	io	nn2
7	a	large	serving	bowl	and	at1	jj	nn1	nn1	cc
9	a	large	shallow	dish	or	at1	jj	jj	nn1	cc
6	a	large	share	of	its	at1	jj	nn1	io	appge
64	a	large	share	of	the	at1	jj	nn1	io	at
6	a	large	share	of	their	at1	jj	nn1	io	appge
14	a	large	sheet	of	paper	at1	jj	nn1	io	nn1
5	a	large	sheet	of	plastic	at1	jj	nn1	io	nn1
11	a	large	skillet	or	wok	at1	jj	nn1	cc	vv0
5	a	large	skillet	or	wok	at1	jj	nn1	cc	nn1
15	a	large	skillet	over	high	at1	jj	nn1	ii	jj
9	a	large	skillet	over	low	at1	jj	nn1	ii	jj
9	a	large	skillet	over	low	at1	jj	nn1	ii	jj
143	a	large	skillet	over	medium	at1	jj	nn1	ii	jj
160	a	large	skillet	over	medium-high	at1	jj	nn1	ii	jj
17	a	large	skillet	over	medium-low	at1	jj	nn1	ii	jj
7	a	large	skillet	over	mediumhigh	at1	jj	nn1	ii	nn1
7	a	large	skillet	over	moderate	at1	jj	nn1	ii	jj
5	a	large	skillet	until	crisp	at1	jj	nn1	cs	jj
7	a	large	slice	of	the	at1	jj	nn1	io	at
9	a	large	stake	in	the	at1	jj	nn1	ii	at
6	a	large	step	forward	with	at1	jj	nn1	rl	iw
5	a	large	stockpot	over	medium	at1	jj	nn1	ii	jj
71	a	large	sum	of	money	at1	jj	nn1	io	nn1
12	a	large	swath	of	the	at1	jj	nn1	io	at
7	a	large	table	in	the	at1	jj	nn1	ii	at
8	a	large	tract	of	land	at1	jj	nn1	io	nn1
9	a	large	university	in	the	at1	jj	nn1	ii	at
12	a	large	urban	school	district	at1	jj	jj	nn1	nn1
8	a	large	volume	of	water	at1	jj	nn1	io	nn1
6	a	large	wok	or	skillet	at1	jj	nn1	cc	nn1
5	a	large	woman	in	a	at1	jj	nn1	ii	at1
7	a	large	zip-top	plastic	bag	at1	jj	jj	nn1	nn1
21	a	large	zip-top	plastic	freezer	at1	jj	jj	nn1	nn1
5	a	last-ditch	effort	to	avoid	at1	jj	nn1	to	vvi
5	a	last-ditch	effort	to	find	at1	jj	nn1	to	vvi
9	a	last-ditch	effort	to	get	at1	jj	nn1	to	vvi
8	a	last-ditch	effort	to	save	at1	jj	nn1	to	vvi
14	a	lasting	effect	on	the	at1	jj	nn1	ii	at
16	a	lasting	impact	on	the	at1	jj	nn1	ii	at
7	a	lasting	impression	on	me	at1	jj	nn1	ii	ppio1
9	a	lasting	impression	on	the	at1	jj	nn1	ii	at
7	a	lasting	imprint	on	the	at1	jj	nn1	ii	at
10	a	lasting	peace	in	the	at1	jj	nn1	ii	at
8	a	lasting	solution	to	the	at1	jj	nn1	ii	at
9	a	late	addition	to	the	at1	jj	nn1	ii	at
6	a	late	lunch	at	the	at1	jj	nn1	ii	at
5	a	late	night	in	the	at1	jj	nnt1	ii	at
9	a	leading	advocate	of	the	at1	jj	nn1	io	at
10	a	leading	authority	on	the	at1	jj	nn1	ii	at
12	a	leading	candidate	for	the	at1	jj	nn1	if	at
6	a	leading	cause	of	blindness	at1	jj	nn1	io	nn1
23	a	leading	cause	of	death	at1	jj	nn1	io	nn1
5	a	leading	contender	for	a	at1	jj	nn1	if	at1
10	a	leading	contender	for	the	at1	jj	nn1	if	at
9	a	leading	critic	of	the	at1	jj	nn1	io	at
9	a	leading	expert	in	the	at1	jj	nn1	ii	at
10	a	leading	expert	on	the	at1	jj	nn1	ii	at
31	a	leading	figure	in	the	at1	jj	nn1	ii	at
5	a	leading	figure	of	the	at1	jj	nn1	io	at
6	a	leading	force	in	the	at1	jj	nn1	ii	at
42	a	leading	member	of	the	at1	jj	nn1	io	at
9	a	leading	opponent	of	the	at1	jj	nn1	io	at
6	a	leading	proponent	of	the	at1	jj	nn1	io	at
12	a	leading	researcher	in	the	at1	jj	nn1	ii	at
11	a	leading	role	in	a	at1	jj	nn1	ii	at1
5	a	leading	role	in	organizing	at1	jj	nn1	ii	vvg
89	a	leading	role	in	the	at1	jj	nn1	ii	at
5	a	leading	supporter	of	the	at1	jj	nn1	io	at
5	a	leading	voice	in	the	at1	jj	nn1	ii	at
5	a	left	endolymphatic	subarachnoid	shunt	at1	jj	jj	jj	nn1
7	a	left	hook	to	the	at1	jj	nn1	ii	at
5	a	legal	adviser	to	the	at1	jj	nn1	ii	at
56	a	legal	affairs	writer	for	at1	jj	nn2	nn1	if
5	a	legal	analyst	for	ABC	at1	jj	nn1	if	np1
7	a	legal	battle	over	the	at1	jj	nn1	ii	at
10	a	legal	battle	with	the	at1	jj	nn1	iw	at
13	a	legal	challenge	to	the	at1	jj	nn1	ii	at
5	a	legal	leg	to	stand	at1	jj	nn1	to	vvi
5	a	legal	opinion	from	the	at1	jj	nn1	ii	at
5	a	legal	pad	and	a	at1	jj	nn1	cc	at1
29	a	legal	point	of	view	at1	jj	nn1	io	nn1
13	a	legal	resident	of	the	at1	jj	nn1	io	at
9	a	legal	system	that	is	at1	jj	nn1	cst	vbz
10	a	legal	transcript	for	purposes	at1	jj	nn1	if	nn2
8	a	legitimate	chance	to	win	at1	jj	nn1	to	vvi
6	a	legitimate	claim	to	the	at1	jj	nn1	ii	at
6	a	legitimate	interest	in	the	at1	jj	nn1	ii	at
5	a	legitimate	member	of	the	at1	jj	nn1	io	at
14	a	legitimate	part	of	the	at1	jj	nn1	io	at
7	a	legitimate	place	in	the	at1	jj	nn1	ii	at
9	a	legitimate	point	of	view	at1	jj	nn1	io	nn1
7	a	legitimate	question	to	ask	at1	jj	nn1	to	vvi
5	a	legitimate	shot	at	the	at1	jj	nn1	ii	at
5	a	legitimate	shot	at	winning	at1	jj	nn1	ii	vvg
5	a	legitimate	use	of	the	at1	jj	nn1	io	at
6	a	lengthy	battle	with	cancer	at1	jj	nn1	iw	nn1
5	a	lengthy	description	of	the	at1	jj	nn1	io	at
15	a	lengthy	period	of	time	at1	jj	nn1	io	nnt1
6	a	lesser	degree	in	the	at1	jj	nn1	ii	at
10	a	lesser	extent	in	the	at1	jj	nn1	ii	at
5	a	lethal	dose	of	arsenic	at1	jj	nn1	io	nn1
6	a	lethal	dose	of	drugs	at1	jj	nn1	io	nn2
7	a	lethal	dose	of	radiation	at1	jj	nn1	io	nn1
6	a	liberal	arts	college	in	at1	jj	nn2	nn1	ii
6	a	liberal	bias	in	the	at1	jj	nn1	ii	at
6	a	liberal	on	social	issues	at1	jj	ii	jj	nn2
7	a	liberal	think	tank	in	at1	jj	nn1	nn1	ii
18	a	licensed	clinical	social	worker	at1	jj	jj	jj	nn1
10	a	licensed	marriage	and	family	at1	jj	nn1	cc	nn1
5	a	lifelong	interest	in	the	at1	jj	nn1	ii	at
5	a	lifelong	love	affair	with	at1	jj	nn1	nn1	iw
5	a	lifelong	member	of	the	at1	jj	nn1	io	at
10	a	lifelong	resident	of	the	at1	jj	nn1	io	at
6	a	lifelong	resident	of	Washington	at1	jj	nn1	io	np1
11	a	light	dumbbell	in	each	at1	jj	nn1	ii	dd1
6	a	light	dumbbell	in	your	at1	jj	nn1	ii	appge
11	a	light	dusting	of	snow	at1	jj	nn1	io	nn1
6	A	light	rain	was	falling	at1	jj	nn1	vbdz	vvg
5	a	light	sheen	of	sweat	at1	jj	nn1	io	nn1
6	a	light	tap	on	the	at1	jj	nn1	ii	at
8	a	like	manner	are	known	at1	jj	nn1	vbr	vvn
5	a	likely	candidate	for	a	at1	jj	nn1	if	at1
12	a	likely	candidate	for	the	at1	jj	nn1	if	at
5	a	likely	cause	of	the	at1	jj	nn1	io	at
22	a	Likert-type	scale	ranging	from	at1	jj	nn1	vvg	ii
13	a	limited	amount	of	information	at1	jj	nn1	io	nn1
17	a	limited	amount	of	money	at1	jj	nn1	io	nn1
7	a	limited	amount	of	research	at1	jj	nn1	io	nn1
6	a	limited	amount	of	space	at1	jj	nn1	io	nn1
69	a	limited	amount	of	time	at1	jj	nn1	io	nnt1
5	a	limited	number	of	cases	at1	jj	nn1	io	nn2
5	a	limited	number	of	customers	at1	jj	nn1	io	nn2
6	a	limited	number	of	individuals	at1	jj	nn1	io	nn2
5	a	limited	number	of	new	at1	jj	nn1	io	jj
7	a	limited	number	of	patients	at1	jj	nn1	io	nn2
23	a	limited	number	of	people	at1	jj	nn1	io	nn
6	a	limited	number	of	students	at1	jj	nn1	io	nn2
14	a	limited	number	of	studies	at1	jj	nn1	io	nn2
5	A	limited	number	of	studies	at1	jj	nn1	io	nn2
6	a	limited	number	of	the	at1	jj	nn1	io	at
7	a	limited	palette	of	colors	at1	jj	nn1	io	nn2
6	a	limited	partner	in	the	at1	jj	nn1	ii	at
43	a	limited	period	of	time	at1	jj	nn1	io	nnt1
5	a	limited	price	risk	contract	at1	jj	nn1	nn1	nn1
6	a	limited	role	in	the	at1	jj	nn1	ii	at
9	a	limited	understanding	of	the	at1	jj	nn1	io	at
5	a	limited	view	of	the	at1	jj	nn1	io	at
10	a	linear	combination	of	the	at1	jj	nn1	io	at
11	a	linear	relationship	between	the	at1	jj	nn1	ii	at
5	a	linear	variable	differential	transformer	at1	jj	jj	jj	nn1
9	a	listed	species	or	its	at1	jj	nn	cc	appge
20	a	literal	interpretation	of	the	at1	jj	nn1	io	at
9	a	literal	reading	of	the	at1	jj	nn1	io	at
5	a	literal	translation	of	the	at1	jj	nn1	io	at
5	a	little	back	and	forth	at1	jj	nn1	cc	rr
5	a	little	background	on	the	at1	jj	nn1	ii	at
7	a	little	bird	told	me	at1	jj	nn1	vvd	ppio1
15	a	little	bit	about	a	at1	jj	nn1	ii	at1
5	a	little	bit	about	being	at1	jj	nn1	ii	vbg
6	a	little	bit	about	health	at1	jj	nn1	ii	nn1
11	a	little	bit	about	her	at1	jj	nn1	ii	appge
7	a	little	bit	about	her	at1	jj	nn1	ii	ppho1
21	a	little	bit	about	him	at1	jj	nn1	ii	ppho1
28	a	little	bit	about	his	at1	jj	nn1	ii	appge
86	a	little	bit	about	how	at1	jj	nn1	ii	rrq
