10	a	beginning	endless	forms	most	at1	nn1	jj	nn2	rgt
5	An	Edwardian	Christmas	at	Spadina	at1	jj	nnt1	ii	np1
6	an	eerie	resemblance	to	the	at1	jj	nn1	ii	at
6	an	effective	focal	length	of	at1	jj	jj	nn1	io
5	an	effective	means	by	which	at1	jj	nn	ii	ddq
9	an	effective	means	of	reducing	at1	jj	nn	io	vvg
5	an	effective	member	of	the	at1	jj	nn1	io	at
6	an	effective	physical	education	lesson	at1	jj	jj	nn1	nn1
5	an	effective	response	to	the	at1	jj	nn1	ii	at
5	an	effective	solution	to	the	at1	jj	nn1	ii	at
6	an	effective	way	of	dealing	at1	jj	nn1	io	vvg
7	an	effective	way	to	deal	at1	jj	nn1	to	vvi
7	an	effective	way	to	get	at1	jj	nn1	to	vvi
6	an	effective	way	to	help	at1	jj	nn1	to	vvi
6	an	effective	way	to	increase	at1	jj	nn1	to	vvi
8	an	effective	way	to	reach	at1	jj	nn1	to	vvi
6	an	efficient	and	effective	way	at1	jj	cc	jj	nn1
6	an	efficient	and	effective	way	at1	jj	cc	jj	nn1
6	an	eight-year	war	with	Iran	at1	jj	nn1	iw	np1
11	an	elderly	man	in	a	at1	jj	nn1	ii	at1
9	an	elderly	man	who	had	at1	jj	nn1	pnqs	vhd
15	an	elderly	man	with	a	at1	jj	nn1	iw	at1
12	an	elderly	woman	in	a	at1	jj	nn1	ii	at1
8	an	elderly	woman	in	the	at1	jj	nn1	ii	at
8	an	elderly	woman	with	a	at1	jj	nn1	iw	at1
20	an	elected	member	of	the	at1	jj	nn1	io	at
6	an	electric	mixer	and	beat	at1	jj	nn1	cc	vvd
9	an	electric	mixer	at	high	at1	jj	nn1	ii	jj
5	an	electric	mixer	at	low	at1	jj	nn1	ii	jj
9	an	electric	mixer	at	medium	at1	jj	nn1	ii	jj
18	an	electric	mixer	fitted	with	at1	jj	nn1	vvn	iw
14	an	electric	mixer	on	high	at1	jj	nn1	ii	jj
10	an	electric	mixer	on	low	at1	jj	nn1	ii	jj
26	an	electric	mixer	on	medium	at1	jj	nn1	ii	jj
9	an	electric	mixer	on	medium-high	at1	jj	nn1	ii	jj
23	an	electric	mixer	set	on	at1	jj	nn1	vvn	ii
25	an	electric	mixer	until	blended	at1	jj	nn1	cs	vvn
68	an	electric	mixer	until	creamy	at1	jj	nn1	cs	jj
25	an	electric	mixer	until	fluffy	at1	jj	nn1	cs	jj
14	an	electric	mixer	until	foamy	at1	jj	nn1	cs	nn1
12	an	electric	mixer	until	foamy	at1	jj	nn1	cs	jj
14	an	electric	mixer	until	light	at1	jj	nn1	cs	jj
32	an	electric	mixer	until	smooth	at1	jj	nn1	cs	jj
18	an	electric	mixer	until	soft	at1	jj	nn1	cs	jj
12	an	electric	mixer	until	stiff	at1	jj	nn1	cs	jj
6	an	electric	mixer	until	well	at1	jj	nn1	cs	rr
6	an	electric	mixer	with	a	at1	jj	nn1	iw	at1
5	an	electric	motor	with	a	at1	jj	nn1	iw	at1
12	an	electric	stove	instead	of	at1	jj	nn1	ii21	ii22
6	an	electrical	engineer	at	the	at1	jj	nn1	ii	at
6	an	electrical	engineering	professor	at	at1	jj	nn1	nn1	ii
13	an	electronic	version	of	the	at1	jj	nn1	io	at
5	an	elegant	solution	to	the	at1	jj	nn1	ii	at
7	an	elementary	school	in	a	at1	jj	nn1	ii	at1
12	an	elementary	school	in	the	at1	jj	nn1	ii	at
6	an	elementary	school	principal	in	at1	jj	nn1	nn1	ii
5	an	elementary	school	principal	who	at1	jj	nn1	nn1	pnqs
13	an	elementary	school	teacher	and	at1	jj	nn1	nn1	cc
14	an	elementary	school	teacher	in	at1	jj	nn1	nn1	ii
5	an	elevated	erythrocyte	sedimentation	rate	at1	jj	nn1	nn1	nn1
8	an	embarrassing	lesson	learned	the	at1	jj	nn1	vvd	at
6	an	emeritus	professor	at	the	at1	jj	nn1	ii	at
5	an	emotional	connection	to	the	at1	jj	nn1	ii	at
5	an	emotional	day	for	you	at1	jj	nnt1	if	ppy
5	an	emotional	response	to	the	at1	jj	nn1	ii	at
14	an	empty	area	of	the	at1	jj	nn1	io	at
6	An	empty	chair	faces	them	at1	jj	nn1	vvz	ppho2
5	an	empty	seat	at	the	at1	jj	nn1	ii	at
5	an	empty	seat	in	the	at1	jj	nn1	ii	at
8	an	empty	seat	next	to	at1	jj	nn1	ii21	ii22
7	an	empty	seat	on	the	at1	jj	nn1	ii	at
6	an	empty	space	in	the	at1	jj	nn1	ii	at
11	an	encyclopedic	knowledge	of	the	at1	jj	nn1	io	at
7	an	engine	of	economic	growth	at1	nn1	io	jj	nn1
5	an	English	major	at	the	at1	jj	nn1	ii	at
12	an	English	professor	at	the	at1	jj	nn1	ii	at
5	an	English	teacher	at	the	at1	jj	nn1	ii	at
13	an	English	translation	of	the	at1	jj	nn1	io	at
5	an	English	version	of	the	at1	jj	nn1	io	at
9	an	enhanced	version	of	the	at1	jj	nn1	io	at
6	an	enlarged	version	of	the	at1	jj	nn1	io	at
15	an	enormous	amount	of	attention	at1	jj	nn1	io	nn1
5	an	enormous	amount	of	cash	at1	jj	nn1	io	nn1
9	an	enormous	amount	of	effort	at1	jj	nn1	io	nn1
15	an	enormous	amount	of	energy	at1	jj	nn1	io	nn1
6	an	enormous	amount	of	food	at1	jj	nn1	io	nn1
5	an	enormous	amount	of	good	at1	jj	nn1	io	jj
22	an	enormous	amount	of	information	at1	jj	nn1	io	nn1
5	an	enormous	amount	of	interest	at1	jj	nn1	io	nn1
78	an	enormous	amount	of	money	at1	jj	nn1	io	nn1
5	an	enormous	amount	of	pain	at1	jj	nn1	io	nn1
6	an	enormous	amount	of	political	at1	jj	nn1	io	jj
6	an	enormous	amount	of	power	at1	jj	nn1	io	nn1
18	an	enormous	amount	of	pressure	at1	jj	nn1	io	nn1
7	an	enormous	amount	of	research	at1	jj	nn1	io	nn1
6	an	enormous	amount	of	resources	at1	jj	nn1	io	nn2
10	an	enormous	amount	of	respect	at1	jj	nn1	io	nn1
6	an	enormous	amount	of	stress	at1	jj	nn1	io	nn1
65	an	enormous	amount	of	time	at1	jj	nn1	io	nnt1
21	an	enormous	amount	of	work	at1	jj	nn1	io	nn1
5	an	enormous	amount	to	do	at1	jj	nn1	to	vdi
5	an	enormous	contribution	to	the	at1	jj	nn1	ii	at
6	an	enormous	difference	in	the	at1	jj	nn1	ii	at
7	an	enormous	effect	on	the	at1	jj	nn1	ii	at
5	an	enormous	gap	between	the	at1	jj	nn1	ii	at
5	an	enormous	impact	on	our	at1	jj	nn1	ii	appge
39	an	enormous	impact	on	the	at1	jj	nn1	ii	at
15	an	enormous	increase	in	the	at1	jj	nn1	ii	at
6	an	enormous	influence	on	the	at1	jj	nn1	ii	at
17	an	enormous	number	of	people	at1	jj	nn1	io	nn
5	an	enormous	problem	for	the	at1	jj	nn1	if	at
5	an	enormous	role	in	the	at1	jj	nn1	ii	at
5	an	enormous	sense	of	responsibility	at1	jj	nn1	io	nn1
6	an	enormous	sum	of	money	at1	jj	nn1	io	nn1
5	an	enthusiastic	supporter	of	the	at1	jj	nn1	io	at
6	an	entire	chapter	to	the	at1	jj	nn1	ii	at
5	an	entire	city	block	in	at1	jj	nn1	nn1	ii
5	an	entire	day	at	the	at1	jj	nnt1	ii	at
5	an	entire	generation	of	Americans	at1	jj	nn1	io	nn2
5	an	entire	generation	of	children	at1	jj	nn1	io	nn2
14	an	entire	generation	of	young	at1	jj	nn1	io	jj
12	an	entire	group	of	people	at1	jj	nn1	io	nn
7	an	entire	issue	to	the	at1	jj	nn1	ii	at
5	an	entire	new	class	of	at1	jj	jj	nn1	io
8	an	entire	race	of	people	at1	jj	nn1	io	nn
5	an	entire	range	of	ships	at1	jj	nn1	io	nn2
6	an	entire	section	of	the	at1	jj	nn1	io	at
8	an	entire	side	of	the	at1	jj	nn1	io	at
5	an	entire	wall	of	the	at1	jj	nn1	io	at
14	an	entire	way	of	life	at1	jj	nn1	io	nn1
5	an	environmental	assessment	of	the	at1	jj	nn1	io	at
5	an	environmental	consulting	firm	in	at1	jj	jj	nn1	ii
9	an	environmental	group	based	in	at1	jj	nn1	vvn	ii
8	an	environmental	point	of	view	at1	jj	nn1	io	nn1
5	an	environmental	scientist	with	the	at1	jj	nn1	iw	at
6	an	equal	amount	of	the	at1	jj	nn1	io	at
13	an	equal	amount	of	time	at1	jj	nn1	io	nnt1
6	an	equal	amount	of	water	at1	jj	nn1	io	nn1
20	an	equal	and	opposite	reaction	at1	jj	cc	jj	nn1
9	an	equal	chance	of	being	at1	jj	nn1	io	vbg
5	an	equal	footing	with	other	at1	jj	nn1	iw	jj
17	an	equal	footing	with	the	at1	jj	nn1	iw	at
5	an	equal	footing	with	their	at1	jj	nn1	iw	appge
8	an	equal	number	of	male	at1	jj	nn1	io	nn1
11	an	equal	number	of	males	at1	jj	nn1	io	nn2
6	an	equal	number	of	men	at1	jj	nn1	io	nn2
9	an	equal	number	of	times	at1	jj	nn1	io	nnt2
10	an	equal	partner	in	the	at1	jj	nn1	ii	at
12	an	equal	share	of	the	at1	jj	nn1	io	at
5	an	equitable	opportunity	to	participate	at1	jj	nn1	to	vvi
5	an	errant	strand	of	hair	at1	jj	nn1	io	nn1
9	an	essential	aspect	of	the	at1	jj	nn1	io	at
7	an	essential	characteristic	of	the	at1	jj	nn1	io	at
9	an	essential	component	in	the	at1	jj	nn1	ii	at
10	an	essential	component	of	a	at1	jj	nn1	io	at1
38	an	essential	component	of	the	at1	jj	nn1	io	at
5	An	essential	component	of	the	at1	jj	nn1	io	at
5	an	essential	condition	for	the	at1	jj	nn1	if	at
27	an	essential	element	in	the	at1	jj	nn1	ii	at
10	an	essential	element	of	a	at1	jj	nn1	io	at1
