22	a	bank	holding	company	at1	nn1	jj	nn1
16	a	healthy	alternative	to	at1	jj	nn1	ii
21	a	healthy	amount	of	at1	jj	nn1	io
17	a	healthy	baby	boy	at1	jj	nn1	nn1
20	a	healthy	baby	girl	at1	jj	nn1	nn1
15	a	healthy	balance	between	at1	jj	nn1	ii
37	a	healthy	diet	and	at1	jj	nn1	cc
186	a	healthy	dose	of	at1	jj	nn1	io
14	a	healthy	level	of	at1	jj	nn1	io
14	a	healthy	lifestyle	and	at1	jj	nn1	cc
14	a	healthy	part	of	at1	jj	nn1	io
22	a	healthy	relationship	with	at1	jj	nn1	iw
63	a	healthy	respect	for	at1	jj	nn1	if
39	a	healthy	sense	of	at1	jj	nn1	io
17	a	healthy	sex	life	at1	jj	nn1	nn1
13	a	healthy	way	to	at1	jj	nn1	to
14	a	healthy	weight	for	at1	jj	nn1	if
12	a	heated	argument	with	at1	jj	nn1	iw
15	a	heated	debate	about	at1	jj	nn1	ii
19	a	heated	debate	over	at1	jj	nn1	ii
16	a	heavy	blow	to	at1	jj	nn1	ii
16	a	heavy	burden	for	at1	jj	nn1	if
18	a	heavy	burden	of	at1	jj	nn1	io
35	a	heavy	burden	on	at1	jj	nn1	ii
13	a	heavy	burden	to	at1	jj	nn1	to
18	a	heavy	concentration	of	at1	jj	nn1	io
103	a	heavy	dose	of	at1	jj	nn1	io
51	a	heavy	emphasis	on	at1	jj	nn1	ii
12	a	heavy	hand	on	at1	jj	nn1	ii
34	a	heavy	load	of	at1	jj	nn1	io
12	a	heavy	machine	gun	at1	jj	nn1	nn1
20	a	heavy	piece	of	at1	jj	nn1	io
55	a	heavy	price	for	at1	jj	nn1	if
12	a	heavy	price	in	at1	jj	nn1	ii
26	a	heavy	reliance	on	at1	jj	nn1	ii
37	a	heavy	saucepan	over	at1	jj	nn1	ii
17	a	heavy	skillet	over	at1	jj	nn1	ii
59	a	heavy	toll	on	at1	jj	nn1	ii
29	a	heavy-duty	electric	stand	at1	jj	jj	nn1
13	a	heavy-duty	zip-top	plastic	at1	jj	jj	nn1
18	a	hefty	chunk	of	at1	jj	nn1	io
27	a	hefty	dose	of	at1	jj	nn1	io
24	a	hefty	price	tag	at1	jj	nn1	nn1
42	a	heightened	awareness	of	at1	jj	nn1	io
15	a	heightened	level	of	at1	jj	nn1	io
104	a	heightened	sense	of	at1	jj	nn1	io
18	a	heightened	sensitivity	to	at1	jj	nn1	ii
45	a	heightened	state	of	at1	jj	nn1	io
18	a	helluva	lot	of	at1	jj	nn1	io
13	a	herniated	disk	in	at1	jj	nn1	ii
19	a	heterogeneous	group	of	at1	jj	nn1	io
17	a	hidden	camera	in	at1	jj	nn1	ii
18	a	high	amount	of	at1	jj	nn1	io
14	a	high	ankle	sprain	at1	jj	nn1	nn1
12	a	high	bar	for	at1	jj	nn1	if
92	a	high	concentration	of	at1	jj	nn1	io
35	a	high	correlation	between	at1	jj	nn1	ii
12	a	high	correlation	with	at1	jj	nn1	iw
15	a	high	crime	and	at1	jj	nn1	cc
13	a	high	crime	or	at1	jj	nn1	cc
939	a	high	degree	of	at1	jj	nn1	io
24	A	high	degree	of	at1	jj	nn1	io
16	a	high	demand	for	at1	jj	nn1	if
25	a	high	density	of	at1	jj	nn1	io
24	a	high	dose	of	at1	jj	nn1	io
19	a	high	fever	and	at1	jj	nn1	cc
13	a	high	forehead	and	at1	jj	nn1	cc
31	a	high	frequency	of	at1	jj	nn1	io
93	a	high	incidence	of	at1	jj	nn1	io
35	a	high	index	of	at1	jj	nn1	io
13	a	high	intake	of	at1	jj	nn1	io
12	a	high	interest	rate	at1	jj	nn1	nn1
17	a	high	level	and	at1	jj	nn1	cc
14	a	high	level	in	at1	jj	nn1	ii
1022	a	high	level	of	at1	jj	nn1	io
36	A	high	level	of	at1	jj	nn1	io
36	a	high	likelihood	of	at1	jj	nn1	io
17	a	high	mortality	rate	at1	jj	nn1	nn1
21	a	high	need	for	at1	jj	nn1	if
92	a	high	number	of	at1	jj	nn1	io
12	a	high	old	time	at1	jj	jj	nnt1
46	a	high	opinion	of	at1	jj	nn1	io
264	a	high	percentage	of	at1	jj	nn1	io
21	A	high	percentage	of	at1	jj	nn1	io
38	a	high	point	in	at1	jj	nn1	ii
43	a	high	point	of	at1	jj	nn1	io
13	a	high	position	in	at1	jj	nn1	ii
28	a	high	potential	for	at1	jj	nn1	if
41	a	high	premium	on	at1	jj	nn1	ii
29	a	high	prevalence	of	at1	jj	nn1	io
94	a	high	price	for	at1	jj	nn1	if
15	a	high	price	in	at1	jj	nn1	ii
18	a	high	price	tag	at1	jj	nn1	nn1
32	a	high	price	to	at1	jj	nn1	to
91	a	high	priority	for	at1	jj	nn1	if
27	a	high	priority	in	at1	jj	nn1	ii
64	a	high	priority	on	at1	jj	nn1	ii
18	a	high	priority	to	at1	jj	nn1	ii
73	a	high	probability	of	at1	jj	nn1	io
27	a	high	probability	that	at1	jj	nn1	cst
12	a	high	profile	case	at1	jj	nn1	nn1
24	a	high	profile	in	at1	jj	nn1	ii
154	a	high	proportion	of	at1	jj	nn1	io
14	A	high	proportion	of	at1	jj	nn1	io
34	a	high	quality	of	at1	jj	nn1	io
219	a	high	rate	of	at1	jj	nn1	io
16	a	high	ratio	of	at1	jj	nn1	io
36	a	high	regard	for	at1	jj	nn1	if
31	a	high	risk	for	at1	jj	nn1	if
127	a	high	risk	of	at1	jj	nn1	io
22	a	high	school	and	at1	jj	nn1	cc
13	a	high	school	art	at1	jj	nn1	nn1
18	a	high	school	athlete	at1	jj	nn1	nn1
20	a	high	school	band	at1	jj	nn1	nn1
38	a	high	school	basketball	at1	jj	nn1	nn1
12	a	high	school	biology	at1	jj	nn1	nn1
16	a	high	school	boy	at1	jj	nn1	nn1
12	a	high	school	cafeteria	at1	jj	nn1	nn1
13	a	high	school	cheerleader	at1	jj	nn1	nn1
13	a	high	school	chemistry	at1	jj	nn1	nn1
15	a	high	school	class	at1	jj	nn1	nn1
14	a	high	school	classmate	at1	jj	nn1	nn1
42	a	high	school	coach	at1	jj	nn1	nn1
20	a	high	school	dance	at1	jj	nn1	nn1
59	a	high	school	degree	at1	jj	nn1	nn1
369	a	high	school	diploma	at1	jj	nn1	nn1
96	a	high	school	dropout	at1	jj	nn1	nn1
184	a	high	school	education	at1	jj	nn1	nn1
35	a	high	school	English	at1	jj	nn1	nn1
24	a	high	school	equivalency	at1	jj	nn1	nn1
82	a	high	school	football	at1	jj	nn1	nn1
16	a	high	school	for	at1	jj	nn1	if
35	a	high	school	freshman	at1	jj	nn1	nn1
33	a	high	school	friend	at1	jj	nn1	nn1
29	a	high	school	game	at1	jj	nn1	nn1
26	a	high	school	girl	at1	jj	nn1	nn1
46	a	high	school	graduate	at1	jj	nn1	nn1
26	a	high	school	graduation	at1	jj	nn1	nn1
19	a	high	school	guidance	at1	jj	nn1	nn1
18	a	high	school	gym	at1	jj	nn1	nn1
23	a	high	school	history	at1	jj	nn1	nn1
103	a	high	school	in	at1	jj	nn1	ii
52	a	high	school	junior	at1	jj	nn1	nn1
42	a	high	school	kid	at1	jj	nn1	nn1
17	a	high	school	math	at1	jj	nn1	nn1
12	a	high	school	of	at1	jj	nn1	io
22	a	high	school	or	at1	jj	nn1	cc
21	a	high	school	player	at1	jj	nn1	nn1
34	a	high	school	principal	at1	jj	nn1	nn1
16	a	high	school	program	at1	jj	nn1	nn1
16	a	high	school	reunion	at1	jj	nn1	nn1
25	a	high	school	science	at1	jj	nn1	nn1
155	a	high	school	senior	at1	jj	nn1	nn1
36	a	high	school	senior	at1	jj	nn1	jj
38	a	high	school	sophomore	at1	jj	nn1	nn1
167	a	high	school	student	at1	jj	nn1	nn1
14	A	high	school	student	at1	jj	nn1	nn1
168	a	high	school	teacher	at1	jj	nn1	nn1
14	a	high	school	team	at1	jj	nn1	nn1
20	a	high	school	that	at1	jj	nn1	cst
14	a	high	school	where	at1	jj	nn1	cs
26	a	high	score	on	at1	jj	nn1	ii
23	a	high	sense	of	at1	jj	nn1	io
16	a	high	standard	for	at1	jj	nn1	if
60	a	high	standard	of	at1	jj	nn1	io
45	a	high	state	of	at1	jj	nn1	io
12	a	high	success	rate	at1	jj	nn1	nn1
14	a	high	surface	brightness	at1	jj	nn1	nn1
43	a	high	tolerance	for	at1	jj	nn1	if
101	a	high	value	on	at1	jj	nn1	ii
28	a	high	volume	of	at1	jj	nn1	io
15	a	high	water	table	at1	jj	nn1	nn1
17	a	high-ranking	member	of	at1	jj	nn1	io
12	a	high-rise	apartment	building	at1	jj	nn1	nn1
26	a	high-speed	Internet	connection	at1	jj	nn1	nn1
15	a	high-tech	version	of	at1	jj	nn1	io
24	a	historic	opportunity	to	at1	jj	nn1	to
14	a	historical	account	of	at1	jj	nn1	io
15	a	historical	overview	of	at1	jj	nn1	io
15	a	historical	record	of	at1	jj	nn1	io
14	a	holding	company	that	at1	jj	nn1	cst
54	a	holistic	approach	to	at1	jj	nn1	ii
23	a	holistic	view	of	at1	jj	nn1	io
45	a	holy	war	against	at1	jj	nn1	ii
24	a	home-equity	line	of	at1	jj	nn1	io
15	a	homeless	man	who	at1	jj	nn1	pnqs
14	a	homeless	shelter	and	at1	jj	nn1	cc
27	a	homeless	shelter	in	at1	jj	nn1	ii
13	a	hopeful	sign	that	at1	jj	nn1	cst
14	a	horrible	thing	that	at1	jj	nn1	cst
42	a	horrible	thing	to	at1	jj	nn1	to
16	a	horrible	way	to	at1	jj	nn1	to
13	a	hostile	takeover	of	at1	jj	nn1	io
41	a	hostile	work	environment	at1	jj	nn1	nn1
53	a	hot	air	balloon	at1	jj	nn1	nn1
21	a	hot	bath	and	at1	jj	nn1	cc
13	a	hot	commodity	in	at1	jj	nn1	ii
38	a	hot	cup	of	at1	jj	nn1	io
20	a	hot	day	and	at1	jj	nnt1	cc
32	a	hot	day	in	at1	jj	nnt1	ii
29	a	hot	dog	and	at1	jj	nn1	cc
13	a	hot	dog	or	at1	jj	nn1	cc
16	a	hot	dog	stand	at1	jj	nn1	nn1
23	a	hot	fudge	sundae	at1	jj	nn1	nn1
14	a	hot	knife	through	at1	jj	nn1	ii
14	a	hot	political	issue	at1	jj	jj	nn1
13	a	hot	shower	and	at1	jj	nn1	cc
30	a	hot	spot	for	at1	jj	nn1	if
14	a	hot	summer	afternoon	at1	jj	nnt1	nnt1
81	a	hot	summer	day	at1	jj	nnt1	nnt1
31	a	hot	summer	night	at1	jj	nnt1	nnt1
52	a	Hot	Tin	Roof	at1	jj	nn1	nn1
32	a	hot	topic	in	at1	jj	nn1	ii
25	a	hot	topic	of	at1	jj	nn1	io
19	a	hot	tub	and	at1	jj	nn1	cc
19	a	hot	tub	with	at1	jj	nn1	iw
21	a	hot	water	bottle	at1	jj	nn1	nn1
16	a	huge	advantage	for	at1	jj	nn1	if
12	a	huge	advantage	over	at1	jj	nn1	ii
486	a	huge	amount	of	at1	jj	nn1	io
12	A	huge	amount	of	at1	jj	nn1	io
12	a	huge	area	of	at1	jj	nn1	io
22	a	huge	array	of	at1	jj	nn1	io
17	a	huge	blow	to	at1	jj	nn1	ii
17	a	huge	body	of	at1	jj	nn1	io
14	a	huge	boost	to	at1	jj	nn1	ii
21	a	huge	bouquet	of	at1	jj	nn1	io
19	a	huge	bowl	of	at1	jj	nn1	io
19	a	huge	budget	deficit	at1	jj	nn1	nn1
15	a	huge	burden	on	at1	jj	nn1	ii
14	a	huge	challenge	for	at1	jj	nn1	if
24	a	huge	change	in	at1	jj	nn1	ii
69	a	huge	chunk	of	at1	jj	nn1	io
12	A	huge	chunk	of	at1	jj	nn1	io
32	a	huge	cloud	of	at1	jj	nn1	io
29	a	huge	collection	of	at1	jj	nn1	io
13	a	huge	crowd	of	at1	jj	nn1	io
15	a	huge	crush	on	at1	jj	nn1	ii
21	a	huge	demand	for	at1	jj	nn1	if
57	a	huge	difference	between	at1	jj	nn1	ii
100	a	huge	difference	in	at1	jj	nn1	ii
13	a	huge	difference	to	at1	jj	nn1	ii
16	a	huge	drop	in	at1	jj	nn1	ii
34	a	huge	effect	on	at1	jj	nn1	ii
20	a	huge	effort	to	at1	jj	nn1	to
15	a	huge	expansion	of	at1	jj	nn1	io
29	a	huge	factor	in	at1	jj	nn1	ii
123	a	huge	fan	of	at1	jj	nn1	io
44	a	huge	gap	between	at1	jj	nn1	ii
18	a	huge	gap	in	at1	jj	nn1	ii
22	a	huge	group	of	at1	jj	nn1	io
15	a	huge	hit	in	at1	jj	nn1	ii
13	a	huge	hit	with	at1	jj	nn1	iw
48	a	huge	hole	in	at1	jj	nn1	ii
12	a	huge	impact	in	at1	jj	nn1	ii
153	a	huge	impact	on	at1	jj	nn1	ii
14	a	huge	improvement	over	at1	jj	nn1	ii
79	a	huge	increase	in	at1	jj	nn1	ii
21	a	huge	influence	on	at1	jj	nn1	ii
32	a	huge	influx	of	at1	jj	nn1	io
12	a	huge	issue	for	at1	jj	nn1	if
16	a	huge	issue	in	at1	jj	nn1	ii
13	a	huge	majority	of	at1	jj	nn1	io
22	a	huge	market	for	at1	jj	nn1	if
12	a	huge	mass	of	at1	jj	nn1	io
16	a	huge	mistake	to	at1	jj	nn1	to
23	a	huge	mound	of	at1	jj	nn1	io
13	a	huge	need	for	at1	jj	nn1	if
218	a	huge	number	of	at1	jj	nn1	io
23	a	huge	opportunity	for	at1	jj	nn1	if
20	a	huge	part	in	at1	jj	nn1	ii
174	a	huge	part	of	at1	jj	nn1	io
25	a	huge	percentage	of	at1	jj	nn1	io
42	a	huge	piece	of	at1	jj	nn1	io
59	a	huge	pile	of	at1	jj	nn1	io
19	a	huge	pool	of	at1	jj	nn1	io
33	a	huge	portion	of	at1	jj	nn1	io
13	a	huge	pot	of	at1	jj	nn1	io
39	a	huge	problem	for	at1	jj	nn1	if
31	a	huge	problem	in	at1	jj	nn1	ii
17	a	huge	problem	with	at1	jj	nn1	iw
18	a	huge	proportion	of	at1	jj	nn1	io
13	a	huge	quantity	of	at1	jj	nn1	io
12	a	huge	question	mark	at1	jj	nn1	nn1
12	a	huge	rally	in	at1	jj	nn1	ii
47	a	huge	range	of	at1	jj	nn1	io
13	a	huge	reservoir	of	at1	jj	nn1	io
74	a	huge	role	in	at1	jj	nn1	ii
28	a	huge	selection	of	at1	jj	nn1	io
14	a	huge	sense	of	at1	jj	nn1	io
15	a	huge	shift	in	at1	jj	nn1	ii
28	a	huge	sigh	of	at1	jj	nn1	io
20	a	huge	smile	on	at1	jj	nn1	ii
18	a	huge	source	of	at1	jj	nn1	io
17	a	huge	stack	of	at1	jj	nn1	io
18	a	huge	stake	in	at1	jj	nn1	ii
14	a	huge	star	in	at1	jj	nn1	ii
19	a	huge	step	forward	at1	jj	nn1	rl
16	a	huge	step	in	at1	jj	nn1	ii
12	a	huge	success	in	at1	jj	nn1	ii
13	a	huge	sum	of	at1	jj	nn1	io
26	a	huge	swath	of	at1	jj	nn1	io
14	a	huge	tax	cut	at1	jj	nn1	nn1
15	a	huge	toll	on	at1	jj	nn1	ii
41	a	huge	variety	of	at1	jj	nn1	io
28	a	huge	victory	for	at1	jj	nn1	if
23	a	huge	volume	of	at1	jj	nn1	io
13	a	huge	wad	of	at1	jj	nn1	io
23	a	huge	waste	of	at1	jj	nn1	io
21	a	huge	wave	of	at1	jj	nn1	io
12	a	huge	win	for	at1	jj	nn1	if
95	a	human	being	and	at1	jj	nn1	cc
39	a	human	being	can	at1	jj	nn1	vm
28	a	human	being	could	at1	jj	nn1	vm
13	a	human	being	for	at1	jj	nn1	if
18	a	human	being	from	at1	jj	nn1	ii
17	a	human	being	has	at1	jj	nn1	vhz
42	a	human	being	in	at1	jj	nn1	ii
63	a	human	being	is	at1	jj	nn1	vbz
12	a	human	being	like	at1	jj	nn1	ii
15	a	human	being	or	at1	jj	nn1	cc
24	a	human	being	should	at1	jj	nn1	vm
20	a	human	being	that	at1	jj	nn1	cst
59	a	human	being	to	at1	jj	nn1	to
12	a	human	being	to	at1	jj	nn1	ii
51	a	human	being	who	at1	jj	nn1	pnqs
27	a	human	being	with	at1	jj	nn1	iw
13	a	human	being	would	at1	jj	nn1	vm
81	a	human	face	on	at1	jj	nn1	ii
14	a	human	face	to	at1	jj	nn1	ii
12	a	human	life	amendment	at1	jj	nn1	nn1
13	a	human	life	is	at1	jj	nn1	vbz
12	a	human	mission	to	at1	jj	nn1	ii
32	a	human	rights	activist	at1	jj	nn2	nn1
28	a	human	rights	group	at1	jj	nn2	nn1
32	a	human	rights	issue	at1	jj	nn2	vv0
15	a	human	rights	lawyer	at1	jj	nn2	nn1
22	a	human	rights	organization	at1	jj	nn2	nn1
18	a	hung	jury	and	at1	jj	nn1	cc
16	a	hybrid	version	of	at1	jj	nn1	io
23	A	hypothetical	victory	margin	at1	jj	nn1	nn1
67	a	junior	high	school	at1	jj	jj	nn1
21	a	large	heavy	saucepan	at1	jj	jj	nn1
23	a	large	heavy	skillet	at1	jj	jj	nn1
16	a	living	human	being	at1	jj	jj	nn1
75	a	local	high	school	at1	jj	jj	nn1
22	a	long	hard	look	at1	jj	jj	nn1
16	a	long	hot	summer	at1	jj	jj	nnt1
25	a	more	holistic	approach	at1	rgr	jj	nn1
14	a	more	holistic	view	at1	rgr	jj	nn1
53	a	National	Historic	Landmark	at1	jj	jj	nn1
31	a	national	historic	landmark	at1	jj	jj	nn1
15	a	national	historic	site	at1	jj	jj	nn1
12	a	nearby	high	school	at1	jj	jj	nn1
13	a	new	head	coach	at1	jj	jj	nn1
43	a	new	high	school	at1	jj	jj	nn1
12	a	new	human	being	at1	jj	jj	nn1
27	a	normal	human	being	at1	jj	jj	nn1
14	a	particular	historical	moment	at1	jj	jj	nn1
23	a	political	hot	potato	at1	jj	jj	nn1
31	a	private	high	school	at1	jj	jj	nn1
88	a	public	high	school	at1	jj	jj	nn1
33	a	real	hard	time	at1	jj	jj	nnt1
50	a	real	human	being	at1	jj	jj	nn1
51	a	really	hard	time	at1	rr	jj	nnt1
13	a	regular	high	school	at1	jj	jj	nn1
23	a	relatively	high	degree	at1	rr	jj	nn1
28	a	relatively	high	level	at1	rr	jj	nn1
15	a	relatively	high	percentage	at1	rr	jj	nn1
22	a	retired	high	school	at1	jj	jj	nn1
12	a	second	hard	drive	at1	md	jj	nn1
15	a	single	human	being	at1	jj	jj	nn1
14	a	small	heavy	saucepan	at1	jj	jj	nn1
16	a	suburban	high	school	at1	jj	jj	nn1
14	a	typical	high	school	at1	jj	jj	nn1
28	a	very	handsome	man	at1	rg	jj	nn1
15	a	very	happy	childhood	at1	rg	jj	nn1
15	a	very	happy	man	at1	rg	jj	nn1
15	a	very	happy	person	at1	rg	jj	nn1
16	a	very	hard	decision	at1	rg	jj	nn1
14	a	very	hard	job	at1	rg	jj	nn1
14	a	very	hard	line	at1	rg	jj	nn1
15	a	very	hard	look	at1	rg	jj	nn1
46	a	very	hard	thing	at1	rg	jj	nn1
156	a	very	hard	time	at1	rg	jj	nnt1
23	a	very	hard	worker	at1	rg	jj	nn1
19	a	very	healthy	thing	at1	rg	jj	nn1
12	a	very	heavy	burden	at1	rg	jj	nn1
25	a	very	heavy	price	at1	rg	jj	nn1
35	a	very	high	degree	at1	rg	jj	nn1
146	a	very	high	level	at1	rg	jj	nn1
18	a	very	high	number	at1	rg	jj	nn1
14	a	very	high	opinion	at1	rg	jj	nn1
45	a	very	high	percentage	at1	rg	jj	nn1
51	a	very	high	price	at1	rg	jj	nn1
34	a	very	high	priority	at1	rg	jj	nn1
12	a	very	high	probability	at1	rg	jj	nn1
22	a	very	high	profile	at1	rg	jj	nn1
17	a	very	high	quality	at1	rg	jj	nn1
37	a	very	high	rate	at1	rg	jj	nn1
21	a	very	high	risk	at1	rg	jj	nn1
35	a	very	high	standard	at1	rg	jj	nn1
12	a	very	high	value	at1	rg	jj	nn1
13	a	very	hot	day	at1	rg	jj	nnt1
14	a	very	humbling	experience	at1	rg	jj	nn1
13	a	whole	human	being	at1	jj	jj	nn1
32	a	wonderful	human	being	at1	jj	jj	nn1
14	abnormally	high	levels	of	rr	jj	nn2	io
23	about	a	high	school	ii	at1	jj	nn1
12	about	a	human	being	ii	at1	jj	nn1
14	about	hard	work	and	ii	jj	nn1	cc
32	about	human	nature	and	ii	jj	nn1	cc
15	about	human	rights	abuses	ii	jj	nn2	vvz
34	about	human	rights	and	ii	jj	nn2	cc
12	about	human	rights	in	ii	jj	nn2	ii
13	about	human	rights	violations	ii	jj	nn2	nn2
28	about	the	high	cost	ii	at	jj	nn1
23	about	the	human	body	ii	at	jj	nn1
58	about	the	human	condition	ii	at	jj	nn1
12	about	the	human	genome	ii	at	jj	nn1
24	about	the	human	rights	ii	at	jj	nn2
29	abuse	of	human	rights	nn1	io	jj	nn2
26	abuses	of	human	rights	nn2	io	jj	nn2
24	according	to	human	rights	ii21	ii22	jj	nn2
20	according	to	Human	Rights	ii21	ii22	jj	nn2
22	African	American	high	school	jj	jj	jj	nn1
18	African-American	and	Hispanic	students	jj	cc	jj	nn2
57	after	a	hard	day	ii	at1	jj	nnt1
18	After	a	hard	day	cs	at1	jj	nnt1
17	after	a	heavy	rain	ii	at1	jj	nn1
23	after	high	school	and	ii	jj	nn1	cc
32	after	high	school	graduation	ii	jj	nn1	nn1
12	all	high	school	graduates	db	jj	nn1	nn2
41	all	high	school	students	db	jj	nn1	nn2
17	all	human	beings	and	db	jj	nn2	cc
37	all	human	beings	are	db	jj	nn2	vbr
14	all	my	hard	work	db	appge	jj	nn1
36	all	of	human	history	db	io	jj	nn1
12	all	that	hard	work	db	dd1	jj	nn1
91	all	the	hard	work	db	at	jj	nn1
13	all	the	horrible	things	db	at	jj	nn2
16	all	their	hard	work	db	appge	jj	nn1
25	all	through	high	school	db	ii	jj	nn1
12	All	through	high	school	db	ii	jj	nn1
27	all	your	hard	work	db	appge	jj	nn1
22	all-time	high	school	performer	jj	jj	nn1	nn1
