7	a	bagel	with	cream	cheese	at1	nn1	iw	jj	nn1
5	a	certain	cachet	in	the	at1	jj	nn1	ii	at
6	a	certain	class	of	people	at1	jj	nn1	io	nn
5	a	certain	confidence	in	the	at1	jj	nn1	ii	at
9	a	certain	course	of	action	at1	jj	nn1	io	nn1
7	a	certain	degree	of	autonomy	at1	jj	nn1	io	nn1
6	a	certain	degree	of	confidence	at1	jj	nn1	io	nn1
5	a	certain	degree	of	flexibility	at1	jj	nn1	io	nn1
6	a	certain	degree	of	freedom	at1	jj	nn1	io	nn1
11	a	certain	distance	from	the	at1	jj	nn1	ii	at
5	a	certain	extent	by	the	at1	jj	nn1	ii	at
6	a	certain	extent	on	the	at1	jj	nn1	ii	at
5	a	certain	grade	point	average	at1	jj	nn1	nn1	nn1
33	a	certain	group	of	people	at1	jj	nn1	io	nn
9	a	certain	irony	in	the	at1	jj	nn1	ii	at
7	a	certain	je	ne	sais	at1	jj	nn141	nn142	nn143
6	a	certain	kind	of	confidence	at1	jj	nn1	io	nn1
7	a	certain	kind	of	energy	at1	jj	nn1	io	nn1
5	a	certain	kind	of	life	at1	jj	nn1	io	nn1
12	a	certain	kind	of	man	at1	jj	nn1	io	nn1
5	a	certain	kind	of	music	at1	jj	nn1	io	nn1
16	a	certain	kind	of	person	at1	jj	nn1	io	nn1
11	a	certain	kind	of	way	at1	jj	nn1	io	nn1
8	a	certain	kind	of	woman	at1	jj	nn1	io	nn1
20	a	certain	length	of	time	at1	jj	nn1	io	nnt1
5	a	certain	level	of	comfort	at1	jj	nn1	io	nn1
6	a	certain	level	of	economic	at1	jj	nn1	io	jj
6	a	certain	level	of	income	at1	jj	nn1	io	nn1
6	a	certain	level	of	political	at1	jj	nn1	io	jj
5	a	certain	level	of	power	at1	jj	nn1	io	nn1
5	a	certain	level	of	risk	at1	jj	nn1	io	nn1
6	a	certain	level	of	success	at1	jj	nn1	io	nn1
7	a	certain	level	of	trust	at1	jj	nn1	io	nn1
5	a	certain	logic	to	it	at1	jj	nn1	ii	pph1
10	a	certain	number	of	acceptances	at1	jj	nn1	io	nn2
8	a	certain	number	of	days	at1	jj	nn1	io	nnt2
27	a	certain	number	of	hours	at1	jj	nn1	io	nnt2
5	a	certain	number	of	jobs	at1	jj	nn1	io	nn2
5	a	certain	number	of	miles	at1	jj	nn1	io	nnu2
31	a	certain	number	of	people	at1	jj	nn1	io	nn
13	a	certain	number	of	points	at1	jj	nn1	io	nn2
6	a	certain	number	of	the	at1	jj	nn1	io	at
9	a	certain	number	of	them	at1	jj	nn1	io	ppho2
6	a	certain	number	of	things	at1	jj	nn1	io	nn2
11	a	certain	number	of	times	at1	jj	nn1	io	nnt2
39	a	certain	number	of	years	at1	jj	nn1	io	nnt2
31	a	certain	part	of	the	at1	jj	nn1	io	at
6	a	certain	percentage	of	people	at1	jj	nn1	io	nn
35	a	certain	percentage	of	the	at1	jj	nn1	io	at
13	a	certain	percentage	of	their	at1	jj	nn1	io	appge
7	a	certain	percentage	of	them	at1	jj	nn1	io	ppho2
105	a	certain	period	of	time	at1	jj	nn1	io	nnt1
5	a	certain	place	at	a	at1	jj	nn1	ii	at1
6	a	certain	point	in	a	at1	jj	nn1	ii	at1
7	a	certain	point	in	his	at1	jj	nn1	ii	appge
6	a	certain	point	in	life	at1	jj	nn1	ii	nn1
8	a	certain	point	in	my	at1	jj	nn1	ii	appge
26	a	certain	point	in	the	at1	jj	nn1	ii	at
5	a	certain	point	in	their	at1	jj	nn1	ii	appge
22	a	certain	point	in	time	at1	jj	nn1	ii	nnt1
6	a	certain	point	in	your	at1	jj	nn1	ii	appge
16	a	certain	point	of	view	at1	jj	nn1	io	nn1
8	a	certain	point	where	you	at1	jj	nn1	rrq	ppy
5	a	certain	point	you	have	at1	jj	nn1	ppy	vh0
16	a	certain	portion	of	the	at1	jj	nn1	io	at
6	a	certain	quality	of	life	at1	jj	nn1	io	nn1
5	a	certain	ring	to	it	at1	jj	nn1	ii	pph1
8	a	certain	section	of	the	at1	jj	nn1	io	at
6	a	certain	segment	of	society	at1	jj	nn1	io	nn1
33	a	certain	segment	of	the	at1	jj	nn1	io	at
5	a	certain	set	of	circumstances	at1	jj	nn1	io	nn2
7	a	certain	set	of	rules	at1	jj	nn1	io	nn2
5	a	certain	set	of	values	at1	jj	nn1	io	nn2
5	a	certain	state	of	mind	at1	jj	nn1	io	nn1
5	a	certain	sum	of	money	at1	jj	nn1	io	nn1
10	a	certain	time	and	place	at1	jj	nnt1	cc	nn1
7	a	certain	time	of	day	at1	jj	nnt1	io	nnt1
10	a	certain	time	of	the	at1	jj	nnt1	io	at
5	a	certain	type	of	man	at1	jj	nn1	io	nn1
9	a	certain	type	of	person	at1	jj	nn1	io	nn1
7	a	certain	type	of	woman	at1	jj	nn1	io	nn1
5	a	certain	way	and	you	at1	jj	nn1	cc	ppy
6	a	certain	way	for	a	at1	jj	nn1	if	at1
10	a	certified	financial	planner	and	at1	jj	jj	nn1	cc
5	a	certified	financial	planner	from	at1	jj	jj	nn1	ii
19	a	certified	financial	planner	in	at1	jj	jj	nn1	ii
17	a	certified	financial	planner	with	at1	jj	jj	nn1	iw
11	a	certified	fitness	trainer	in	at1	jj	nn1	nn1	ii
10	a	certified	personal	trainer	and	at1	jj	jj	nn1	cc
11	a	certified	public	accountant	and	at1	jj	jj	nn1	cc
9	a	certified	public	accountant	in	at1	jj	jj	nn1	ii
10	a	certified	public	accountant	with	at1	jj	jj	nn1	iw
5	a	certified	sex	educator	and	at1	jj	nn1	nn1	cc
5	a	certified	strength	and	conditioning	at1	jj	nn1	cc	nn1
7	a	certified	teacher	of	students	at1	jj	nn1	io	nn2
11	a	character	with	congenital	vision	at1	nn1	iw	jj	nn1
6	a	characteristic	feature	of	the	at1	jj	nn1	io	at
8	a	charitable	contribution	deduction	on	at1	jj	nn1	nn1	ii
6	a	chaste	peck	on	the	at1	jj	nn1	ii	at
5	a	cheap	bottle	of	wine	at1	jj	nn1	io	nn1
5	a	cheap	place	to	live	at1	jj	nn1	to	vvi
5	a	cheap	shot	at	the	at1	jj	nn1	ii	at
11	a	chemical	imbalance	in	the	at1	jj	nn1	ii	at
6	a	chemical	messenger	in	the	at1	jj	nn1	ii	at
6	a	chemical	reaction	in	the	at1	jj	nn1	ii	at
8	a	chief	architect	of	the	at1	jj	nn1	io	at
6	a	chief	executive	of	a	at1	jj	nn1	io	at1
5	a	chilling	effect	on	free	at1	jj	nn1	ii	jj
35	a	chilling	effect	on	the	at1	jj	nn1	ii	at
5	a	Chinese	version	of	the	at1	jj	nn1	io	at
7	a	choral	or	instrumental	ensemble	at1	jj	cc	jj	nn1
5	a	chosen	body	of	citizens	at1	jj	nn1	io	nn2
5	a	Christian	conception	of	the	at1	jj	nn1	io	at
9	a	Christian	point	of	view	at1	jj	nn1	io	nn1
5	a	Christian	understanding	of	the	at1	jj	nn1	io	at
16	a	civil	lawsuit	against	the	at1	jj	nn1	ii	at
6	a	civil	lawsuit	filed	by	at1	jj	nn1	vvn	ii
8	a	civil	rights	activist	and	at1	jj	nn2	nn1	cc
8	a	civil	rights	activist	who	at1	jj	nn2	nn1	pnqs
5	a	civil	rights	attorney	and	at1	jj	nn2	nn1	cc
6	a	civil	rights	bill	that	at1	jj	nn2	vv0	cst
5	a	civil	rights	lawyer	in	at1	jj	nn2	nn1	ii
5	a	civil	rights	leader	and	at1	jj	nn2	nn1	cc
5	a	civil	rights	suit	against	at1	jj	nn2	vv0	ii
7	a	civil	suit	against	him	at1	jj	nn1	ii	ppho1
19	a	civil	suit	against	the	at1	jj	nn1	ii	at
7	a	civil	suit	brought	by	at1	jj	nn1	vvn	ii
10	a	civil	war	against	the	at1	jj	nn1	ii	at
5	a	civil	war	among	the	at1	jj	nn1	ii	at
9	a	civil	war	between	the	at1	jj	nn1	ii	at
13	a	civil	war	going	on	at1	jj	nn1	vvg	rp
17	a	civil	war	in	Iraq	at1	jj	nn1	ii	np1
17	a	civil	war	in	the	at1	jj	nn1	ii	at
7	a	civil	war	that	has	at1	jj	nn1	cst	vhz
6	a	civilian	employee	of	the	at1	jj	nn1	io	at
13	a	class-action	lawsuit	against	the	at1	jj	nn1	ii	at
5	a	class-action	lawsuit	shows	how	at1	jj	nn1	vvz	rrq
7	a	class-action	suit	against	the	at1	jj	nn1	ii	at
6	a	class-action	suit	on	behalf	at1	jj	nn1	ii31	ii32
28	a	classic	case	of	a	at1	jj	nn1	io	at1
5	a	classic	case	of	an	at1	jj	nn1	io	at1
17	a	classic	case	of	the	at1	jj	nn1	io	at
9	a	classic	case	of	what	at1	jj	nn1	io	ddq
17	A	classic	example	is	the	at1	jj	nn1	vbz	at
42	a	classic	example	of	a	at1	jj	nn1	io	at1
12	a	classic	example	of	an	at1	jj	nn1	io	at1
27	a	classic	example	of	how	at1	jj	nn1	io	rrq
5	a	classic	example	of	it	at1	jj	nn1	io	pph1
5	a	classic	example	of	someone	at1	jj	nn1	io	pn1
5	a	classic	example	of	that	at1	jj	nn1	io	dd1
69	a	classic	example	of	the	at1	jj	nn1	io	at
8	A	classic	example	of	this	at1	jj	nn1	io	dd1
7	a	classic	example	of	this	at1	jj	nn1	io	dd1
16	a	classic	example	of	what	at1	jj	nn1	io	ddq
5	a	classic	example	of	why	at1	jj	nn1	io	rrq
5	a	classified	ad	in	the	at1	jj	nn1	ii	at
13	a	clean	and	healthy	environment	at1	jj	cc	jj	nn1
145	a	clean	bill	of	health	at1	jj	nn1	io	nn1
9	a	clean	break	from	the	at1	jj	nn1	ii	at
7	a	clean	break	of	it	at1	jj	nn1	io	pph1
12	a	clean	break	with	the	at1	jj	nn1	iw	at
6	a	clean	dish	towel	and	at1	jj	nn1	nn1	cc
5	a	clean	energy	future	is	at1	jj	nn1	nn1	vbz
6	a	clean	piece	of	paper	at1	jj	nn1	io	nn1
30	a	clean	sheet	of	paper	at1	jj	nn1	io	nn1
8	a	clean	sweep	of	the	at1	jj	nn1	io	at
77	a	clear	and	present	danger	at1	jj	cc	jj	nn1
9	a	clear	and	present	threat	at1	jj	cc	jj	nn1
6	a	clear	articulation	of	the	at1	jj	nn1	io	at
5	a	clear	break	with	the	at1	jj	nn1	iw	at
5	a	clear	causal	link	between	at1	jj	jj	nn1	ii
5	a	clear	causal	link	between	at1	jj	jj	nn1	ii
7	a	clear	chain	of	command	at1	jj	nn1	io	nn1
11	a	clear	conflict	of	interest	at1	jj	nn1	io	nn1
6	a	clear	correlation	between	the	at1	jj	nn1	ii	at
5	a	clear	course	of	action	at1	jj	nn1	io	nn1
15	a	clear	day	you	can	at1	jj	nnt1	ppy	vm
5	a	Clear	Day	You	Can	at1	jj	nnt1	ppy	vm
11	a	clear	definition	of	the	at1	jj	nn1	io	at
5	a	clear	definition	of	what	at1	jj	nn1	io	ddq
7	a	clear	demonstration	of	the	at1	jj	nn1	io	at
7	a	clear	difference	between	the	at1	jj	nn1	ii	at
31	a	clear	distinction	between	the	at1	jj	nn1	ii	at
5	a	clear	division	of	labor	at1	jj	nn1	io	nn1
10	a	clear	example	of	a	at1	jj	nn1	io	at1
10	a	clear	example	of	how	at1	jj	nn1	io	rrq
18	a	clear	example	of	the	at1	jj	nn1	io	at
7	a	clear	example	of	this	at1	jj	nn1	io	dd1
6	a	clear	expression	of	the	at1	jj	nn1	io	at
10	a	clear	field	of	fire	at1	jj	nn1	io	nn1
5	a	clear	idea	of	his	at1	jj	nn1	io	appge
11	a	clear	idea	of	how	at1	jj	nn1	io	rrq
5	a	clear	idea	of	how	at1	jj	nn1	io	rgq
9	a	clear	idea	of	the	at1	jj	nn1	io	at
47	a	clear	idea	of	what	at1	jj	nn1	io	ddq
6	a	clear	idea	of	where	at1	jj	nn1	io	rrq
8	a	clear	idea	of	who	at1	jj	nn1	io	pnqs
10	a	clear	image	of	the	at1	jj	nn1	io	at
24	a	clear	indication	of	the	at1	jj	nn1	io	at
5	a	clear	indication	of	what	at1	jj	nn1	io	ddq
7	a	clear	indication	that	he	at1	jj	nn1	cst	pphs1
13	a	clear	indication	that	the	at1	jj	nn1	cst	at
5	a	clear	line	of	demarcation	at1	jj	nn1	io	nn1
12	a	clear	line	of	sight	at1	jj	nn1	io	nn1
7	a	clear	link	between	the	at1	jj	nn1	ii	at
6	a	clear	look	at	the	at1	jj	nn1	ii	at
6	a	clear	majority	in	the	at1	jj	nn1	ii	at
7	a	clear	majority	of	Americans	at1	jj	nn1	io	nn2
9	a	clear	majority	of	the	at1	jj	nn1	io	at
6	a	clear	mandate	from	the	at1	jj	nn1	ii	at
5	a	clear	message	from	the	at1	jj	nn1	ii	at
5	a	clear	message	that	the	at1	jj	nn1	cst	at
37	a	clear	message	to	the	at1	jj	nn1	ii	at
18	a	clear	path	to	the	at1	jj	nn1	ii	at
14	a	clear	photo	of	your	at1	jj	nn1	io	appge
7	a	clear	picture	of	a	at1	jj	nn1	io	at1
10	a	clear	picture	of	how	at1	jj	nn1	io	rrq
6	a	clear	picture	of	how	at1	jj	nn1	io	rgq
49	a	clear	picture	of	the	at1	jj	nn1	io	at
22	a	clear	picture	of	what	at1	jj	nn1	io	ddq
5	a	clear	picture	of	where	at1	jj	nn1	io	rrq
6	a	clear	plan	of	action	at1	jj	nn1	io	nn1
8	a	clear	point	of	view	at1	jj	nn1	io	nn1
5	a	clear	preference	for	the	at1	jj	nn1	if	at
11	a	clear	reference	to	the	at1	jj	nn1	ii	at
8	a	clear	sense	of	direction	at1	jj	nn1	io	nn1
12	a	clear	sense	of	purpose	at1	jj	nn1	io	nn1
21	a	clear	sense	of	the	at1	jj	nn1	io	at
6	a	clear	sense	of	their	at1	jj	nn1	io	appge
29	a	clear	sense	of	what	at1	jj	nn1	io	ddq
6	a	clear	sense	of	where	at1	jj	nn1	io	rrq
6	a	clear	separation	between	the	at1	jj	nn1	ii	at
6	a	clear	set	of	goals	at1	jj	nn1	io	nn2
14	a	clear	shot	at	the	at1	jj	nn1	ii	at
5	a	clear	shot	of	the	at1	jj	nn1	io	at
7	a	clear	sign	of	the	at1	jj	nn1	io	at
10	a	clear	sign	that	the	at1	jj	nn1	cst	at
7	a	clear	signal	that	the	at1	jj	nn1	cst	at
19	a	clear	signal	to	the	at1	jj	nn1	ii	at
5	a	clear	statement	about	the	at1	jj	nn1	ii	at
17	a	clear	statement	of	the	at1	jj	nn1	io	at
5	a	clear	statement	that	the	at1	jj	nn1	cst	at
8	a	clear	summary	that	anyone	at1	jj	nn1	cst	pn1
7	a	clear	understanding	of	how	at1	jj	nn1	io	rrq
71	a	clear	understanding	of	the	at1	jj	nn1	io	at
8	a	clear	understanding	of	their	at1	jj	nn1	io	appge
42	a	clear	understanding	of	what	at1	jj	nn1	io	ddq
8	a	clear	victory	for	the	at1	jj	nn1	if	at
5	a	clear	view	of	a	at1	jj	nn1	io	at1
5	a	clear	view	of	him	at1	jj	nn1	io	ppho1
113	a	clear	view	of	the	at1	jj	nn1	io	at
7	a	clear	view	of	what	at1	jj	nn1	io	ddq
5	a	clear	view	to	the	at1	jj	nn1	ii	at
32	a	clear	violation	of	the	at1	jj	nn1	io	at
5	a	clear	vision	of	a	at1	jj	nn1	io	at1
19	a	clear	vision	of	the	at1	jj	nn1	io	at
9	a	clear	vision	of	what	at1	jj	nn1	io	ddq
9	a	clear	vision	of	where	at1	jj	nn1	io	rrq
5	a	clever	way	of	getting	at1	jj	nn1	io	vvg
5	a	climate	of	continuous	learning	at1	nn1	io	jj	nn1
15	a	clinical	assistant	professor	at	at1	jj	jj	nn1	ii
10	a	clinical	assistant	professor	of	at1	jj	jj	nn1	io
5	a	clinical	associate	professor	at	at1	jj	jj	nn1	ii
13	a	clinical	associate	professor	of	at1	jj	jj	nn1	io
7	a	clinical	point	of	view	at1	jj	nn1	io	nn1
23	a	clinical	professor	of	dermatology	at1	jj	nn1	io	nn1
10	a	clinical	professor	of	medicine	at1	jj	nn1	io	nn1
7	a	clinical	professor	of	obstetrics	at1	jj	nn1	io	nn1
20	a	clinical	professor	of	psychiatry	at1	jj	nn1	io	nn1
12	a	clinical	psychologist	and	author	at1	jj	nn1	cc	nn1
7	a	clinical	psychologist	and	the	at1	jj	nn1	cc	at
18	a	clinical	psychologist	at	the	at1	jj	nn1	ii	at
13	a	clinical	psychologist	in	New	at1	jj	nn1	ii	np1
9	a	clinical	psychologist	in	private	at1	jj	nn1	ii	jj
6	a	clinical	psychologist	who	has	at1	jj	nn1	pnqs	vhz
7	a	clinical	psychologist	who	works	at1	jj	nn1	pnqs	vvz
7	a	clinical	social	worker	in	at1	jj	jj	nn1	ii
7	a	clinical	trial	in	which	at1	jj	nn1	ii	ddq
5	a	close	adviser	to	the	at1	jj	nn1	ii	at
14	a	close	ally	of	the	at1	jj	nn1	io	at
7	a	close	analysis	of	the	at1	jj	nn1	io	at
6	a	close	approximation	of	the	at1	jj	nn1	io	at
6	a	close	associate	of	the	at1	jj	nn1	io	at
5	a	close	association	with	the	at1	jj	nn1	iw	at
8	a	close	circle	of	friends	at1	jj	nn1	io	nn2
7	a	close	connection	between	the	at1	jj	nn1	ii	at
6	a	close	cousin	of	the	at1	jj	nn1	io	at
9	a	close	encounter	of	the	at1	jj	nn1	io	at
13	a	close	encounter	with	a	at1	jj	nn1	iw	at1
6	a	close	encounter	with	the	at1	jj	nn1	iw	at
29	a	close	examination	of	the	at1	jj	nn1	io	at
21	A	close	examination	of	the	at1	jj	nn1	io	at
12	a	close	eye	on	him	at1	jj	nn1	ii	ppho1
6	a	close	eye	on	his	at1	jj	nn1	ii	appge
7	a	close	eye	on	that	at1	jj	nn1	ii	dd1
63	a	close	eye	on	the	at1	jj	nn1	ii	at
8	a	close	eye	on	their	at1	jj	nn1	ii	appge
7	a	close	eye	on	them	at1	jj	nn1	ii	ppho2
13	a	close	eye	on	this	at1	jj	nn1	ii	dd1
5	a	close	eye	on	those	at1	jj	nn1	ii	dd2
5	a	close	eye	on	you	at1	jj	nn1	ii	ppy
5	a	close	eye	on	your	at1	jj	nn1	ii	appge
5	a	close	family	member	who	at1	jj	nn1	nn1	pnqs
9	a	close	friend	and	a	at1	jj	nn1	cc	at1
6	a	close	friend	of	her	at1	jj	nn1	io	appge
29	a	close	friend	of	mine	at1	jj	nn1	io	ppge
10	a	close	friend	of	Mr.	at1	jj	nn1	io	nnb
67	a	close	friend	of	the	at1	jj	nn1	io	at
6	a	close	friend	or	a	at1	jj	nn1	cc	at1
5	a	close	friendship	with	the	at1	jj	nn1	iw	at
7	a	close	inspection	of	the	at1	jj	nn1	io	at
6	a	close	link	between	the	at1	jj	nn1	ii	at
9	a	close	look	at	a	at1	jj	nn1	ii	at1
11	a	close	look	at	how	at1	jj	nn1	ii	rrq
5	a	close	look	at	it	at1	jj	nn1	ii	pph1
5	a	close	look	at	one	at1	jj	nn1	ii	mc1
5	a	close	look	at	our	at1	jj	nn1	ii	appge
7	a	close	look	at	some	at1	jj	nn1	ii	dd
8	a	close	look	at	that	at1	jj	nn1	ii	dd1
118	a	close	look	at	the	at1	jj	nn1	ii	at
34	A	close	look	at	the	at1	jj	nn1	ii	at
7	a	close	look	at	their	at1	jj	nn1	ii	appge
5	a	close	look	at	these	at1	jj	nn1	ii	dd2
