15	a	baby	grand	piano	at1	nn1	jj	nn1
45	a	beautiful	piece	of	at1	jj	nn1	io
24	a	beautiful	place	to	at1	jj	nn1	to
24	a	beautiful	spring	day	at1	jj	nn1	nnt1
34	a	beautiful	thing	to	at1	jj	nn1	to
27	a	beautiful	view	of	at1	jj	nn1	io
21	a	beautiful	wife	and	at1	jj	nn1	cc
23	a	beautiful	woman	and	at1	jj	nn1	cc
27	a	beautiful	woman	in	at1	jj	nn1	ii
30	a	beautiful	woman	who	at1	jj	nn1	pnqs
27	a	beautiful	woman	with	at1	jj	nn1	iw
16	a	beautiful	young	girl	at1	jj	jj	nn1
22	a	beautiful	young	lady	at1	jj	jj	nn1
113	a	beautiful	young	woman	at1	jj	jj	nn1
48	a	behind-the-scenes	look	at	at1	jj	nn1	ii
16	a	behind-the-scenes	tour	of	at1	jj	nn1	io
14	a	beneficial	effect	in	at1	jj	nn1	ii
14	a	beneficial	effect	of	at1	jj	nn1	io
26	a	beneficial	effect	on	at1	jj	nn1	ii
14	a	beneficial	impact	on	at1	jj	nn1	ii
13	a	best-selling	author	and	at1	jj	nn1	cc
60	a	bewildering	array	of	at1	jj	nn1	io
31	a	bewildering	variety	of	at1	jj	nn1	io
12	a	big	advantage	for	at1	jj	nn1	if
18	a	big	advantage	in	at1	jj	nn1	ii
12	a	big	advantage	over	at1	jj	nn1	ii
22	a	big	advocate	of	at1	jj	nn1	io
40	a	big	bag	of	at1	jj	nn1	io
22	a	big	batch	of	at1	jj	nn1	io
15	a	big	bear	hug	at1	jj	nn1	nn1
97	a	big	believer	in	at1	jj	nn1	ii
13	a	big	believer	that	at1	jj	nn1	cst
23	a	big	bite	of	at1	jj	nn1	io
33	a	big	bite	out	at1	jj	nn1	ii21
25	a	big	block	of	at1	jj	nn1	io
21	a	big	blow	to	at1	jj	nn1	ii
16	a	big	boost	for	at1	jj	nn1	if
14	a	big	boost	from	at1	jj	nn1	ii
31	a	big	boost	in	at1	jj	nn1	ii
23	a	big	boost	to	at1	jj	nn1	ii
16	a	big	bottle	of	at1	jj	nn1	io
56	a	big	bowl	of	at1	jj	nn1	io
13	a	big	box	of	at1	jj	nn1	io
19	a	big	boy	now	at1	jj	nn1	rt
13	a	big	break	in	at1	jj	nn1	ii
16	a	big	brother	to	at1	jj	nn1	ii
26	a	big	bunch	of	at1	jj	nn1	io
12	a	big	burst	of	at1	jj	nn1	io
13	a	big	cause	of	at1	jj	nn1	io
27	a	big	challenge	for	at1	jj	nn1	if
34	a	big	change	for	at1	jj	nn1	if
37	a	big	change	from	at1	jj	nn1	ii
74	a	big	change	in	at1	jj	nn1	ii
253	a	big	chunk	of	at1	jj	nn1	io
16	A	big	chunk	of	at1	jj	nn1	io
19	a	big	chunk	out	at1	jj	nn1	ii21
14	a	big	city	and	at1	jj	nn1	cc
20	a	big	city	like	at1	jj	nn1	ii
15	a	big	company	like	at1	jj	nn1	ii
16	a	big	concern	for	at1	jj	nn1	if
13	a	big	concern	of	at1	jj	nn1	io
18	a	big	contributor	to	at1	jj	nn1	ii
17	a	big	country	and	at1	jj	nn1	cc
12	a	big	crush	on	at1	jj	nn1	ii
71	a	big	day	for	at1	jj	nnt1	if
18	a	big	day	in	at1	jj	nnt1	ii
152	a	big	deal	about	at1	jj	nn1	ii
34	a	big	deal	and	at1	jj	nn1	cc
16	a	big	deal	at	at1	jj	nn1	ii
31	a	big	deal	because	at1	jj	nn1	cs
119	a	big	deal	for	at1	jj	nn1	if
84	a	big	deal	in	at1	jj	nn1	ii
99	a	big	deal	of	at1	jj	nn1	io
179	a	big	deal	out	at1	jj	nn1	ii21
12	a	big	deal	over	at1	jj	nn1	ii
22	a	big	deal	that	at1	jj	nn1	cst
75	a	big	deal	to	at1	jj	nn1	ii
41	a	big	deal	to	at1	jj	nn1	to
28	a	big	deal	when	at1	jj	nn1	cs
14	a	big	deal	with	at1	jj	nn1	iw
19	a	big	debate	about	at1	jj	nn1	ii
14	a	big	debate	in	at1	jj	nn1	ii
12	a	big	decision	to	at1	jj	nn1	to
12	a	big	demand	for	at1	jj	nn1	if
31	a	big	dent	in	at1	jj	nn1	ii
264	a	big	difference	between	at1	jj	nn1	ii
24	a	big	difference	for	at1	jj	nn1	if
20	a	big	difference	from	at1	jj	nn1	ii
13	a	big	difference	here	at1	jj	nn1	rl
14	a	big	difference	if	at1	jj	nn1	cs
234	a	big	difference	in	at1	jj	nn1	ii
36	a	big	difference	to	at1	jj	nn1	ii
24	a	big	difference	when	at1	jj	nn1	cs
33	a	big	dose	of	at1	jj	nn1	io
13	a	big	draw	for	at1	jj	nn1	if
27	a	big	drop	in	at1	jj	nn1	ii
42	a	big	effect	on	at1	jj	nn1	ii
26	a	big	effort	to	at1	jj	nn1	to
13	a	big	emphasis	on	at1	jj	nn1	ii
16	a	big	event	in	at1	jj	nn1	ii
79	a	big	factor	in	at1	jj	nn1	ii
12	a	big	family	and	at1	jj	nn1	cc
516	a	big	fan	of	at1	jj	nn1	io
21	a	big	fight	over	at1	jj	nn1	ii
27	a	big	fight	with	at1	jj	nn1	iw
26	a	big	fish	in	at1	jj	nn	ii
22	a	big	fuss	about	at1	jj	nn1	ii
20	a	big	gap	between	at1	jj	nn1	ii
25	a	big	girl	now	at1	jj	nn1	rt
28	a	big	glass	of	at1	jj	nn1	io
25	a	big	grin	on	at1	jj	nn1	ii
33	a	big	group	of	at1	jj	nn1	io
18	a	big	gulp	of	at1	jj	nn1	io
14	a	big	guy	who	at1	jj	nn1	pnqs
19	a	big	guy	with	at1	jj	nn1	iw
18	a	big	hand	in	at1	jj	nn1	ii
15	a	big	handful	of	at1	jj	nn1	io
12	a	big	head	and	at1	jj	nn1	cc
23	a	big	head	start	at1	jj	nn1	nn1
18	a	big	heart	and	at1	jj	nn1	cc
22	a	big	help	in	at1	jj	nn1	ii
37	a	big	help	to	at1	jj	nn1	ii
20	a	big	hit	at	at1	jj	nn1	ii
25	a	big	hit	for	at1	jj	nn1	if
36	a	big	hit	in	at1	jj	nn1	ii
22	a	big	hit	on	at1	jj	nn1	ii
64	a	big	hit	with	at1	jj	nn1	iw
106	a	big	hole	in	at1	jj	nn1	ii
24	a	big	house	and	at1	jj	nn1	cc
34	a	big	house	in	at1	jj	nn1	ii
14	a	big	house	on	at1	jj	nn1	ii
21	a	big	house	with	at1	jj	nn1	iw
46	a	big	hug	and	at1	jj	nn1	cc
30	a	big	hunk	of	at1	jj	nn1	io
16	a	big	hurry	to	at1	jj	nn1	to
13	a	big	impact	in	at1	jj	nn1	ii
176	a	big	impact	on	at1	jj	nn1	ii
38	a	big	impression	on	at1	jj	nn1	ii
28	a	big	improvement	over	at1	jj	nn1	ii
15	a	big	incentive	to	at1	jj	nn1	to
54	a	big	increase	in	at1	jj	nn1	ii
44	a	big	influence	on	at1	jj	nn1	ii
14	a	big	interest	in	at1	jj	nn1	ii
16	a	big	investment	in	at1	jj	nn1	ii
14	a	big	issue	and	at1	jj	nn1	cc
73	a	big	issue	for	at1	jj	nn1	if
12	a	big	issue	here	at1	jj	nn1	rl
66	a	big	issue	in	at1	jj	nn1	ii
17	a	big	issue	of	at1	jj	nn1	io
18	a	big	issue	with	at1	jj	nn1	iw
17	a	big	jar	of	at1	jj	nn1	io
14	a	big	job	to	at1	jj	nn1	to
14	a	big	jump	from	at1	jj	nn1	ii
39	a	big	jump	in	at1	jj	nn1	ii
47	a	big	kick	out	at1	jj	nn1	ii21
12	a	big	kiss	on	at1	jj	nn1	ii
14	a	big	law	firm	at1	jj	nn1	nn1
12	a	big	leap	forward	at1	jj	nn1	rl
12	a	big	load	of	at1	jj	nn1	io
16	a	big	loss	for	at1	jj	nn1	if
22	a	big	man	and	at1	jj	nn1	cc
35	a	big	man	in	at1	jj	nn1	ii
18	a	big	man	who	at1	jj	nn1	pnqs
64	a	big	man	with	at1	jj	nn1	iw
22	a	big	market	for	at1	jj	nn1	if
19	a	big	mistake	by	at1	jj	nn1	ii
20	a	big	mistake	for	at1	jj	nn1	if
15	a	big	mistake	if	at1	jj	nn1	cs
24	a	big	mistake	in	at1	jj	nn1	ii
35	a	big	mistake	to	at1	jj	nn1	to
20	a	big	moment	for	at1	jj	nn1	if
12	a	big	mouth	and	at1	jj	nn1	cc
19	a	big	movie	star	at1	jj	nn1	nn1
17	a	big	name	in	at1	jj	nn1	ii
42	a	big	night	for	at1	jj	nnt1	if
17	a	big	night	out	at1	jj	nnt1	rp
13	a	big	oak	tree	at1	jj	nn1	nn1
14	a	big	pair	of	at1	jj	nn	io
116	a	big	part	in	at1	jj	nn1	ii
1099	a	big	part	of	at1	jj	nn1	io
85	A	big	part	of	at1	jj	nn1	io
13	a	big	party	at	at1	jj	nn1	ii
16	a	big	party	for	at1	jj	nn1	if
24	a	big	picture	of	at1	jj	nn1	io
13	a	big	picture	window	at1	jj	nn1	nn1
141	a	big	piece	of	at1	jj	nn1	io
58	a	big	pile	of	at1	jj	nn1	io
22	a	big	plate	of	at1	jj	nn1	io
40	a	big	player	in	at1	jj	nn1	ii
39	a	big	plus	for	at1	jj	nn1	if
24	a	big	point	of	at1	jj	nn1	io
19	a	big	portion	of	at1	jj	nn1	io
47	a	big	pot	of	at1	jj	nn1	io
14	a	big	price	tag	at1	jj	nn1	nn1
18	a	big	problem	and	at1	jj	nn1	cc
12	a	big	problem	because	at1	jj	nn1	cs
119	a	big	problem	for	at1	jj	nn1	if
18	a	big	problem	here	at1	jj	nn1	rl
81	a	big	problem	in	at1	jj	nn1	ii
16	a	big	problem	that	at1	jj	nn1	cst
69	a	big	problem	with	at1	jj	nn1	iw
25	a	big	proponent	of	at1	jj	nn1	io
12	a	big	push	for	at1	jj	nn1	if
18	a	big	push	to	at1	jj	nn1	to
12	a	big	question	for	at1	jj	nn1	if
73	a	big	question	mark	at1	jj	nn1	nn1
39	a	big	reason	for	at1	jj	nn1	if
20	a	big	reason	the	at1	jj	nn1	at
58	a	big	reason	why	at1	jj	nn1	rrq
22	a	big	red	flag	at1	jj	jj	nn1
178	a	big	role	in	at1	jj	nn1	ii
13	a	big	roll	of	at1	jj	nn1	io
17	a	big	room	with	at1	jj	nn1	iw
33	a	big	round	of	at1	jj	nn1	io
20	a	big	selling	point	at1	jj	nn1	nn1
23	a	big	share	of	at1	jj	nn1	io
14	a	big	shift	in	at1	jj	nn1	ii
13	a	big	shot	in	at1	jj	nn1	ii
48	a	big	show	of	at1	jj	nn1	io
28	a	big	sigh	of	at1	jj	nn1	io
18	a	big	sign	that	at1	jj	nn1	cst
24	a	big	slice	of	at1	jj	nn1	io
45	a	big	smile	and	at1	jj	nn1	cc
103	a	big	smile	on	at1	jj	nn1	ii
23	a	big	source	of	at1	jj	nn1	io
15	a	big	splash	in	at1	jj	nn1	ii
13	a	big	splash	with	at1	jj	nn1	iw
17	a	big	sports	fan	at1	jj	nn2	vv0
19	a	big	stack	of	at1	jj	nn1	io
44	a	big	stake	in	at1	jj	nn1	ii
13	a	big	star	in	at1	jj	nn1	ii
37	a	big	step	for	at1	jj	nn1	if
61	a	big	step	forward	at1	jj	nn1	rl
44	a	big	step	in	at1	jj	nn1	ii
46	a	big	step	toward	at1	jj	nn1	ii
26	a	big	step	up	at1	jj	nn1	rp
22	a	big	story	in	at1	jj	nn1	ii
57	a	big	supporter	of	at1	jj	nn1	io
12	a	big	surprise	for	at1	jj	nn1	if
37	a	big	surprise	to	at1	jj	nn1	ii
37	a	big	tax	cut	at1	jj	nn1	nn1
13	a	big	tax	cut	at1	jj	nn1	vvn
15	a	big	tax	increase	at1	jj	nn1	nn1
16	a	big	teddy	bear	at1	jj	nn1	nn1
15	a	big	thing	about	at1	jj	nn1	ii
48	a	big	thing	for	at1	jj	nn1	if
25	a	big	thing	in	at1	jj	nn1	ii
16	a	big	thing	of	at1	jj	nn1	io
17	a	big	thing	out	at1	jj	nn1	ii21
13	a	big	thing	that	at1	jj	nn1	cst
13	a	big	thing	to	at1	jj	nn1	to
16	a	big	thing	with	at1	jj	nn1	iw
18	a	big	turning	point	at1	jj	nn1	nn1
32	a	big	victory	for	at1	jj	nn1	if
16	a	big	victory	in	at1	jj	nn1	ii
18	a	big	wad	of	at1	jj	nn1	io
25	a	big	waste	of	at1	jj	nn1	io
15	a	big	way	and	at1	jj	nn1	cc
26	a	big	way	in	at1	jj	nn1	ii
16	a	big	week	for	at1	jj	nnt1	if
55	a	big	win	for	at1	jj	nn1	if
12	a	big	win	in	at1	jj	nn1	ii
15	a	big	world	out	at1	jj	nn1	rp
26	a	big	year	for	at1	jj	nnt1	if
12	a	binary	star	system	at1	jj	nn1	nn1
16	a	biological	basis	for	at1	jj	nn1	if
15	a	bipartisan	commission	on	at1	jj	nn1	ii
18	a	bipartisan	commission	to	at1	jj	nn1	to
17	a	bipartisan	effort	to	at1	jj	nn1	to
66	a	bipartisan	group	of	at1	jj	nn1	io
80	a	bird's-eye	view	of	at1	jj	nn1	io
22	a	bitter	custody	battle	at1	jj	nn1	nn1
16	a	bitter	pill	for	at1	jj	nn1	if
15	a	bitter	pill	to	at1	jj	nn1	to
26	a	bitter	taste	in	at1	jj	nn1	ii
14	a	bittersweet	moment	for	at1	jj	nn1	if
13	a	black	baseball	cap	at1	jj	nn1	nn1
46	a	black	belt	in	at1	jj	nn1	ii
12	a	black	bow	tie	at1	jj	nn1	nn1
21	a	black	church	in	at1	jj	nn1	ii
12	a	black	cocktail	dress	at1	jj	nn1	nn1
13	a	black	cowboy	hat	at1	jj	nn1	nn1
24	a	black	dress	and	at1	jj	nn1	cc
30	a	black	eye	and	at1	jj	nn1	cc
16	a	black	eye	for	at1	jj	nn1	if
19	a	Black	History	Month	at1	jj	nn1	nnt1
12	a	black	hole	and	at1	jj	nn1	cc
16	a	black	hole	at	at1	jj	nn1	ii
15	a	black	hole	for	at1	jj	nn1	if
44	a	black	hole	in	at1	jj	nn1	ii
28	a	black	hole	is	at1	jj	nn1	vbz
30	a	black	hole	of	at1	jj	nn1	io
16	a	black	hole	that	at1	jj	nn1	cst
12	a	black	leather	couch	at1	jj	nn1	nn1
79	a	black	leather	jacket	at1	jj	nn1	nn1
56	a	black	man	and	at1	jj	nn1	cc
15	a	black	man	could	at1	jj	nn1	vm
18	a	black	man	from	at1	jj	nn1	ii
103	a	black	man	in	at1	jj	nn1	ii
26	a	black	man	is	at1	jj	nn1	vbz
13	a	black	man	named	at1	jj	nn1	vvd
12	a	black	man	of	at1	jj	nn1	io
15	a	black	man	to	at1	jj	nn1	to
17	a	black	man	was	at1	jj	nn1	vbdz
98	a	black	man	who	at1	jj	nn1	pnqs
41	a	black	man	with	at1	jj	nn1	iw
20	a	black	mark	on	at1	jj	nn1	ii
12	a	black	market	in	at1	jj	nn1	ii
20	a	black	middle	class	at1	jj	jj	nn1
15	a	black	person	and	at1	jj	nn1	cc
21	a	black	person	in	at1	jj	nn1	ii
13	a	black	robe	and	at1	jj	nn1	cc
16	a	black	shirt	and	at1	jj	nn1	cc
20	a	black	suit	and	at1	jj	nn1	cc
12	a	black	sweater	and	at1	jj	nn1	cc
19	a	black	T-shirt	and	at1	jj	nn1	cc
19	a	black	T-shirt	with	at1	jj	nn1	iw
15	a	black	tank	top	at1	jj	nn1	nn1
12	a	black	trench	coat	at1	jj	nn1	nn1
12	a	black	turtleneck	and	at1	jj	nn1	cc
15	a	black	widow	spider	at1	jj	nn1	nn1
18	a	black	woman	and	at1	jj	nn1	cc
30	a	black	woman	in	at1	jj	nn1	ii
38	a	black	woman	who	at1	jj	nn1	pnqs
18	a	black	woman	with	at1	jj	nn1	iw
12	a	black-and-white	photo	of	at1	jj	nn1	io
12	a	black-tie	dinner	at	at1	jj	nn1	ii
23	a	blank	check	for	at1	jj	nn1	if
26	a	blank	check	to	at1	jj	nn1	to
18	a	blank	check	to	at1	jj	nn1	ii
14	a	blank	look	on	at1	jj	nn1	ii
35	a	blank	piece	of	at1	jj	nn1	io
52	a	blank	sheet	of	at1	jj	nn1	io
13	a	blank	spot	on	at1	jj	nn1	ii
15	a	blatant	attempt	to	at1	jj	nn1	to
13	a	blatant	example	of	at1	jj	nn1	io
21	a	blatant	violation	of	at1	jj	nn1	io
18	a	bleak	picture	of	at1	jj	nn1	io
12	a	blind	date	in	at1	jj	nn1	ii
25	a	blind	date	with	at1	jj	nn1	iw
13	a	blind	eye	on	at1	jj	nn1	ii
290	a	blind	eye	to	at1	jj	nn1	ii
19	a	blind	eye	toward	at1	jj	nn1	ii
17	a	blinding	flash	of	at1	jj	nn1	io
14	a	blistering	attack	on	at1	jj	nn1	ii
19	a	bloodless	coup	in	at1	jj	nn1	ii
39	a	bloody	civil	war	at1	jj	jj	nn1
18	a	blue	blazer	and	at1	jj	nn1	cc
12	a	blue	ribbon	commission	at1	jj	nn1	nn1
13	a	blue	shirt	and	at1	jj	nn1	cc
13	a	blue	suit	and	at1	jj	nn1	cc
15	a	blue	work	shirt	at1	jj	nn1	nn1
12	a	board-certified	plastic	surgeon	at1	jj	nn1	nn1
13	a	boiling	water	bath	at1	jj	nn1	nn1
13	a	booming	business	in	at1	jj	nn1	ii
13	a	booming	economy	and	at1	jj	nn1	cc
14	a	booming	stock	market	at1	jj	nn1	nn1
14	a	born-again	Christian	who	at1	jj	nn1	pnqs
13	a	Boston	Red	Sox	at1	np1	jj	nn2
16	a	bottomless	pit	of	at1	jj	nn1	io
12	a	brand-new	pair	of	at1	jj	nn	io
14	a	brave	face	on	at1	jj	nn1	ii
70	a	brave	new	world	at1	jj	jj	nn1
29	a	breathtaking	view	of	at1	jj	nn1	io
30	a	brief	account	of	at1	jj	nn1	io
13	a	brief	affair	with	at1	jj	nn1	iw
12	a	brief	analysis	of	at1	jj	nn1	io
14	a	brief	appearance	in	at1	jj	nn1	ii
18	a	brief	biography	of	at1	jj	nn1	io
16	a	brief	conversation	with	at1	jj	nn1	iw
149	a	brief	description	of	at1	jj	nn1	io
31	A	brief	description	of	at1	jj	nn1	io
70	a	brief	discussion	of	at1	jj	nn1	io
17	a	brief	examination	of	at1	jj	nn1	io
33	a	brief	explanation	of	at1	jj	nn1	io
19	a	brief	flash	of	at1	jj	nn1	io
16	a	brief	flurry	of	at1	jj	nn1	io
47	a	brief	glimpse	of	at1	jj	nn1	io
77	a	brief	history	of	at1	jj	nn1	io
36	A	Brief	History	of	at1	jj	nn1	io
22	A	brief	history	of	at1	jj	nn1	io
29	a	brief	introduction	to	at1	jj	nn1	ii
16	a	brief	list	of	at1	jj	nn1	io
67	a	brief	look	at	at1	jj	nn1	ii
14	A	brief	look	at	at1	jj	nn1	ii
13	a	brief	meeting	with	at1	jj	nn1	iw
13	a	brief	mention	of	at1	jj	nn1	io
12	a	brief	moment	I	at1	jj	nn1	ppis1
15	a	brief	moment	in	at1	jj	nn1	ii
53	a	brief	moment	of	at1	jj	nn1	io
15	a	brief	news	conference	at1	jj	nn1	nn1
15	a	brief	outline	of	at1	jj	nn1	io
107	a	brief	overview	of	at1	jj	nn1	io
18	A	brief	overview	of	at1	jj	nn1	io
13	a	brief	pause	in	at1	jj	nn1	ii
25	a	brief	period	in	at1	jj	nn1	ii
125	a	brief	period	of	at1	jj	nn1	io
14	a	brief	period	when	at1	jj	nn1	rrq
50	A	brief	program	note	at1	jj	nn1	nn1
21	a	brief	respite	from	at1	jj	nn1	ii
64	a	brief	review	of	at1	jj	nn1	io
30	A	brief	review	of	at1	jj	nn1	io
12	a	brief	sketch	of	at1	jj	nn1	io
13	a	brief	stay	in	at1	jj	nn1	ii
16	a	brief	stint	as	at1	jj	nn1	ii
15	a	brief	stint	at	at1	jj	nn1	ii
37	a	brief	stint	in	at1	jj	nn1	ii
12	a	brief	stop	at	at1	jj	nn1	ii
75	a	brief	summary	of	at1	jj	nn1	io
12	A	brief	summary	of	at1	jj	nn1	io
30	a	brief	survey	of	at1	jj	nn1	io
16	a	brief	synopsis	of	at1	jj	nn1	io
21	a	brief	time	in	at1	jj	nnt1	ii
28	a	brief	tour	of	at1	jj	nn1	io
31	a	brief	typed	article	at1	jj	jj	nn1
28	a	brief	visit	to	at1	jj	nn1	ii
17	a	bright	blue	sky	at1	jj	jj	nn1
43	a	bright	future	for	at1	jj	nn1	if
14	a	bright	future	in	at1	jj	nn1	ii
12	a	bright	light	in	at1	jj	nn1	ii
18	a	bright	light	on	at1	jj	nn1	ii
20	a	bright	side	to	at1	jj	nn1	ii
39	a	bright	spot	in	at1	jj	nn1	ii
17	a	bright	sunny	day	at1	jj	jj	nnt1
13	a	bright	young	man	at1	jj	jj	nn1
12	a	brilliant	blue	sky	at1	jj	jj	nn1
13	a	brilliant	job	of	at1	jj	nn1	io
20	a	brilliant	piece	of	at1	jj	nn1	io
28	a	brisk	business	in	at1	jj	nn1	ii
12	a	British	journalist	who	at1	jj	nn1	pnqs
186	a	broad	array	of	at1	jj	nn1	io
20	a	broad	band	of	at1	jj	nn1	io
65	a	broad	base	of	at1	jj	nn1	io
12	a	broad	class	of	at1	jj	nn1	io
37	a	broad	coalition	of	at1	jj	nn1	io
16	a	broad	consensus	on	at1	jj	nn1	ii
15	a	broad	consensus	that	at1	jj	nn1	cst
16	a	broad	cross	section	at1	jj	nn1	nn1
37	a	broad	cross-section	of	at1	jj	nn1	io
31	a	broad	definition	of	at1	jj	nn1	io
26	a	broad	expanse	of	at1	jj	nn1	io
24	a	broad	interpretation	of	at1	jj	nn1	io
14	a	broad	measure	of	at1	jj	nn1	io
12	a	broad	mix	of	at1	jj	nn1	io
20	a	broad	overview	of	at1	jj	nn1	io
16	a	broad	picture	of	at1	jj	nn1	io
925	a	broad	range	of	at1	jj	nn1	io
19	A	broad	range	of	at1	jj	nn1	io
16	a	broad	review	of	at1	jj	nn1	io
22	a	broad	selection	of	at1	jj	nn1	io
35	a	broad	set	of	at1	jj	nn1	io
13	a	broad	smile	and	at1	jj	nn1	cc
13	a	broad	smile	on	at1	jj	nn1	ii
261	a	broad	spectrum	of	at1	jj	nn1	io
45	a	broad	swath	of	at1	jj	nn1	io
16	a	broad	sweep	of	at1	jj	nn1	io
22	a	broad	understanding	of	at1	jj	nn1	io
52	a	broad	variety	of	at1	jj	nn1	io
51	a	broad	view	of	at1	jj	nn1	io
13	a	broad-based	energy	tax	at1	jj	nn1	nn1
14	a	broadband	Internet	connection	at1	jj	nn1	nn1
14	a	broken	arm	and	at1	jj	nn1	cc
36	a	broken	bone	in	at1	jj	nn1	ii
12	a	broken	heart	and	at1	jj	nn1	cc
27	a	broken	leg	and	at1	jj	nn1	cc
14	a	broken	nose	and	at1	jj	nn1	cc
132	a	brown	paper	bag	at1	jj	nn1	nn1
14	a	brown	paper	sack	at1	jj	nn1	nn1
18	a	brutal	civil	war	at1	jj	jj	nn1
12	a	Buddhist	temple	in	at1	jj	nn1	ii
56	a	bumper	crop	of	at1	jj	nn1	io
27	a	bumper	sticker	on	at1	jj	nn1	ii
43	a	bumper	sticker	that	at1	jj	nn1	cst
12	a	burly	man	with	at1	jj	nn1	iw
