19	a	few	kind	words	at1	da2	jj	nn2
12	at	key	points	in	ii	jj	nn2	ii
13	be	a	key	component	vbi	at1	jj	nn1
32	be	a	key	factor	vbi	at1	jj	nn1
13	be	a	key	issue	vbi	at1	jj	nn1
24	be	a	key	part	vbi	at1	jj	nn1
20	be	a	key	player	vbi	at1	jj	nn1
14	been	a	key	player	vbn	at1	jj	nn1
18	BOX	THREE	KEY	FACTS	nn1	mc	jj	nn2
12	But	the	key	point	ccb	at	jj	nn1
24	But	the	key	thing	ccb	at	jj	nn1
12	do	n't	know-	Mr.	vd0	xx	jj	nnb
24	during	the	Korean	War	ii	at	jj	nn1
66	each	kosher	salt	and	dd1	jj	nn1	cc
14	had	a	keen	interest	vhd	at1	jj	nn1
20	has	a	keen	interest	vhz	at1	jj	nn1
18	has	a	keen	sense	vhz	at1	jj	nn1
17	has	a	key	role	vhz	at1	jj	nn1
17	have	a	key	role	vh0	at1	jj	nn1
12	have	a	key	role	vhi	at1	jj	nn1
15	in	key	areas	of	ii	jj	nn2	io
15	in	key	areas	such	ii	jj	nn2	ii21
14	in	khaki	pants	and	ii	jj	nn2	cc
12	in	khaki	shorts	and	ii	jj	nn2	cc
12	in	the	kicking	game	ii	at	jj	nn1
39	in	the	known	universe	ii	at	jj	nn1
13	in	the	known	world	ii	at	jj	nn1
34	in	the	Korean	peninsula	ii	at	jj	nn1
35	in	the	Korean	War	ii	at	jj	nn1
14	in	the	Kuwaiti	desert	ii	at	jj	nn1
23	in	the	Kuwaiti	theater	ii	at	jj	nn1
14	Iraqi	and	Kuwaiti	oil	jj	cc	jj	nn1
12	is	a	key	aspect	vbz	at1	jj	nn1
76	is	a	key	component	vbz	at1	jj	nn1
12	is	a	key	concept	vbz	at1	jj	nn1
19	is	a	key	determinant	vbz	at1	jj	nn1
96	is	a	key	element	vbz	at1	jj	nn1
65	is	a	key	factor	vbz	at1	jj	nn1
13	is	a	key	figure	vbz	at1	jj	nn1
35	is	a	key	ingredient	vbz	at1	jj	nn1
34	is	a	key	issue	vbz	at1	jj	nn1
63	is	a	key	part	vbz	at1	jj	nn1
28	is	a	key	player	vbz	at1	jj	nn1
18	is	a	key	point	vbz	at1	jj	nn1
31	is	a	key	reason	vbz	at1	jj	nn1
14	is	a	key	word	vbz	at1	jj	nn1
12	is	a	known	fact	vbz	at1	jj	nn1
22	is	no	known	cure	vbz	at	jj	nn1
24	is	the	key	element	vbz	at	jj	nn1
20	is	the	key	factor	vbz	at	jj	nn1
27	is	the	key	issue	vbz	at	jj	nn1
15	is	the	key	point	vbz	at	jj	nn1
20	is	the	key	question	vbz	at	jj	nn1
16	is	the	key	thing	vbz	at	jj	nn1
44	is	the	key	word	vbz	at	jj	nn1
14	Japanese	and	Korean	governments	nn1	cc	jj	nn2
16	keen	awareness	of	the	jj	nn1	io	at
51	keen	interest	in	the	jj	nn1	ii	at
13	keen	sense	of	humor	jj	nn1	io	nn1
15	keen	sense	of	smell	jj	nn1	io	nn1
13	keen	sense	of	the	jj	nn1	io	at
12	keen	understanding	of	the	jj	nn1	io	at
15	key	areas	of	the	jj	nn2	io	at
18	key	areas	such	as	jj	nn2	ii21	ii22
13	Key	Asian	markets	are	jj	jj	nn2	vbr
28	key	aspect	of	the	jj	nn1	io	at
37	key	aspects	of	the	jj	nn2	io	at
24	Key	changes	since	start	jj	nn2	cs	nn1
18	key	component	in	the	jj	nn1	ii	at
12	key	component	of	a	jj	nn1	io	at1
85	key	component	of	the	jj	nn1	io	at
15	key	component	of	this	jj	nn1	io	dd1
14	key	components	of	a	jj	nn2	io	at1
48	key	components	of	the	jj	nn2	io	at
19	key	difference	between	the	jj	nn1	ii	at
17	key	difference	is	that	jj	nn1	vbz	cst
71	key	element	in	the	jj	nn1	ii	at
74	key	element	of	the	jj	nn1	io	at
23	key	elements	in	the	jj	nn2	ii	at
16	key	elements	of	a	jj	nn2	io	at1
80	key	elements	of	the	jj	nn2	io	at
77	key	factor	in	the	jj	nn1	ii	at
39	key	feature	of	the	jj	nn1	io	at
37	key	features	of	the	jj	nn2	io	at
61	key	figure	in	the	jj	nn1	ii	at
46	key	figures	in	the	jj	nn2	ii	at
16	key	indicator	of	the	jj	nn1	io	at
23	key	ingredient	in	the	jj	nn1	ii	at
13	key	issue	here	is	jj	nn1	rl	vbz
36	key	issue	in	the	jj	nn1	ii	at
13	key	issue	in	this	jj	nn1	ii	dd1
17	key	issue	is	the	jj	nn1	vbz	at
14	key	issue	is	whether	jj	nn1	vbz	csw
18	key	issues	in	the	jj	nn2	ii	at
12	key	issues	such	as	jj	nn2	ii21	ii22
55	key	member	of	the	jj	nn1	io	at
36	key	members	of	Congress	jj	nn2	io	nn1
12	key	members	of	his	jj	nn2	io	appge
84	key	members	of	the	jj	nn2	io	at
26	key	moment	in	the	jj	nn1	ii	at
15	key	moments	in	the	jj	nn2	ii	at
14	key	part	of	that	jj	nn1	io	dd1
166	key	part	of	the	jj	nn1	io	at
20	key	part	of	their	jj	nn1	io	appge
20	key	part	of	this	jj	nn1	io	dd1
12	key	participants	in	the	jj	nn2	ii	at
48	key	parts	of	the	jj	nn2	io	at
44	key	piece	of	evidence	jj	nn1	io	nn1
14	key	piece	of	the	jj	nn1	io	at
14	key	pieces	of	evidence	jj	nn2	io	nn1
77	key	player	in	the	jj	nn1	ii	at
101	key	players	in	the	jj	nn2	ii	at
13	key	players	in	this	jj	nn2	ii	dd1
22	key	point	here	is	jj	nn1	rl	vbz
27	key	point	is	that	jj	nn1	vbz	cst
21	key	points	in	the	jj	nn2	ii	at
12	key	points	of	the	jj	nn2	io	at
25	key	positions	in	the	jj	nn2	ii	at
14	key	provision	of	the	jj	nn1	io	at
23	key	provisions	of	the	jj	nn2	io	at
14	key	question	is	how	jj	nn1	vbz	rrq
33	key	question	is	whether	jj	nn1	vbz	csw
17	key	reason	for	the	jj	nn1	if	at
21	key	role	in	helping	jj	nn1	ii	vvg
13	key	role	in	shaping	jj	nn1	ii	vvg
215	key	role	in	the	jj	nn1	ii	at
20	key	role	in	this	jj	nn1	ii	dd1
15	key	role	to	play	jj	nn1	to	vvi
43	key	roles	in	the	jj	nn2	ii	at
16	key	sectors	of	the	jj	nn2	io	at
19	key	thing	here	is	jj	nn1	rl	vbz
25	key	thing	is	that	jj	nn1	vbz	cst
25	key	thing	is	to	jj	nn1	vbz	to
15	key	thing	to	remember	jj	nn1	to	vvi
14	key	witness	in	the	jj	nn1	ii	at
30	key	word	here	is	jj	nn1	rl	vbz
14	key	word	in	the	jj	nn1	ii	at
26	khaki	pants	and	a	jj	nn2	cc	at1
16	khaki	shorts	and	a	jj	nn2	cc	at1
23	Khalid	Sheikh	Mohammed	and	jj	nnb	np1	cc
22	kinetic	energy	of	the	jj	nn1	io	at
14	known	risk	factors	for	jj	nn1	nn2	if
13	Korean	leader	Kim	Il	jj	nn1	np1	np1
25	Korean	leader	Kim	Jong	jj	nn1	np1	np1
57	Kosher	salt	and	freshly	jj	nn1	cc	rr
40	kosher	salt	and	freshly	jj	nn1	cc	rr
32	kosher	salt	and	pepper	jj	nn1	cc	nn1
15	Kosher	salt	and	pepper	jj	nn1	cc	nn1
25	Kosher	salt	to	taste	jj	nn1	to	vvi
18	kosher	salt	tsp	freshly	jj	nn1	nnu	rr
13	kosher	salt	tsp.	freshly	jj	nn1	nnu	rr
19	Kuwaiti	Ambassador	to	the	jj	nn1	ii	at
14	Kuwaiti	ambassador	to	the	jj	nn1	ii	at
21	Kuwaiti	theater	of	operations	jj	nn1	io	nn2
19	near	the	Kuwaiti	border	ii	at	jj	nn1
47	North	Korean	leader	Kim	np1	jj	nn1	np1
13	North	Korean	nuclear	crisis	np1	jj	jj	nn1
25	North	Korean	nuclear	program	np1	jj	jj	nn1
16	number	of	key	issues	nn1	io	jj	nn2
13	of	keen	interest	to	io	jj	nn1	ii
12	of	Khalid	Sheik	Mohammed	io	jj	nnb	np1
21	of	the	key	components	io	at	jj	nn2
15	of	the	key	differences	io	at	jj	nn2
61	of	the	key	elements	io	at	jj	nn2
40	of	the	key	factors	io	at	jj	nn2
24	of	the	key	features	io	at	jj	nn2
29	of	the	key	figures	io	at	jj	nn2
13	of	the	key	findings	io	at	jj	nn2
18	of	the	key	ingredients	io	at	jj	nn2
77	of	the	key	issues	io	at	jj	nn2
15	of	the	key	members	io	at	jj	nn2
19	of	the	key	people	io	at	jj	nn
73	of	the	key	players	io	at	jj	nn2
30	of	the	key	points	io	at	jj	nn2
15	of	the	key	problems	io	at	jj	nn2
32	of	the	key	questions	io	at	jj	nn2
25	of	the	key	reasons	io	at	jj	nn2
39	of	the	key	things	io	at	jj	nn2
12	of	the	key	variables	io	at	jj	nn2
23	of	the	known	universe	io	at	jj	nn1
45	of	the	known	world	io	at	jj	nn1
37	of	the	Korean	peninsula	io	at	jj	nn1
15	of	the	Korean	people	io	at	jj	nn
37	of	the	Korean	War	io	at	jj	nn1
19	of	the	Kuwaiti	government	io	at	jj	nn1
27	of	the	Kuwaiti	resistance	io	at	jj	nn1
12	on	his	key	chain	ii	appge	jj	nn1
13	on	several	key	issues	ii	da2	jj	nn2
14	on	the	key	issue	ii	at	jj	nn1
19	on	the	key	issues	ii	at	jj	nn2
148	on	the	Korean	peninsula	ii	at	jj	nn1
57	on	the	Korean	Peninsula	ii	at	jj	nn1
185	play	a	key	role	vvi	at1	jj	nn1
108	play	a	key	role	vv0	at1	jj	nn1
19	play	key	roles	in	vv0	jj	nn2	ii
16	play	key	roles	in	vvi	jj	nn2	ii
12	played	a	key	part	vvd	at1	jj	nn1
287	played	a	key	role	vvd	at1	jj	nn1
94	played	a	key	role	vvn	at1	jj	nn1
26	played	key	roles	in	vvd	jj	nn2	ii
49	playing	a	key	role	vvg	at1	jj	nn1
12	playing	key	roles	in	vvg	jj	nn2	ii
142	plays	a	key	role	vvz	at1	jj	nn1
13	salt	or	kosher	salt	nn1	cc	jj	nn1
15	shirt	and	khaki	pants	nn1	cc	jj	nn2
15	since	the	Korean	War	cs	at	jj	nn1
12	teaspoon	kosher	salt	teaspoon	nn1	jj	nn1	nn1
13	the	key	aspects	of	at	jj	nn2	io
15	the	key	component	of	at	jj	nn1	io
24	the	key	components	of	at	jj	nn2	io
17	The	key	difference	between	at	jj	nn1	ii
14	the	key	differences	between	at	jj	nn2	ii
30	the	key	element	in	at	jj	nn1	ii
12	The	key	element	in	at	jj	nn1	ii
20	the	key	element	of	at	jj	nn1	io
25	the	key	elements	in	at	jj	nn2	ii
76	the	key	elements	of	at	jj	nn2	io
41	the	key	factor	in	at	jj	nn1	ii
12	The	key	factor	in	at	jj	nn1	ii
22	the	key	factors	in	at	jj	nn2	ii
12	the	key	factors	that	at	jj	nn2	cst
14	The	key	feature	of	at	jj	nn1	io
29	the	key	features	of	at	jj	nn2	io
14	the	key	figure	in	at	jj	nn1	ii
26	the	key	figures	in	at	jj	nn2	ii
15	the	key	ingredient	in	at	jj	nn1	ii
16	the	key	issue	here	at	jj	nn1	rl
21	the	key	issue	in	at	jj	nn1	ii
33	The	key	issue	is	at	jj	nn1	vbz
28	the	key	issue	is	at	jj	nn1	vbz
26	the	key	issue	of	at	jj	nn1	io
22	the	key	issues	in	at	jj	nn2	ii
18	the	key	issues	of	at	jj	nn2	io
17	the	key	issues	that	at	jj	nn2	cst
24	the	key	members	of	at	jj	nn2	io
15	the	key	part	of	at	jj	nn1	io
21	the	key	piece	of	at	jj	nn1	io
16	the	key	player	in	at	jj	nn1	ii
12	the	key	players	are	at	jj	nn2	vbr
66	the	key	players	in	at	jj	nn2	ii
13	the	key	point	here	at	jj	nn1	rl
27	the	key	point	is	at	jj	nn1	vbz
20	The	key	point	is	at	jj	nn1	vbz
19	the	key	points	of	at	jj	nn2	io
59	The	key	question	is	at	jj	nn1	vbz
37	the	key	question	is	at	jj	nn1	vbz
12	the	key	question	of	at	jj	nn1	io
17	the	key	role	in	at	jj	nn1	ii
35	the	key	role	of	at	jj	nn1	io
15	the	key	role	that	at	jj	nn1	cst
17	the	key	thing	here	at	jj	nn1	rl
12	The	key	thing	here	at	jj	nn1	rl
72	the	key	thing	is	at	jj	nn1	vbz
38	The	key	thing	is	at	jj	nn1	vbz
14	the	key	thing	that	at	jj	nn1	cst
17	the	key	things	that	at	jj	nn2	cst
26	the	key	word	here	at	jj	nn1	rl
21	The	key	word	here	at	jj	nn1	rl
19	The	key	word	in	at	jj	nn1	ii
16	the	key	word	in	at	jj	nn1	ii
39	The	key	word	is	at	jj	nn1	vbz
28	the	key	word	is	at	jj	nn1	vbz
36	the	kinetic	energy	of	at	jj	nn1	io
32	the	Korean	peninsula	and	at	jj	nn1	cc
19	the	Korean	peninsula	is	at	jj	nn1	vbz
15	the	Kurdish	Democratic	Party	at	jj	jj	nn1
13	the	Kuwaiti	ambassador	to	at	jj	nn1	ii
17	the	Kuwaiti	royal	family	at	jj	jj	nn1
26	the	Kuwaiti	theater	of	at	jj	nn1	io
17	the	North	Korean	capital	at	np1	jj	nn1
15	the	North	Korean	economy	at	np1	jj	nn1
37	the	North	Korean	government	at	np1	jj	nn1
29	the	North	Korean	leader	at	np1	jj	nn1
12	the	North	Korean	leadership	at	np1	jj	nn1
20	the	North	Korean	missile	at	np1	jj	nn1
13	the	North	Korean	people	at	np1	jj	nn
67	the	North	Korean	regime	at	np1	jj	nn1
20	the	North	Korean	threat	at	np1	jj	nn1
15	the	South	Korean	capital	at	np1	jj	nn1
63	the	South	Korean	government	at	np1	jj	nn1
19	The	South	Korean	government	at	np1	jj	nn1
20	the	South	Korean	president	at	np1	jj	nn1
34	think	the	key	thing	vv0	at	jj	nn1
12	to	play	key	roles	to	vvi	jj	nn2
12	to	the	Kuwaiti	border	ii	at	jj	nn1
19	took	a	keen	interest	vvd	at1	jj	nn1
21	tsp	each	kosher	salt	nnu	dd1	jj	nn1
22	tsp	kosher	salt	tsp	nnu	jj	nn1	nnu
45	tsp.	each	kosher	salt	nnu	dd1	jj	nn1
31	tsp.	kosher	salt	tsp.	nnu	jj	nn1	nnu
13	two	key	members	of	mc	jj	nn2	io
15	was	a	key	component	vbdz	at1	jj	nn1
24	was	a	key	element	vbdz	at1	jj	nn1
39	was	a	key	factor	vbdz	at1	jj	nn1
18	was	a	key	figure	vbdz	at1	jj	nn1
13	was	a	key	member	vbdz	at1	jj	nn1
23	was	a	key	part	vbdz	at1	jj	nn1
39	was	a	key	player	vbdz	at1	jj	nn1
26	with	a	keen	eye	iw	at1	jj	nn1
20	with	a	keen	sense	iw	at1	jj	nn1
23	with	a	knowing	smile	iw	at1	jj	nn1
21	with	kosher	salt	and	iw	jj	nn1	cc
13	with	no	known	cause	iw	at	jj	nn1
