5	a	bacterial	or	viral	infection	at1	jj	cc	jj	nn1
9	a	bad	thing	for	a	at1	jj	nn1	if	at1
14	a	bad	thing	for	the	at1	jj	nn1	if	at
7	a	bad	thing	if	you	at1	jj	nn1	cs	ppy
5	a	bad	thing	in	a	at1	jj	nn1	ii	at1
12	a	bad	thing	to	be	at1	jj	nn1	to	vbi
31	a	bad	thing	to	do	at1	jj	nn1	to	vdi
17	a	bad	thing	to	have	at1	jj	nn1	to	vhi
9	a	bad	thing	to	say	at1	jj	nn1	to	vvi
6	a	bad	time	for	me	at1	jj	nnt1	if	ppio1
6	a	bad	time	for	the	at1	jj	nnt1	if	at
10	a	bad	time	of	it	at1	jj	nnt1	io	pph1
12	a	bad	time	to	be	at1	jj	nnt1	to	vbi
6	a	bad	way	to	die	at1	jj	nn1	to	vvi
5	a	bad	way	to	get	at1	jj	nn1	to	vvi
13	a	bad	way	to	go	at1	jj	nn1	to	vvi
7	a	bad	way	to	live	at1	jj	nn1	to	vvi
7	a	bad	way	to	spend	at1	jj	nn1	to	vvi
15	a	bad	way	to	start	at1	jj	nn1	to	vvi
6	a	bad	week	for	the	at1	jj	nnt1	if	at
10	a	bad	word	to	say	at1	jj	nn1	to	vvi
6	a	bad	year	for	the	at1	jj	nnt1	if	at
6	a	balanced	budget	amendment	and	at1	jj	nn1	nn1	cc
5	a	balanced	budget	amendment	is	at1	jj	nn1	nn1	vbz
30	a	balanced	budget	amendment	to	at1	jj	nn1	nn1	ii
7	a	balanced	budget	and	a	at1	jj	nn1	cc	at1
6	a	balanced	budget	and	the	at1	jj	nn1	cc	at
5	a	balanced	budget	and	then	at1	jj	nn1	cc	rt
12	a	balanced	budget	by	the	at1	jj	nn1	ii	at
7	a	balanced	budget	for	the	at1	jj	nn1	if	at
24	a	balanced	budget	in	seven	at1	jj	nn1	ii	mc
13	a	balanced	budget	in	the	at1	jj	nn1	ii	at
5	a	balanced	budget	is	a	at1	jj	nn1	vbz	at1
5	a	balanced	budget	this	year	at1	jj	nn1	dd1	nnt1
5	a	balanced	budget	with	drastic	at1	jj	nn1	iw	jj
5	a	balanced	diet	rich	in	at1	jj	nn1	jj	ii
5	a	balanced	view	of	the	at1	jj	nn1	io	at
9	a	balanced-budget	amendment	to	the	at1	jj	nn1	ii	at
5	a	bald	spot	on	the	at1	jj	nn1	ii	at
5	A	balding	man	with	a	at1	jj	nn1	iw	at1
8	a	ballistic	missile	defense	system	at1	jj	nn1	nn1	nn1
6	a	barbed	wire	fence	and	at1	jj	nn1	nn1	cc
5	a	bare	majority	of	the	at1	jj	nn1	io	at
6	a	bases-loaded	jam	in	the	at1	jj	nn1	ii	at
5	a	basic	change	in	the	at1	jj	nn1	ii	at
7	a	basic	knowledge	of	the	at1	jj	nn1	io	at
5	a	basic	lack	of	understanding	at1	jj	nn1	io	nn1
17	a	basic	part	of	the	at1	jj	nn1	io	at
5	a	basic	rule	of	porno	at1	jj	nn1	io	nn1
5	a	basic	tenet	of	the	at1	jj	nn1	io	at
13	a	basic	understanding	of	how	at1	jj	nn1	io	rrq
25	a	basic	understanding	of	the	at1	jj	nn1	io	at
8	a	basic	understanding	of	what	at1	jj	nn1	io	ddq
5	a	battered	husband	or	boyfriend	at1	jj	nn1	cc	nn1
8	a	bearded	man	in	a	at1	jj	nn1	ii	at1
6	a	bearded	man	with	a	at1	jj	nn1	iw	at1
11	a	beautiful	day	for	a	at1	jj	nnt1	if	at1
6	a	beautiful	day	here	in	at1	jj	nnt1	rl	ii
11	a	beautiful	day	in	the	at1	jj	nnt1	ii	at
16	a	beautiful	part	of	the	at1	jj	nn1	io	at
7	a	beautiful	piece	of	work	at1	jj	nn1	io	nn1
7	a	beautiful	place	to	live	at1	jj	nn1	to	vvi
5	a	beautiful	sight	to	see	at1	jj	nn1	to	vvi
11	a	beautiful	thing	to	see	at1	jj	nn1	to	vvi
5	a	beautiful	thing	to	watch	at1	jj	nn1	to	vvi
23	a	beautiful	view	of	the	at1	jj	nn1	io	at
10	a	beautiful	woman	in	a	at1	jj	nn1	ii	at1
9	a	beautiful	woman	in	her	at1	jj	nn1	ii	appge
7	a	beautiful	woman	with	a	at1	jj	nn1	iw	at1
6	a	beautiful	work	of	art	at1	jj	nn1	io	nn1
9	a	beautiful	young	woman	and	at1	jj	jj	nn1	cc
5	a	beautiful	young	woman	in	at1	jj	jj	nn1	ii
8	a	beautiful	young	woman	named	at1	jj	jj	nn1	vvd
14	a	beautiful	young	woman	who	at1	jj	jj	nn1	pnqs
7	a	beautiful	young	woman	with	at1	jj	jj	nn1	iw
6	a	behind-the-scenes	look	at	how	at1	jj	nn1	ii	rrq
20	a	behind-the-scenes	look	at	the	at1	jj	nn1	ii	at
8	a	behind-the-scenes	tour	of	the	at1	jj	nn1	io	at
5	a	beneficial	effect	in	the	at1	jj	nn1	ii	at
7	a	beneficial	effect	on	the	at1	jj	nn1	ii	at
8	a	big	advantage	in	the	at1	jj	nn1	ii	at
5	a	big	advocate	of	the	at1	jj	nn1	io	at
5	a	big	bear	of	a	at1	jj	nn1	io	at1
5	a	big	believer	in	that	at1	jj	nn1	ii	dd1
11	a	big	believer	in	the	at1	jj	nn1	ii	at
6	a	big	bite	of	the	at1	jj	nn1	io	at
33	a	big	bite	out	of	at1	jj	nn1	ii21	ii22
5	a	big	block	of	ice	at1	jj	nn1	io	nn1
6	a	big	blow	to	the	at1	jj	nn1	ii	at
7	a	big	boost	for	the	at1	jj	nn1	if	at
6	a	big	boost	to	the	at1	jj	nn1	ii	at
5	a	big	boy	and	I	at1	jj	nn1	cc	ppis1
7	a	big	brass	key	to	at1	jj	nn1	nn1	ii
8	a	big	break	in	the	at1	jj	nn1	ii	at
6	a	big	change	for	the	at1	jj	nn1	if	at
15	a	big	change	from	the	at1	jj	nn1	ii	at
5	a	big	change	in	him	at1	jj	nn1	ii	ppho1
17	a	big	change	in	the	at1	jj	nn1	ii	at
11	a	big	chunk	of	change	at1	jj	nn1	io	nn1
9	a	big	chunk	of	his	at1	jj	nn1	io	appge
10	a	big	chunk	of	it	at1	jj	nn1	io	pph1
8	a	big	chunk	of	its	at1	jj	nn1	io	appge
14	a	big	chunk	of	money	at1	jj	nn1	io	nn1
7	a	big	chunk	of	my	at1	jj	nn1	io	appge
12	a	big	chunk	of	that	at1	jj	nn1	io	dd1
69	a	big	chunk	of	the	at1	jj	nn1	io	at
6	A	big	chunk	of	the	at1	jj	nn1	io	at
8	a	big	chunk	of	their	at1	jj	nn1	io	appge
5	a	big	chunk	of	time	at1	jj	nn1	io	nnt1
6	a	big	chunk	of	your	at1	jj	nn1	io	appge
19	a	big	chunk	out	of	at1	jj	nn1	ii21	ii22
5	a	big	city	and	a	at1	jj	nn1	cc	at1
5	a	big	company	with	a	at1	jj	nn1	iw	at1
9	a	big	contributor	to	the	at1	jj	nn1	ii	at
5	a	big	crack	in	the	at1	jj	nn1	ii	at
9	a	big	day	for	the	at1	jj	nnt1	if	at
6	a	big	day	for	you	at1	jj	nnt1	if	ppy
6	a	big	day	in	the	at1	jj	nnt1	ii	at
41	a	big	deal	about	it	at1	jj	nn1	ii	pph1
6	a	big	deal	about	that	at1	jj	nn1	ii	dd1
22	a	big	deal	about	the	at1	jj	nn1	ii	at
10	a	big	deal	about	this	at1	jj	nn1	ii	dd1
6	a	big	deal	and	it	at1	jj	nn1	cc	pph1
9	a	big	deal	at	the	at1	jj	nn1	ii	at
7	a	big	deal	because	it	at1	jj	nn1	cs	pph1
10	a	big	deal	for	a	at1	jj	nn1	if	at1
5	a	big	deal	for	him	at1	jj	nn1	if	ppho1
15	a	big	deal	for	me	at1	jj	nn1	if	ppio1
13	a	big	deal	for	the	at1	jj	nn1	if	at
7	a	big	deal	for	us	at1	jj	nn1	if	ppio2
8	a	big	deal	for	you	at1	jj	nn1	if	ppy
7	a	big	deal	in	a	at1	jj	nn1	ii	at1
6	a	big	deal	in	our	at1	jj	nn1	ii	appge
24	a	big	deal	in	the	at1	jj	nn1	ii	at
5	a	big	deal	in	this	at1	jj	nn1	ii	dd1
5	a	big	deal	it	was	at1	jj	nn1	pph1	vbdz
47	a	big	deal	of	it	at1	jj	nn1	io	pph1
9	a	big	deal	of	the	at1	jj	nn1	io	at
179	a	big	deal	out	of	at1	jj	nn1	ii21	ii22
5	a	big	deal	over	it	at1	jj	nn1	ii	pph1
7	a	big	deal	that	he	at1	jj	nn1	cst	pphs1
6	a	big	deal	to	be	at1	jj	nn1	to	vbi
7	a	big	deal	to	have	at1	jj	nn1	to	vhi
10	a	big	deal	to	him	at1	jj	nn1	ii	ppho1
15	a	big	deal	to	me	at1	jj	nn1	ii	ppio1
7	a	big	deal	to	the	at1	jj	nn1	ii	at
5	a	big	deal	to	us	at1	jj	nn1	ii	ppio2
8	a	big	deal	to	you	at1	jj	nn1	ii	ppy
5	a	big	deal	when	a	at1	jj	nn1	cs	at1
5	a	big	deal	when	you	at1	jj	nn1	cs	ppy
5	a	big	debate	about	whether	at1	jj	nn1	ii	csw
7	a	big	debate	in	the	at1	jj	nn1	ii	at
7	a	big	decision	to	make	at1	jj	nn1	to	vvi
13	a	big	dent	in	the	at1	jj	nn1	ii	at
27	a	big	difference	between	a	at1	jj	nn1	ii	at1
11	a	big	difference	between	being	at1	jj	nn1	ii	vbg
6	a	big	difference	between	having	at1	jj	nn1	ii	vhg
5	a	big	difference	between	saying	at1	jj	nn1	ii	vvg
7	a	big	difference	between	that	at1	jj	nn1	ii	dd1
38	a	big	difference	between	the	at1	jj	nn1	ii	at
10	a	big	difference	between	what	at1	jj	nn1	ii	ddq
7	a	big	difference	if	you	at1	jj	nn1	cs	ppy
6	a	big	difference	in	a	at1	jj	nn1	ii	at1
7	a	big	difference	in	his	at1	jj	nn1	ii	appge
14	a	big	difference	in	how	at1	jj	nn1	ii	rrq
11	a	big	difference	in	how	at1	jj	nn1	ii	rgq
12	a	big	difference	in	my	at1	jj	nn1	ii	appge
7	a	big	difference	in	our	at1	jj	nn1	ii	appge
7	a	big	difference	in	terms	at1	jj	nn1	ii31	ii32
58	a	big	difference	in	the	at1	jj	nn1	ii	at
11	a	big	difference	in	their	at1	jj	nn1	ii	appge
9	a	big	difference	in	this	at1	jj	nn1	ii	dd1
12	a	big	difference	in	what	at1	jj	nn1	ii	ddq
9	a	big	difference	in	your	at1	jj	nn1	ii	appge
5	a	big	difference	to	me	at1	jj	nn1	ii	ppio1
5	a	big	difference	when	it	at1	jj	nn1	cs	pph1
8	a	big	difference	when	you	at1	jj	nn1	cs	ppy
6	a	big	drop	in	the	at1	jj	nn1	ii	at
8	a	big	effect	on	the	at1	jj	nn1	ii	at
24	a	big	factor	in	the	at1	jj	nn1	ii	at
5	a	big	factor	in	this	at1	jj	nn1	ii	dd1
5	a	big	fan	of	a	at1	jj	nn1	io	at1
7	a	big	fan	of	hers	at1	jj	nn1	io	ppge
17	a	big	fan	of	his	at1	jj	nn1	io	ppge
7	a	big	fan	of	mine	at1	jj	nn1	io	ppge
80	a	big	fan	of	the	at1	jj	nn1	io	at
6	a	big	fan	of	these	at1	jj	nn1	io	dd2
10	a	big	fan	of	this	at1	jj	nn1	io	dd1
12	a	big	fan	of	your	at1	jj	nn1	io	appge
35	a	big	fan	of	yours	at1	jj	nn1	io	ppge
5	a	big	fight	about	it	at1	jj	nn1	ii	pph1
5	a	big	fight	with	the	at1	jj	nn1	iw	at
22	a	big	fish	in	a	at1	jj	nn	ii	at1
10	a	big	fuss	about	it	at1	jj	nn1	ii	pph1
8	a	big	gap	between	the	at1	jj	nn1	ii	at
6	a	big	glass	of	milk	at1	jj	nn1	io	nn1
5	a	big	glass	of	water	at1	jj	nn1	io	nn1
19	a	big	grin	on	his	at1	jj	nn1	ii	appge
7	a	big	group	of	people	at1	jj	nn1	io	nn
5	a	big	gust	of	wind	at1	jj	nn1	io	nn1
14	a	big	guy	with	a	at1	jj	nn1	iw	at1
7	a	big	heart	and	a	at1	jj	nn1	cc	at1
8	a	big	help	to	me	at1	jj	nn1	ii	ppio1
5	a	big	help	to	the	at1	jj	nn1	ii	at
7	a	big	hit	at	the	at1	jj	nn1	ii	at
6	a	big	hit	from	the	at1	jj	nn1	ii	at
13	a	big	hit	in	the	at1	jj	nn1	ii	at
12	a	big	hit	on	the	at1	jj	nn1	ii	at
19	a	big	hit	with	the	at1	jj	nn1	iw	at
8	a	big	hole	in	it	at1	jj	nn1	ii	pph1
13	a	big	hole	in	my	at1	jj	nn1	ii	appge
56	a	big	hole	in	the	at1	jj	nn1	ii	at
9	a	big	house	and	a	at1	jj	nn1	cc	at1
10	a	big	house	in	the	at1	jj	nn1	ii	at
5	a	big	house	on	a	at1	jj	nn1	ii	at1
5	a	big	house	on	the	at1	jj	nn1	ii	at
8	a	big	house	with	a	at1	jj	nn1	iw	at1
14	a	big	hug	and	a	at1	jj	nn1	cc	at1
5	a	big	hug	and	he	at1	jj	nn1	cc	pphs1
5	a	big	hug	and	said	at1	jj	nn1	cc	vvd
5	a	big	hurry	to	get	at1	jj	nn1	to	vvi
6	a	big	impact	in	the	at1	jj	nn1	ii	at
6	a	big	impact	on	how	at1	jj	nn1	ii	rrq
5	a	big	impact	on	how	at1	jj	nn1	ii	rgq
8	a	big	impact	on	me	at1	jj	nn1	ii	ppio1
11	a	big	impact	on	our	at1	jj	nn1	ii	appge
44	a	big	impact	on	the	at1	jj	nn1	ii	at
10	a	big	impact	on	your	at1	jj	nn1	ii	appge
11	a	big	impression	on	me	at1	jj	nn1	ii	ppio1
6	a	big	impression	on	the	at1	jj	nn1	ii	at
7	a	big	improvement	on	the	at1	jj	nn1	ii	at
17	a	big	improvement	over	the	at1	jj	nn1	ii	at
15	a	big	increase	in	the	at1	jj	nn1	ii	at
7	a	big	influence	on	me	at1	jj	nn1	ii	ppio1
8	a	big	influence	on	the	at1	jj	nn1	ii	at
6	a	big	issue	for	a	at1	jj	nn1	if	at1
6	a	big	issue	for	me	at1	jj	nn1	if	ppio1
14	a	big	issue	for	the	at1	jj	nn1	if	at
27	a	big	issue	in	the	at1	jj	nn1	ii	at
10	a	big	issue	in	this	at1	jj	nn1	ii	dd1
7	a	big	issue	of	it	at1	jj	nn1	io	pph1
9	a	big	issue	out	of	at1	jj	nn1	ii21	ii22
5	a	big	issue	with	me	at1	jj	nn1	iw	ppio1
9	a	big	job	ahead	of	at1	jj	nn1	ii21	ii22
11	a	big	job	to	do	at1	jj	nn1	to	vdi
9	a	big	jump	in	the	at1	jj	nn1	ii	at
46	a	big	kick	out	of	at1	jj	nn1	ii21	ii22
6	a	big	kiss	on	the	at1	jj	nn1	ii	at
7	a	big	laugh	out	of	at1	jj	nn1	ii21	ii22
5	a	big	lead	in	the	at1	jj	nn1	ii	at
11	a	big	leap	of	faith	at1	jj	nn1	io	nn1
8	a	big	loss	for	the	at1	jj	nn1	if	at
7	a	big	man	and	he	at1	jj	nn1	cc	pphs1
16	a	big	man	in	a	at1	jj	nn1	ii	at1
7	a	big	man	in	his	at1	jj	nn1	ii	appge
6	a	big	man	in	the	at1	jj	nn1	ii	at
7	a	big	man	on	campus	at1	jj	nn1	ii	nn1
34	a	big	man	with	a	at1	jj	nn1	iw	at1
5	a	big	map	of	the	at1	jj	nn1	io	at
5	a	big	mistake	if	you	at1	jj	nn1	cs	ppy
6	a	big	moment	for	him	at1	jj	nn1	if	ppho1
5	a	big	move	in	the	at1	jj	nn1	ii	at
5	a	big	night	at	the	at1	jj	nnt1	ii	at
5	a	big	night	for	me	at1	jj	nnt1	if	ppio1
5	a	big	night	for	the	at1	jj	nnt1	if	at
7	a	big	pain	in	the	at1	jj	nn1	ii	at
8	a	big	part	in	that	at1	jj	nn1	ii	dd1
24	a	big	part	in	the	at1	jj	nn1	ii	at
8	a	big	part	in	this	at1	jj	nn1	ii	dd1
12	a	big	part	of	a	at1	jj	nn1	io	at1
5	a	big	part	of	American	at1	jj	nn1	io	jj
20	a	big	part	of	her	at1	jj	nn1	io	appge
46	a	big	part	of	his	at1	jj	nn1	io	appge
10	a	big	part	of	how	at1	jj	nn1	io	rrq
119	a	big	part	of	it	at1	jj	nn1	io	pph1
6	A	big	part	of	it	at1	jj	nn1	io	pph1
9	a	big	part	of	its	at1	jj	nn1	io	appge
10	a	big	part	of	life	at1	jj	nn1	io	nn1
12	a	big	part	of	me	at1	jj	nn1	io	ppio1
66	a	big	part	of	my	at1	jj	nn1	io	appge
58	a	big	part	of	our	at1	jj	nn1	io	appge
64	a	big	part	of	that	at1	jj	nn1	io	dd1
13	A	big	part	of	that	at1	jj	nn1	io	dd1
318	a	big	part	of	the	at1	jj	nn1	io	at
28	A	big	part	of	the	at1	jj	nn1	io	at
24	a	big	part	of	their	at1	jj	nn1	io	appge
44	a	big	part	of	this	at1	jj	nn1	io	dd1
52	a	big	part	of	what	at1	jj	nn1	io	ddq
6	a	big	part	of	who	at1	jj	nn1	io	pnqs
18	a	big	part	of	why	at1	jj	nn1	io	rrq
29	a	big	part	of	your	at1	jj	nn1	io	appge
6	a	big	percentage	of	the	at1	jj	nn1	io	at
5	a	big	picture	of	the	at1	jj	nn1	io	at
6	a	big	piece	of	it	at1	jj	nn1	io	pph1
5	a	big	piece	of	land	at1	jj	nn1	io	nn1
28	a	big	piece	of	the	at1	jj	nn1	io	at
5	a	big	piece	of	wood	at1	jj	nn1	io	nn1
18	a	big	player	in	the	at1	jj	nn1	ii	at
6	a	big	player	in	this	at1	jj	nn1	ii	dd1
5	a	big	plus	for	me	at1	jj	nn1	if	ppio1
6	a	big	plus	for	the	at1	jj	nn1	if	at
7	a	big	pot	of	money	at1	jj	nn1	io	nn1
8	a	big	price	to	pay	at1	jj	nn1	to	vvi
7	a	big	problem	for	a	at1	jj	nn1	if	at1
6	a	big	problem	for	him	at1	jj	nn1	if	ppho1
8	a	big	problem	for	me	at1	jj	nn1	if	ppio1
27	a	big	problem	for	the	at1	jj	nn1	if	at
7	a	big	problem	for	them	at1	jj	nn1	if	ppho2
6	a	big	problem	for	us	at1	jj	nn1	if	ppio2
5	a	big	problem	in	America	at1	jj	nn1	ii	np1
5	a	big	problem	in	our	at1	jj	nn1	ii	appge
17	a	big	problem	in	the	at1	jj	nn1	ii	at
10	a	big	problem	in	this	at1	jj	nn1	ii	dd1
9	a	big	problem	with	that	at1	jj	nn1	iw	dd1
10	a	big	problem	with	the	at1	jj	nn1	iw	at
6	a	big	problem	with	this	at1	jj	nn1	iw	dd1
6	a	big	production	out	of	at1	jj	nn1	ii21	ii22
5	a	big	proponent	of	the	at1	jj	nn1	io	at
5	a	big	question	about	whether	at1	jj	nn1	ii	csw
6	a	big	question	mark	in	at1	jj	nn1	nn1	ii
13	a	big	reason	for	the	at1	jj	nn1	if	at
5	A	big	reason	for	the	at1	jj	nn1	if	at
12	a	big	reason	why	the	at1	jj	nn1	rrq	at
5	a	big	role	in	bringing	at1	jj	nn1	ii	vvg
6	a	big	role	in	determining	at1	jj	nn1	ii	vvg
5	a	big	role	in	how	at1	jj	nn1	ii	rrq
8	a	big	role	in	that	at1	jj	nn1	ii	dd1
47	a	big	role	in	the	at1	jj	nn1	ii	at
8	a	big	role	in	this	at1	jj	nn1	ii	dd1
5	a	big	role	to	play	at1	jj	nn1	to	vvi
5	a	big	roll	of	the	at1	jj	nn1	io	at
8	a	big	room	with	a	at1	jj	nn1	iw	at1
30	a	big	round	of	applause	at1	jj	nn1	io	nn1
6	a	big	selling	point	for	at1	jj	nn1	nn1	if
9	a	big	share	of	the	at1	jj	nn1	io	at
5	a	big	shift	from	the	at1	jj	nn1	ii	at
7	a	big	shot	in	the	at1	jj	nn1	ii	at
5	a	big	show	of	looking	at1	jj	nn1	io	vvg
5	a	big	show	out	of	at1	jj	nn1	ii21	ii22
28	a	big	sigh	of	relief	at1	jj	nn1	io	nn1
8	a	big	sign	on	the	at1	jj	nn1	ii	at
5	a	big	sign	that	said	at1	jj	nn1	cst	vvd
6	a	big	sign	that	says	at1	jj	nn1	cst	vvz
13	a	big	smile	and	a	at1	jj	nn1	cc	at1
23	a	big	smile	on	her	at1	jj	nn1	ii	appge
54	a	big	smile	on	his	at1	jj	nn1	ii	appge
13	a	big	smile	on	my	at1	jj	nn1	ii	appge
6	a	big	smile	on	your	at1	jj	nn1	ii	appge
8	a	big	splash	in	the	at1	jj	nn1	ii	at
5	a	big	splash	with	the	at1	jj	nn1	iw	at
14	a	big	stake	in	the	at1	jj	nn1	ii	at
8	a	big	step	for	me	at1	jj	nn1	if	ppio1
6	a	big	step	for	the	at1	jj	nn1	if	at
5	a	big	step	forward	for	at1	jj	nn1	rl	if
6	a	big	step	forward	with	at1	jj	nn1	rl	iw
10	a	big	step	in	that	at1	jj	nn1	ii	dd1
20	a	big	step	in	the	at1	jj	nn1	ii	at
5	a	big	step	on	the	at1	jj	nn1	ii	at
5	a	big	step	toward	a	at1	jj	nn1	ii	at1
14	a	big	step	up	from	at1	jj	nn1	rp	ii
7	a	big	story	in	the	at1	jj	nn1	ii	at
18	a	big	supporter	of	the	at1	jj	nn1	io	at
5	a	big	surprise	to	the	at1	jj	nn1	ii	at
7	a	big	table	in	the	at1	jj	nn1	ii	at
5	a	big	thing	for	him	at1	jj	nn1	if	ppho1
10	a	big	thing	for	me	at1	jj	nn1	if	ppio1
7	a	big	thing	for	them	at1	jj	nn1	if	ppho2
6	a	big	thing	in	my	at1	jj	nn1	ii	appge
10	a	big	thing	in	the	at1	jj	nn1	ii	at
6	a	big	thing	of	it	at1	jj	nn1	io	pph1
17	a	big	thing	out	of	at1	jj	nn1	ii21	ii22
5	a	big	thing	right	now	at1	jj	nn1	rr	rt
5	a	big	thing	with	me	at1	jj	nn1	iw	ppio1
13	a	big	victory	for	the	at1	jj	nn1	if	at
5	a	big	vote	of	confidence	at1	jj	nn1	io	nn1
6	a	big	wad	of	cash	at1	jj	nn1	io	nn1
19	a	big	waste	of	time	at1	jj	nn1	io	nnt1
14	a	big	way	in	the	at1	jj	nn1	ii	at
17	a	big	win	for	the	at1	jj	nn1	if	at
6	a	big	win	for	us	at1	jj	nn1	if	ppio2
15	a	big	world	out	there	at1	jj	nn1	rp	rl
5	a	big	year	for	me	at1	jj	nnt1	if	ppio1
6	a	biological	explanation	for	the	at1	jj	nn1	if	at
7	a	biological	or	chemical	attack	at1	jj	cc	jj	nn1
6	a	bipartisan	group	of	congressional	at1	jj	nn1	io	jj
11	a	bipartisan	group	of	senators	at1	jj	nn1	io	nn2
5	a	bird's-eye	view	of	a	at1	jj	nn1	io	at1
36	a	bird's-eye	view	of	the	at1	jj	nn1	io	at
6	a	bit	of	bad	luck	at1	nn1	io	jj	nn1
15	a	bitter	pill	to	swallow	at1	jj	nn1	to	vvi
6	a	bitter	taste	in	my	at1	jj	nn1	ii	appge
5	a	black	and	white	image	at1	jj	cc	jj	nn1
12	a	black	and	white	issue	at1	jj	cc	jj	nn1
9	a	black	and	white	photo	at1	jj	cc	jj	nn1
6	a	black	and	white	photograph	at1	jj	cc	jj	nn1
9	a	black	and	white	picture	at1	jj	cc	jj	nn1
8	a	black	and	white	television	at1	jj	cc	jj	nn1
8	a	black	belt	in	judo	at1	jj	nn1	ii	nn1
16	a	black	belt	in	karate	at1	jj	nn1	ii	nn1
5	a	black	belt	in	tae	at1	jj	nn1	rp	xx
5	a	black	box	with	a	at1	jj	nn1	iw	at1
9	a	black	dress	and	a	at1	jj	nn1	cc	at1
9	a	black	eye	and	a	at1	jj	nn1	cc	at1
6	a	black	eye	for	the	at1	jj	nn1	if	at
6	a	black	father	and	a	at1	jj	nn1	cc	at1
11	a	black	hole	at	the	at1	jj	nn1	ii	at
6	a	black	hole	for	the	at1	jj	nn1	if	at
5	a	black	hole	in	his	at1	jj	nn1	ii	appge
6	a	black	hole	in	space	at1	jj	nn1	ii	nn1
16	a	black	hole	in	the	at1	jj	nn1	ii	at
5	A	black	hole	is	a	at1	jj	nn1	vbz	at1
5	a	black	leather	couch	in	at1	jj	nn1	nn1	ii
16	a	black	leather	jacket	and	at1	jj	nn1	nn1	cc
8	a	black	man	accused	of	at1	jj	nn1	vvn	io
20	a	black	man	and	a	at1	jj	nn1	cc	at1
25	a	black	man	in	a	at1	jj	nn1	ii	at1
15	a	black	man	in	America	at1	jj	nn1	ii	np1
6	a	black	man	in	his	at1	jj	nn1	ii	appge
21	a	black	man	in	the	at1	jj	nn1	ii	at
5	a	black	man	in	this	at1	jj	nn1	ii	dd1
7	a	black	man	living	in	at1	jj	nn1	vvg	ii
6	a	black	man	on	the	at1	jj	nn1	ii	at
15	a	black	man	who	had	at1	jj	nn1	pnqs	vhd
8	a	black	man	who	has	at1	jj	nn1	pnqs	vhz
13	a	black	man	who	is	at1	jj	nn1	pnqs	vbz
13	a	black	man	who	was	at1	jj	nn1	pnqs	vbdz
23	a	black	man	with	a	at1	jj	nn1	iw	at1
5	a	black	member	of	the	at1	jj	nn1	io	at
5	a	black	or	white	issue	at1	jj	cc	jj	nn1
5	a	black	person	and	a	at1	jj	nn1	cc	at1
