5	a	balanced	budget	with	drastic	at1	jj	nn1	iw	jj
7	a	deep	sense	of	responsibility	at1	jj	nn1	io	nn1
7	a	deep	sense	of	sadness	at1	jj	nn1	io	nn1
11	a	deep	sigh	of	relief	at1	jj	nn1	io	nn1
31	a	deep	understanding	of	the	at1	jj	nn1	io	at
6	a	deep	understanding	of	what	at1	jj	nn1	io	ddq
5	a	deep-fat	thermometer	over	medium-high	at1	jj	nn1	ii	jj
6	a	defensive	back	for	the	at1	jj	nn1	if	at
5	a	defensive	back	with	the	at1	jj	nn1	iw	at
6	a	defensive	end	for	the	at1	jj	nn1	if	at
5	a	defined	benefit	pension	plan	at1	jj	nn1	nn1	nn1
7	a	defined	period	of	time	at1	jj	nn1	io	nnt1
15	a	defining	characteristic	of	the	at1	jj	nn1	io	at
7	a	defining	moment	for	me	at1	jj	nn1	if	ppio1
21	a	defining	moment	for	the	at1	jj	nn1	if	at
6	a	defining	moment	in	his	at1	jj	nn1	ii	appge
6	a	defining	moment	in	history	at1	jj	nn1	ii	nn1
20	a	defining	moment	in	the	at1	jj	nn1	ii	at
6	a	definite	impact	on	the	at1	jj	nn1	ii	at
6	a	definite	point	of	view	at1	jj	nn1	io	nn1
6	a	definitive	answer	to	the	at1	jj	nn1	ii	at
5	a	definitive	end	to	the	at1	jj	nn1	ii	at
5	a	degenerative	disease	of	the	at1	jj	nn1	io	at
14	a	deleterious	effect	on	the	at1	jj	nn1	ii	at
5	a	deliberate	decision	by	the	at1	jj	nn1	ii	at
6	a	deliberate	part	of	the	at1	jj	nn1	io	at
7	a	delicate	balance	between	the	at1	jj	nn1	ii	at
6	a	delicate	balancing	act	between	at1	jj	nn1	nn1	ii
5	a	delicate	balancing	act	for	at1	jj	nn1	nn1	if
8	a	Democratic	candidate	for	governor	at1	jj	nn1	if	nn1
6	a	Democratic	candidate	for	president	at1	jj	nn1	if	nn1
7	a	Democratic	candidate	for	the	at1	jj	nn1	if	at
12	a	Democratic	Congress	and	a	at1	jj	nn1	cc	at1
17	a	democratic	form	of	government	at1	jj	nn1	io	nn1
6	a	democratic	government	in	Iraq	at1	jj	nn1	ii	np1
6	a	Democratic	majority	in	Congress	at1	jj	nn1	ii	nn1
11	a	Democratic	majority	in	the	at1	jj	nn1	ii	at
16	a	Democratic	member	of	the	at1	jj	nn1	io	at
6	a	democratic	model	of	politics	at1	jj	nn1	io	nn1
6	a	Democratic	Party	that	is	at1	jj	nn1	cst	vbz
14	a	Democratic	president	and	a	at1	jj	nn1	cc	at1
7	a	Democratic	President	and	a	at1	jj	nn1	cc	at1
5	a	Democratic	senator	from	New	at1	jj	nn1	ii	np1
5	a	democratic	system	of	government	at1	jj	nn1	io	nn1
5	a	dependable	source	of	iodized	at1	jj	nn1	io	jj
5	a	desirable	place	to	live	at1	jj	nn1	to	vvi
5	a	desolate	stretch	of	desert	at1	jj	nn1	io	nn1
5	a	desperate	attempt	to	escape	at1	jj	nn1	to	vvi
7	a	desperate	attempt	to	keep	at1	jj	nn1	to	vvi
7	a	desperate	attempt	to	save	at1	jj	nn1	to	vvi
6	a	desperate	need	for	more	at1	jj	nn1	if	dar
7	a	desperate	search	for	a	at1	jj	nn1	if	at1
7	a	destabilizing	factor	in	the	at1	jj	nn1	ii	at
9	a	destabilizing	force	in	the	at1	jj	nn1	ii	at
9	a	detailed	account	of	his	at1	jj	nn1	io	appge
7	a	detailed	account	of	how	at1	jj	nn1	io	rrq
38	a	detailed	account	of	the	at1	jj	nn1	io	at
7	a	detailed	account	of	what	at1	jj	nn1	io	ddq
39	a	detailed	analysis	of	the	at1	jj	nn1	io	at
5	A	detailed	analysis	of	the	at1	jj	nn1	io	at
5	a	detailed	critique	of	the	at1	jj	nn1	io	at
5	a	detailed	description	of	a	at1	jj	nn1	io	at1
11	a	detailed	description	of	how	at1	jj	nn1	io	rrq
82	a	detailed	description	of	the	at1	jj	nn1	io	at
7	A	detailed	description	of	the	at1	jj	nn1	io	at
28	a	detailed	discussion	of	the	at1	jj	nn1	io	at
5	a	detailed	discussion	of	these	at1	jj	nn1	io	dd2
5	a	detailed	drawing	of	the	at1	jj	nn1	io	at
14	a	detailed	examination	of	the	at1	jj	nn1	io	at
15	a	detailed	explanation	of	the	at1	jj	nn1	io	at
6	a	detailed	history	of	the	at1	jj	nn1	io	at
6	a	detailed	knowledge	of	the	at1	jj	nn1	io	at
20	a	detailed	look	at	the	at1	jj	nn1	ii	at
16	a	detailed	map	of	the	at1	jj	nn1	io	at
5	a	detailed	model	of	the	at1	jj	nn1	io	at
11	a	detailed	picture	of	the	at1	jj	nn1	io	at
7	a	detailed	plan	for	a	at1	jj	nn1	if	at1
8	a	detailed	record	of	the	at1	jj	nn1	io	at
6	a	detailed	report	on	the	at1	jj	nn1	ii	at
9	a	detailed	review	of	the	at1	jj	nn1	io	at
20	a	detailed	study	of	the	at1	jj	nn1	io	at
8	a	detailed	understanding	of	the	at1	jj	nn1	io	at
6	a	determined	look	on	his	at1	jj	nn1	ii	appge
8	a	determining	factor	in	the	at1	jj	nn1	ii	at
16	a	detrimental	effect	on	the	at1	jj	nn1	ii	at
12	a	devastating	blow	to	the	at1	jj	nn1	ii	at
21	a	devastating	effect	on	the	at1	jj	nn1	ii	at
11	a	devastating	impact	on	the	at1	jj	nn1	ii	at
6	a	developing	story	out	of	at1	jj	nn1	ii21	ii22
7	a	developmental	psychologist	at	the	at1	jj	nn1	ii	at
6	a	devoted	husband	and	father	at1	jj	nn1	cc	nn1
30	a	different	approach	to	the	at1	jj	nn1	ii	at
11	a	different	area	of	the	at1	jj	nn1	io	at
15	a	different	aspect	of	the	at1	jj	nn1	io	at
7	a	different	color	than	the	at1	jj	nn1	csn	at
5	a	different	conception	of	the	at1	jj	nn1	io	at
7	a	different	conception	of	what	at1	jj	nn1	io	ddq
6	a	different	corner	of	the	at1	jj	nn1	io	at
6	a	different	course	of	action	at1	jj	nn1	io	nn1
5	a	different	dimension	to	the	at1	jj	nn1	ii	at
5	a	different	explanation	for	the	at1	jj	nn1	if	at
14	a	different	frame	of	mind	at1	jj	nn1	io	nn1
13	a	different	group	of	people	at1	jj	nn1	io	nn
12	a	different	idea	of	what	at1	jj	nn1	io	ddq
6	a	different	interpretation	of	the	at1	jj	nn1	io	at
11	a	different	kettle	of	fish	at1	jj	nn1	io	nn
33	a	different	kind	of	a	at1	jj	nn1	io	at1
5	a	different	kind	of	approach	at1	jj	nn1	io	nn1
7	a	different	kind	of	attention	at1	jj	nn1	io	nn1
6	a	different	kind	of	battle	at1	jj	nn1	io	nn1
13	a	different	kind	of	campaign	at1	jj	nn1	io	nn1
6	a	different	kind	of	candidate	at1	jj	nn1	io	nn1
5	a	different	kind	of	case	at1	jj	nn1	io	nn1
8	a	different	kind	of	challenge	at1	jj	nn1	io	nn1
5	a	different	kind	of	church	at1	jj	nn1	io	nn1
8	a	different	kind	of	company	at1	jj	nn1	io	nn1
6	a	different	kind	of	convention	at1	jj	nn1	io	nn1
6	a	different	kind	of	conversation	at1	jj	nn1	io	nn1
28	a	different	kind	of	Democrat	at1	jj	nn1	io	nn1
5	a	different	kind	of	energy	at1	jj	nn1	io	nn1
5	a	different	kind	of	environment	at1	jj	nn1	io	nn1
12	a	different	kind	of	experience	at1	jj	nn1	io	nn1
5	a	different	kind	of	game	at1	jj	nn1	io	nn1
7	a	different	kind	of	job	at1	jj	nn1	io	nn1
5	a	different	kind	of	kid	at1	jj	nn1	io	nn1
5	a	different	kind	of	leadership	at1	jj	nn1	io	nn1
20	a	different	kind	of	life	at1	jj	nn1	io	nn1
6	a	different	kind	of	love	at1	jj	nn1	io	nn1
5	a	different	kind	of	man	at1	jj	nn1	io	nn1
8	a	different	kind	of	Middle	at1	jj	nn1	io	jj
10	a	different	kind	of	music	at1	jj	nn1	io	nn1
5	a	different	kind	of	party	at1	jj	nn1	io	nn1
22	a	different	kind	of	person	at1	jj	nn1	io	nn1
9	a	different	kind	of	place	at1	jj	nn1	io	nn1
5	a	different	kind	of	player	at1	jj	nn1	io	nn1
5	a	different	kind	of	policy	at1	jj	nn1	io	nn1
5	a	different	kind	of	political	at1	jj	nn1	io	jj
7	a	different	kind	of	politician	at1	jj	nn1	io	nn1
14	a	different	kind	of	politics	at1	jj	nn1	io	nn1
6	a	different	kind	of	pressure	at1	jj	nn1	io	nn1
8	a	different	kind	of	problem	at1	jj	nn1	io	nn1
5	a	different	kind	of	question	at1	jj	nn1	io	nn1
19	a	different	kind	of	relationship	at1	jj	nn1	io	nn1
19	a	different	kind	of	Republican	at1	jj	nn1	io	nn1
7	a	different	kind	of	situation	at1	jj	nn1	io	nn1
5	a	different	kind	of	social	at1	jj	nn1	io	jj
5	a	different	kind	of	sound	at1	jj	nn1	io	nn1
14	a	different	kind	of	thing	at1	jj	nn1	io	nn1
36	a	different	kind	of	war	at1	jj	nn1	io	nn1
9	a	different	kind	of	way	at1	jj	nn1	io	nn1
10	a	different	kind	of	work	at1	jj	nn1	io	nn1
9	a	different	kind	of	world	at1	jj	nn1	io	nn1
6	a	different	level	of	the	at1	jj	nn1	io	at
10	a	different	light	on	the	at1	jj	nn1	ii	at
12	a	different	line	of	work	at1	jj	nn1	io	nn1
8	a	different	man	from	the	at1	jj	nn1	ii	at
5	a	different	man	than	the	at1	jj	nn1	csn	at
7	a	different	name	for	the	at1	jj	nn1	if	at
5	a	different	order	from	the	at1	jj	nn1	ii	at
7	a	different	order	of	magnitude	at1	jj	nn1	io	nn1
115	a	different	part	of	the	at1	jj	nn1	io	at
10	a	different	part	of	town	at1	jj	nn1	io	nn1
5	a	different	path	to	the	at1	jj	nn1	ii	at
5	a	different	pattern	of	results	at1	jj	nn1	io	nn2
7	a	different	perception	of	the	at1	jj	nn1	io	at
8	a	different	person	from	the	at1	jj	nn1	ii	at
5	a	different	person	now	than	at1	jj	nn1	rt	csn
5	a	different	person	on	the	at1	jj	nn1	ii	at
5	a	different	person	today	than	at1	jj	nn1	rt	csn
5	a	different	person	when	he	at1	jj	nn1	cs	pphs1
7	a	different	person	when	I	at1	jj	nn1	cs	ppis1
8	a	different	perspective	of	the	at1	jj	nn1	io	at
5	a	different	perspective	on	it	at1	jj	nn1	ii	pph1
28	a	different	perspective	on	the	at1	jj	nn1	ii	at
8	a	different	perspective	to	the	at1	jj	nn1	ii	at
6	a	different	place	from	where	at1	jj	nn1	ii	rrq
12	a	different	place	in	the	at1	jj	nn1	ii	at
5	a	different	place	than	the	at1	jj	nn1	csn	at
91	a	different	point	of	view	at1	jj	nn1	io	nn1
5	a	different	point	on	the	at1	jj	nn1	ii	at
7	a	different	region	of	the	at1	jj	nn1	io	at
5	a	different	relationship	to	the	at1	jj	nn1	ii	at
9	a	different	relationship	with	the	at1	jj	nn1	iw	at
6	a	different	role	in	the	at1	jj	nn1	ii	at
10	a	different	section	of	the	at1	jj	nn1	io	at
6	a	different	segment	of	the	at1	jj	nn1	io	at
7	a	different	set	of	assumptions	at1	jj	nn1	io	nn2
10	a	different	set	of	challenges	at1	jj	nn1	io	nn2
16	a	different	set	of	circumstances	at1	jj	nn1	io	nn2
7	a	different	set	of	expectations	at1	jj	nn1	io	nn2
5	a	different	set	of	eyes	at1	jj	nn1	io	nn2
7	a	different	set	of	issues	at1	jj	nn1	io	nn2
8	a	different	set	of	priorities	at1	jj	nn1	io	nn2
13	a	different	set	of	problems	at1	jj	nn1	io	nn2
10	a	different	set	of	questions	at1	jj	nn1	io	nn2
46	a	different	set	of	rules	at1	jj	nn1	io	nn2
9	a	different	set	of	skills	at1	jj	nn1	io	nn2
8	a	different	set	of	standards	at1	jj	nn1	io	nn2
17	a	different	set	of	values	at1	jj	nn1	io	nn2
10	a	different	side	of	me	at1	jj	nn1	io	ppio1
12	a	different	side	of	the	at1	jj	nn1	io	at
5	a	different	sort	of	person	at1	jj	nn1	io	nn1
5	a	different	sort	of	place	at1	jj	nn1	io	nn1
5	a	different	sort	of	way	at1	jj	nn1	io	nn1
10	a	different	spin	on	the	at1	jj	nn1	ii	at
5	a	different	story	about	the	at1	jj	nn1	ii	at
8	a	different	story	from	the	at1	jj	nn1	ii	at
7	a	different	story	in	the	at1	jj	nn1	ii	at
9	a	different	story	to	tell	at1	jj	nn1	to	vvi
5	a	different	style	of	play	at1	jj	nn1	io	nn1
8	a	different	time	and	a	at1	jj	nnt1	cc	at1
12	a	different	time	and	place	at1	jj	nnt1	cc	nn1
6	a	different	time	of	day	at1	jj	nnt1	io	nnt1
8	a	different	tone	of	voice	at1	jj	nn1	io	nn1
7	a	different	type	of	war	at1	jj	nn1	io	nn1
7	a	different	understanding	of	the	at1	jj	nn1	io	at
9	a	different	understanding	of	what	at1	jj	nn1	io	ddq
23	a	different	version	of	the	at1	jj	nn1	io	at
6	a	different	view	of	it	at1	jj	nn1	io	pph1
9	a	different	view	of	that	at1	jj	nn1	io	dd1
53	a	different	view	of	the	at1	jj	nn1	io	at
5	a	different	view	of	things	at1	jj	nn1	io	nn2
8	a	different	view	of	this	at1	jj	nn1	io	dd1
9	a	different	view	of	what	at1	jj	nn1	io	ddq
5	a	different	view	on	the	at1	jj	nn1	ii	at
6	a	different	view	on	this	at1	jj	nn1	ii	dd1
7	a	different	vision	of	the	at1	jj	nn1	io	at
8	a	different	way	of	approaching	at1	jj	nn1	io	vvg
7	a	different	way	of	being	at1	jj	nn1	io	vbg
7	a	different	way	of	dealing	at1	jj	nn1	io	vvg
20	a	different	way	of	doing	at1	jj	nn1	io	vdg
16	a	different	way	of	life	at1	jj	nn1	io	nn1
20	a	different	way	of	looking	at1	jj	nn1	io	vvg
5	a	different	way	of	talking	at1	jj	nn1	io	vvg
12	a	different	way	of	thinking	at1	jj	nn1	io	nn1
12	a	different	way	of	thinking	at1	jj	nn1	io	vvg
5	a	different	way	than	he	at1	jj	nn1	csn	pphs1
10	a	different	way	than	the	at1	jj	nn1	csn	at
8	a	different	way	than	we	at1	jj	nn1	csn	ppis2
5	a	different	way	than	you	at1	jj	nn1	csn	ppy
8	a	different	way	to	do	at1	jj	nn1	to	vdi
5	a	different	wing	of	the	at1	jj	nn1	io	at
8	a	different	world	from	the	at1	jj	nn1	ii	at
6	a	different	world	out	there	at1	jj	nn1	rp	rl
6	a	different	world	than	the	at1	jj	nn1	csn	at
6	a	difficult	case	to	make	at1	jj	nn1	to	vvi
7	a	difficult	choice	to	make	at1	jj	nn1	to	vvi
12	a	difficult	decision	to	make	at1	jj	nn1	to	vvi
5	a	difficult	period	in	my	at1	jj	nn1	ii	appge
5	a	difficult	problem	for	the	at1	jj	nn1	if	at
28	a	difficult	question	to	answer	at1	jj	nn1	to	vvi
5	a	difficult	question	to	ask	at1	jj	nn1	to	vvi
6	a	difficult	thing	for	me	at1	jj	nn1	if	ppio1
5	a	difficult	thing	for	you	at1	jj	nn1	if	ppy
5	a	difficult	thing	to	achieve	at1	jj	nn1	to	vvi
36	a	difficult	thing	to	do	at1	jj	nn1	to	vdi
8	a	difficult	time	adjusting	to	at1	jj	nnt1	vvg	ii
6	a	difficult	time	dealing	with	at1	jj	nnt1	vvg	iw
6	a	difficult	time	finding	a	at1	jj	nnt1	vvg	at1
7	a	difficult	time	for	me	at1	jj	nnt1	if	ppio1
9	a	difficult	time	for	the	at1	jj	nnt1	if	at
12	a	difficult	time	for	you	at1	jj	nnt1	if	ppy
5	a	difficult	time	getting	the	at1	jj	nnt1	vvg	at
10	a	difficult	time	in	the	at1	jj	nnt1	ii	at
6	a	difficult	time	trying	to	at1	jj	nnt1	vvg	to
6	a	difficult	time	with	the	at1	jj	nnt1	iw	at
6	a	digital	model	of	the	at1	jj	nn1	io	at
20	A	DIGITAL	PRINTOUT	AT	CAMERA	at1	jj	nn1	ii	nn1
5	a	digital	rectal	exam	and	at1	jj	jj	nn1	cc
5	a	digital	version	of	the	at1	jj	nn1	io	at
5	a	dim	light	at	the	at1	jj	nn1	ii	at
5	a	dim	view	of	such	at1	jj	nn1	io	da
6	a	dim	view	of	that	at1	jj	nn1	io	dd1
21	a	dim	view	of	the	at1	jj	nn1	io	at
6	a	dim	view	of	their	at1	jj	nn1	io	appge
5	a	dim	view	of	this	at1	jj	nn1	io	dd1
24	A	diminishing	returns	principle	exists	at1	jj	nn2	nn1	vvz
5	a	diplomatic	mission	to	the	at1	jj	nn1	ii	at
5	a	diplomatic	point	of	view	at1	jj	nn1	io	nn1
26	a	diplomatic	solution	to	the	at1	jj	nn1	ii	at
5	a	diplomatic	way	out	of	at1	jj	nn1	ii21	ii22
5	a	dire	threat	to	the	at1	jj	nn1	ii	at
5	a	direct	and	positive	effect	at1	jj	cc	jj	nn1
7	a	direct	appeal	to	the	at1	jj	nn1	ii	at
14	a	direct	assault	on	the	at1	jj	nn1	ii	at
18	a	direct	attack	on	the	at1	jj	nn1	ii	at
15	a	direct	bearing	on	the	at1	jj	nn1	ii	at
36	a	direct	challenge	to	the	at1	jj	nn1	ii	at
10	a	direct	comparison	of	the	at1	jj	nn1	io	at
10	a	direct	confrontation	with	the	at1	jj	nn1	iw	at
20	a	direct	connection	between	the	at1	jj	nn1	ii	at
6	a	direct	connection	to	the	at1	jj	nn1	ii	at
6	a	direct	connection	with	the	at1	jj	nn1	iw	at
6	a	direct	consequence	of	a	at1	jj	nn1	io	at1
31	a	direct	consequence	of	the	at1	jj	nn1	io	at
5	a	direct	contradiction	to	the	at1	jj	nn1	ii	at
21	a	direct	correlation	between	the	at1	jj	nn1	ii	at
38	a	direct	descendant	of	the	at1	jj	nn1	io	at
8	a	direct	descendent	of	the	at1	jj	nn1	io	at
25	a	direct	effect	on	the	at1	jj	nn1	ii	at
5	a	direct	experience	of	the	at1	jj	nn1	io	at
5	a	direct	financial	interest	in	at1	jj	jj	nn1	ii
5	a	direct	function	of	the	at1	jj	nn1	io	at
6	a	direct	hit	by	a	at1	jj	nn1	ii	at1
12	a	direct	hit	from	a	at1	jj	nn1	ii	at1
6	a	direct	hit	from	the	at1	jj	nn1	ii	at
5	a	direct	hit	on	a	at1	jj	nn1	ii	at1
15	a	direct	hit	on	the	at1	jj	nn1	ii	at
5	a	direct	impact	on	our	at1	jj	nn1	ii	appge
52	a	direct	impact	on	the	at1	jj	nn1	ii	at
5	a	direct	impact	on	your	at1	jj	nn1	ii	appge
12	a	direct	influence	on	the	at1	jj	nn1	ii	at
6	a	direct	line	of	descent	at1	jj	nn1	io	nn1
26	a	direct	line	to	the	at1	jj	nn1	ii	at
25	a	direct	link	between	the	at1	jj	nn1	ii	at
5	a	direct	link	to	a	at1	jj	nn1	ii	at1
23	a	direct	link	to	the	at1	jj	nn1	ii	at
6	a	direct	measure	of	the	at1	jj	nn1	io	at
5	a	direct	or	indirect	result	at1	jj	cc	jj	nn1
6	a	direct	outgrowth	of	the	at1	jj	nn1	io	at
6	a	direct	product	of	the	at1	jj	nn1	io	at
6	a	direct	relation	to	the	at1	jj	nn1	ii	at
17	a	direct	relationship	between	the	at1	jj	nn1	ii	at
12	a	direct	relationship	to	the	at1	jj	nn1	ii	at
38	a	direct	response	to	the	at1	jj	nn1	ii	at
15	a	direct	result	of	a	at1	jj	nn1	io	at1
