31	a	brief	typed	article	at1	jj	jj	nn1
15	a	thin	trickle	of	at1	jj	nn1	io
12	a	thin	veil	of	at1	jj	nn1	io
19	a	thin	veneer	of	at1	jj	nn1	io
27	a	thin	wash	of	at1	jj	nn1	io
13	a	third-quarter	loss	of	at1	jj	nn1	io
22	a	thorough	analysis	of	at1	jj	nn1	io
22	a	thorough	assessment	of	at1	jj	nn1	io
14	a	thorough	background	check	at1	jj	nn1	nn1
28	a	thorough	discussion	of	at1	jj	nn1	io
43	a	thorough	examination	of	at1	jj	nn1	io
26	a	thorough	investigation	of	at1	jj	nn1	io
37	a	thorough	knowledge	of	at1	jj	nn1	io
77	a	thorough	review	of	at1	jj	nn1	io
12	a	thorough	search	of	at1	jj	nn1	io
17	a	thorough	study	of	at1	jj	nn1	io
96	a	thorough	understanding	of	at1	jj	nn1	io
12	a	three-bedroom	house	in	at1	jj	nn1	ii
21	a	three-course	meal	for	at1	jj	nn1	if
15	a	three-dimensional	image	of	at1	jj	nn1	io
12	a	three-dimensional	map	of	at1	jj	nn1	io
15	a	three-hour	drive	from	at1	jj	nn1	ii
34	a	three-judge	panel	of	at1	jj	nn1	io
12	A	three-judge	panel	of	at1	jj	nn1	io
15	a	three-part	series	on	at1	jj	nn	ii
13	a	three-run	home	run	at1	jj	nn1	vvn
21	a	three-run	homer	and	at1	jj	nn1	cc
19	a	three-run	homer	in	at1	jj	nn1	ii
25	a	three-way	tie	for	at1	jj	nn1	if
33	a	three-year	contract	with	at1	jj	nn1	iw
12	a	three-year	deal	with	at1	jj	nn1	iw
19	a	threefold	increase	in	at1	jj	nn1	ii
13	a	thriving	black	market	at1	jj	jj	nn1
107	a	tidal	wave	of	at1	jj	nn1	io
14	a	tight	circle	of	at1	jj	nn1	io
38	a	tight	grip	on	at1	jj	nn1	ii
15	a	tight	group	of	at1	jj	nn1	io
13	a	tight	knot	of	at1	jj	nn1	io
32	a	tight	labor	market	at1	jj	nn1	nn1
24	a	tight	lid	on	at1	jj	nn1	ii
16	a	tight	race	for	at1	jj	nn1	if
15	a	tight	race	with	at1	jj	nn1	iw
32	a	tight	rein	on	at1	jj	nn1	ii
24	a	tight	shot	of	at1	jj	nn1	io
21	a	timely	manner	and	at1	jj	nn1	cc
54	a	tiny	amount	of	at1	jj	nn1	io
143	a	tiny	bit	of	at1	jj	nn1	io
17	a	tiny	corner	of	at1	jj	nn1	io
273	a	tiny	fraction	of	at1	jj	nn1	io
12	a	tiny	group	of	at1	jj	nn1	io
21	a	tiny	handful	of	at1	jj	nn1	io
32	a	tiny	hole	in	at1	jj	nn1	ii
16	a	tiny	island	in	at1	jj	nn1	ii
12	a	tiny	little	bit	at1	jj	jj	nn1
30	a	tiny	minority	of	at1	jj	nn1	io
21	a	tiny	number	of	at1	jj	nn1	io
54	a	tiny	part	of	at1	jj	nn1	io
15	a	tiny	patch	of	at1	jj	nn1	io
57	a	tiny	percentage	of	at1	jj	nn1	io
73	a	tiny	piece	of	at1	jj	nn1	io
46	a	tiny	portion	of	at1	jj	nn1	io
18	a	tiny	proportion	of	at1	jj	nn1	io
20	a	tiny	slice	of	at1	jj	nn1	io
20	a	tiny	sliver	of	at1	jj	nn1	io
21	a	tiny	town	in	at1	jj	nn1	ii
21	a	tiny	village	in	at1	jj	nn1	ii
18	a	tiny	woman	with	at1	jj	nn1	iw
20	a	toll-free	number	for	at1	jj	nn1	if
13	a	toll-free	number	to	at1	jj	nn1	to
18	a	toll-free	telephone	number	at1	jj	nn1	nn1
26	a	top	adviser	to	at1	jj	nn1	ii
66	a	top	aide	to	at1	jj	nn1	ii
12	a	top	concern	for	at1	jj	nn1	if
27	a	top	executive	at	at1	jj	nn1	ii
12	a	top	executive	of	at1	jj	nn1	io
24	a	top	hat	and	at1	jj	nn1	cc
15	a	top	official	at	at1	jj	nn1	ii
20	a	top	official	in	at1	jj	nn1	ii
26	a	top	official	of	at1	jj	nn1	io
81	a	top	priority	for	at1	jj	nn1	if
31	a	top	priority	in	at1	jj	nn1	ii
35	a	top	priority	of	at1	jj	nn1	io
25	a	top	rate	of	at1	jj	nn1	io
118	a	top	speed	of	at1	jj	nn1	io
13	a	top-to-bottom	review	of	at1	jj	nn1	io
34	a	torn	anterior	cruciate	at1	jj	jj	nn1
18	a	torn	knee	ligament	at1	jj	nn1	nn1
18	a	torn	ligament	in	at1	jj	nn1	ii
19	a	torn	rotator	cuff	at1	jj	nn1	nn1
16	a	total	absence	of	at1	jj	nn1	io
48	a	total	ban	on	at1	jj	nn1	ii
12	a	total	budget	of	at1	jj	nn1	io
16	a	total	capacity	of	at1	jj	nn1	io
61	a	total	cost	of	at1	jj	nn1	io
25	a	total	eclipse	of	at1	jj	nn1	io
16	a	total	enrollment	of	at1	jj	nn1	io
79	a	total	lack	of	at1	jj	nn1	io
22	a	total	loss	of	at1	jj	nn1	io
15	a	total	lunar	eclipse	at1	jj	jj	nn1
23	a	total	number	of	at1	jj	nn1	io
80	a	total	population	of	at1	jj	nn1	io
87	a	total	return	of	at1	jj	nn1	io
14	a	total	score	of	at1	jj	nn1	io
42	a	total	solar	eclipse	at1	jj	jj	nn1
14	a	total	surprise	to	at1	jj	nn1	ii
21	a	total	value	of	at1	jj	nn1	io
27	a	total	waste	of	at1	jj	nn1	io
45	a	tough	act	to	at1	jj	nn1	to
14	a	tough	balancing	act	at1	jj	nn1	nn1
24	a	tough	day	for	at1	jj	nnt1	if
12	a	tough	decision	for	at1	jj	nn1	if
21	a	tough	decision	to	at1	jj	nn1	to
15	a	tough	guy	and	at1	jj	nn1	cc
16	a	tough	guy	to	at1	jj	nn1	to
21	a	tough	nut	to	at1	jj	nn1	to
15	a	tough	old	bird	at1	jj	jj	nn1
40	a	tough	place	to	at1	jj	nn1	to
19	a	tough	question	to	at1	jj	nn1	to
12	a	tough	road	ahead	at1	jj	nn1	rl
12	a	tough	road	to	at1	jj	nn1	to
16	a	tough	row	to	at1	jj	nn1	to
17	a	tough	situation	for	at1	jj	nn1	if
60	a	tough	thing	to	at1	jj	nn1	to
12	a	tough	time	dealing	at1	jj	nnt1	vvg
26	a	tough	time	finding	at1	jj	nnt1	vvg
52	a	tough	time	for	at1	jj	nnt1	if
59	a	tough	time	getting	at1	jj	nnt1	vvg
37	a	tough	time	in	at1	jj	nnt1	ii
12	a	tough	time	keeping	at1	jj	nnt1	vvg
17	a	tough	time	making	at1	jj	nnt1	vvg
16	a	tough	time	of	at1	jj	nnt1	io
16	a	tough	time	to	at1	jj	nnt1	to
40	a	tough	time	with	at1	jj	nnt1	iw
22	a	tough	way	to	at1	jj	nn1	to
16	a	tough	week	for	at1	jj	nnt1	if
40	a	tough	year	for	at1	jj	nnt1	if
27	a	toxic	waste	dump	at1	jj	nn1	nn1
14	a	toxic	waste	site	at1	jj	nn1	nn1
16	a	traditional	approach	to	at1	jj	nn1	ii
14	a	traditional	form	of	at1	jj	nn1	io
13	a	traditional	pension	plan	at1	jj	nn1	nn1
13	a	traditional	symbol	of	at1	jj	nn1	io
24	a	traditional	way	of	at1	jj	nn1	io
16	a	transparent	attempt	to	at1	jj	nn1	to
23	a	traumatic	brain	injury	at1	jj	nn1	nn1
18	a	tremendous	ability	to	at1	jj	nn1	to
13	a	tremendous	amount	about	at1	jj	nn1	ii
1028	a	tremendous	amount	of	at1	jj	nn1	io
15	A	tremendous	amount	of	at1	jj	nn1	io
13	a	tremendous	amount	to	at1	jj	nn1	to
12	a	tremendous	blow	to	at1	jj	nn1	ii
18	a	tremendous	burden	on	at1	jj	nn1	ii
12	a	tremendous	change	in	at1	jj	nn1	ii
12	a	tremendous	demand	for	at1	jj	nn1	if
24	a	tremendous	difference	in	at1	jj	nn1	ii
26	a	tremendous	effect	on	at1	jj	nn1	ii
14	a	tremendous	effort	to	at1	jj	nn1	to
98	a	tremendous	impact	on	at1	jj	nn1	ii
44	a	tremendous	increase	in	at1	jj	nn1	ii
31	a	tremendous	influence	on	at1	jj	nn1	ii
20	a	tremendous	interest	in	at1	jj	nn1	ii
14	a	tremendous	job	in	at1	jj	nn1	ii
18	a	tremendous	job	of	at1	jj	nn1	io
15	a	tremendous	loss	of	at1	jj	nn1	io
87	a	tremendous	number	of	at1	jj	nn1	io
34	a	tremendous	opportunity	for	at1	jj	nn1	if
32	a	tremendous	opportunity	to	at1	jj	nn1	to
12	a	tremendous	range	of	at1	jj	nn1	io
16	a	tremendous	respect	for	at1	jj	nn1	if
92	a	tremendous	sense	of	at1	jj	nn1	io
15	a	tremendous	source	of	at1	jj	nn1	io
15	a	tremendous	strain	on	at1	jj	nn1	ii
12	a	tremendous	toll	on	at1	jj	nn1	ii
16	a	tremendous	variety	of	at1	jj	nn1	io
18	a	triumphant	return	to	at1	jj	nn1	ii
12	a	tropical	depression	on	at1	jj	nn1	ii
23	a	tropical	rain	forest	at1	jj	nn1	nn1
12	a	troubled	relationship	with	at1	jj	nn1	iw
13	a	troubled	young	man	at1	jj	jj	nn1
13	a	true	account	of	at1	jj	nn1	io
15	a	true	American	hero	at1	jj	jj	nn1
50	a	true	believer	in	at1	jj	nn1	ii
14	a	true	measure	of	at1	jj	nn1	io
41	a	true	picture	of	at1	jj	nn1	io
24	a	true	reflection	of	at1	jj	nn1	io
15	a	true	representation	of	at1	jj	nn1	io
41	a	true	sense	of	at1	jj	nn1	io
36	a	true	story	about	at1	jj	nn1	ii
21	a	true	story	of	at1	jj	nn1	io
22	a	true	test	of	at1	jj	nn1	io
32	a	true	understanding	of	at1	jj	nn1	io
15	a	trusted	friend	or	at1	jj	nn1	cc
17	a	trusting	relationship	with	at1	jj	nn1	iw
166	a	turning	point	for	at1	jj	nn1	if
374	a	turning	point	in	at1	jj	nn1	ii
14	A	turning	point	in	at1	jj	nn1	ii
14	a	turning	point	of	at1	jj	nn1	io
18	a	turning	point	that	at1	jj	nn1	cst
32	a	two-bedroom	apartment	in	at1	jj	nn1	ii
46	a	two-hour	drive	from	at1	jj	nn1	ii
14	a	two-mile	time	of	at1	jj	nnt1	io
15	a	two-part	series	on	at1	jj	nn	ii
16	a	two-run	double	in	at1	jj	nn1	ii
12	a	two-run	home	run	at1	jj	nn1	vvn
17	a	two-run	homer	and	at1	jj	nn1	cc
36	a	two-run	homer	in	at1	jj	nn1	ii
14	a	two-run	homer	to	at1	jj	nn1	ii
17	a	two-state	solution	to	at1	jj	nn1	ii
12	a	two-story	brick	house	at1	jj	nn1	nn1
12	a	two-story	house	on	at1	jj	nn1	ii
15	A	two-way	analysis	of	at1	jj	nn1	io
12	a	two-way	analysis	of	at1	jj	nn1	io
14	a	two-week	trip	to	at1	jj	nn1	ii
17	a	two-year	contract	extension	at1	jj	nn1	nn1
14	a	two-year	contract	with	at1	jj	nn1	iw
13	a	two-year	moratorium	on	at1	jj	nn1	ii
17	a	two-year	stint	in	at1	jj	nn1	ii
12	a	two-year	study	of	at1	jj	nn1	io
17	a	typical	day	at	at1	jj	nnt1	ii
19	a	typical	day	in	at1	jj	nnt1	ii
12	A	typical	example	is	at1	jj	nn1	vbz
39	a	typical	example	of	at1	jj	nn1	io
14	a	typical	high	school	at1	jj	jj	nn1
12	a	typical	summer	day	at1	jj	nnt1	nnt1
12	a	very	talented	guy	at1	rg	jj	nn1
12	a	very	talented	man	at1	rg	jj	nn1
15	a	very	tall	man	at1	rg	jj	nn1
12	a	very	tall	order	at1	rg	jj	nn1
16	a	very	tense	situation	at1	rg	jj	nn1
25	a	very	tight	race	at1	rg	jj	nn1
14	a	very	touchy	subject	at1	rg	jj	nn1
12	a	very	tough	call	at1	rg	jj	nn1
19	a	very	tough	decision	at1	rg	jj	nn1
12	a	very	tough	fight	at1	rg	jj	nn1
18	a	very	tough	job	at1	rg	jj	nn1
20	a	very	tough	situation	at1	rg	jj	nn1
17	a	very	tough	thing	at1	rg	jj	nn1
51	a	very	tough	time	at1	rg	jj	nnt1
14	a	very	traumatic	experience	at1	rg	jj	nn1
28	about	a	two-hour	drive	ii	at1	jj	nn1
22	about	sexually	transmitted	diseases	ii	rr	jj	nn2
12	about	the	terrorist	attacks	ii	at	jj	nn2
26	about	the	true	nature	ii	at	jj	nn1
19	Absolutely	True	Diary	of	rr	jj	nn1	io
16	academically	talented	students	with	rr	jj	nn2	iw
15	after	the	terrorist	attack	ii	at	jj	nn1
105	after	the	terrorist	attacks	ii	at	jj	nn2
17	After	the	terrorist	attacks	cs	at	jj	nn2
14	after	the	terrorist	attacks	cs	at	jj	nn2
16	against	sexually	transmitted	diseases	ii	rr	jj	nn2
83	Agency	for	Toxic	Substances	nn1	if	jj	nn2
26	al	Qaeda	terrorist	network	np1	np1	jj	nn1
33	all	the	terrible	things	db	at	jj	nn2
16	all	these	terrible	things	db	dd2	jj	nn2
16	almost	total	absence	of	rr	jj	nn1	io
26	almost	total	lack	of	rr	jj	nn1	io
16	along	the	top	edge	ii	at	jj	nn1
21	American	people	are	tired	jj	nn	vbr	jj
12	and	a	teenage	boy	cc	at1	jj	nn1
15	and	a	tiny	bit	cc	at1	jj	nn1
12	and	a	tremendous	amount	cc	at1	jj	nn1
13	and	discard	tough	ends	cc	vv0	jj	nn2
16	and	her	teenage	daughter	cc	appge	jj	nn1
26	and	his	top	advisers	cc	appge	jj	nn2
44	and	his	top	aides	cc	appge	jj	nn2
15	and	his	top	lieutenants	cc	appge	jj	nn2
27	and	other	terrorist	groups	cc	jj	jj	nn2
22	and	other	top	executives	cc	jj	jj	nn2
32	and	other	top	officials	cc	jj	jj	nn2
14	and	sexually	transmitted	disease	cc	rr	jj	nn1
56	and	sexually	transmitted	diseases	cc	rr	jj	nn2
29	and	talented	Black	students	cc	jj	jj	nn2
14	and	talented	children	are	cc	jj	nn2	vbr
14	and	technical	assistance	from	cc	jj	nn1	ii
37	and	technical	assistance	to	cc	jj	nn1	ii
12	and	Territorial	Health	Officials	cc	jj	nn1	nn2
29	and	territorial	integrity	of	cc	jj	nn1	io
14	and	the	terrorist	attacks	cc	at	jj	nn2
12	and	the	total	cost	cc	at	jj	nn1
48	and	the	total	number	cc	at	jj	nn1
13	and	the	total	score	cc	at	jj	nn1
13	and	their	terrorist	allies	cc	appge	jj	nn2
17	and	total	number	of	cc	jj	nn1	io
16	another	terrorist	attack	on	dd1	jj	nn1	ii
14	are	tough	times	for	vbr	jj	nnt2	if
17	are	under	tremendous	pressure	vbr	rg	jj	nn1
13	as	a	teachable	moment	ii	at1	jj	nn1
12	as	a	technical	adviser	ii	at1	jj	nn1
20	as	a	temporary	measure	ii	at1	jj	nn1
19	as	a	terrorist	group	ii	at1	jj	nn1
37	as	a	terrorist	organization	ii	at1	jj	nn1
16	as	a	theoretical	framework	ii	at1	jj	nn1
24	as	a	third-party	candidate	ii	at1	jj	nn1
30	as	a	threatened	species	ii	at1	jj	nn
16	as	a	tight	end	ii	at1	jj	nn1
12	as	a	top	aide	ii	at1	jj	nn1
35	as	a	top	priority	ii	at1	jj	nn1
15	as	a	total	surprise	ii	at1	jj	nn1
12	as	a	tough	guy	ii	at1	jj	nn1
24	as	a	true	freshman	ii	at1	jj	nn1
66	as	a	turning	point	ii	at1	jj	nn1
33	ask	the	tough	questions	vvi	at	jj	nn2
12	asking	the	tough	questions	vvg	at	jj	nn2
14	at	a	tender	age	ii	at1	jj	nn1
12	at	a	terrible	price	ii	at1	jj	nn1
43	at	a	total	cost	ii	at1	jj	nn1
17	at	a	total	loss	ii	at1	jj	nn1
16	at	a	tremendous	rate	ii	at1	jj	nn1
72	at	a	turning	point	ii	at1	jj	nn1
16	at	a	two-year	college	ii	at1	jj	nn1
19	at	our	top	stories	ii	appge	jj	nn2
19	at	the	tactical	level	ii	at	jj	nn1
15	at	the	Tattered	Cover	ii	at	jj	nn1
80	at	the	tender	age	ii	at	jj	nn1
20	At	the	tender	age	ii	at	jj	nn1
56	at	the	top	end	ii	at	jj	nn1
14	at	the	top	floor	ii	at	jj	nn1
41	at	the	top	level	ii	at	jj	nn1
39	at	the	top	levels	ii	at	jj	nn2
16	at	the	top	right	ii	at	jj	nn1
24	at	the	top	stories	ii	at	jj	nn2
24	be	a	tall	order	vbi	at1	jj	nn1
35	be	a	terrible	mistake	vbi	at1	jj	nn1
36	be	a	terrible	thing	vbi	at1	jj	nn1
13	be	a	terrorist	attack	vbi	at1	jj	nn1
12	be	a	tight	race	vbi	at1	jj	nn1
57	be	a	top	priority	vbi	at1	jj	nn1
14	be	a	total	loss	vbi	at1	jj	nn1
13	be	a	tough	fight	vbi	at1	jj	nn1
22	be	a	tough	guy	vbi	at1	jj	nn1
34	be	a	tough	sell	vbi	at1	jj	nn1
12	be	a	tough	time	vbi	at1	jj	nnt1
20	be	a	tough	year	vbi	at1	jj	nnt1
83	be	a	turning	point	vbi	at1	jj	nn1
14	be	a	two-way	street	vbi	at1	jj	nn1
13	be	in	top	form	vbi	ii	jj	nn1
33	be	the	top	priority	vbi	at	jj	nn1
16	been	a	terrible	mistake	vbn	at1	jj	nn1
17	been	a	top	priority	vbn	at1	jj	nn1
16	been	a	tough	day	vbn	at1	jj	nnt1
12	been	a	tough	road	vbn	at1	jj	nn1
16	been	a	tough	time	vbn	at1	jj	nnt1
16	been	a	tough	week	vbn	at1	jj	nnt1
21	been	a	tough	year	vbn	at1	jj	nnt1
23	been	a	tremendous	amount	vbn	at1	jj	nn1
12	been	a	tremendous	success	vbn	at1	jj	nn1
13	been	a	turning	point	vbn	at1	jj	nn1
25	before	the	terrorist	attacks	ii	at	jj	nn2
22	billion	in	three-month	bills	m	ii	jj	nn2
13	boiling	water	until	tender	jj	nn1	cs	jj
28	Bridge	Over	Troubled	Water	nn1	ii	jj	nn1
31	brief	typed	article	to	jj	jj	nn1	ii
31	bringing	the	total	number	vvg	at	jj	nn1
14	brings	the	total	number	vvz	at	jj	nn1
14	busy	taking	care	of	jj	jj	nn1	io
15	by	a	thin	layer	ii	at1	jj	nn1
14	by	a	three-judge	panel	ii	at1	jj	nn1
14	by	a	tidal	wave	ii	at1	jj	nn1
30	by	the	terrorist	attacks	ii	at	jj	nn2
119	by	the	total	number	ii	at	jj	nn1
12	by	the	Turkish	government	ii	at	jj	nn1
13	call	a	toll-free	number	vvi	at1	jj	nn1
21	Campaign	for	Tobacco-Free	Kids	nn1	if	jj	nn2
29	Career	and	Technical	Education	nn1	cc	jj	nn1
14	career	and	technical	education	nn1	cc	jj	nn1
23	Catholic	Theological	Society	of	jj	jj	nn1	io
13	Center	for	Transitional	Justice	nn1	if	jj	nn1
46	CLOCKWISE	FROM	TOP	RIGHT	rr	ii	jj	nn1
21	clockwise	from	top	right	rr	ii	jj	nn1
13	Clockwise	from	top	right	rr	ii	jj	nn1
20	college	or	technical	school	nn1	cc	jj	nn1
12	community	and	technical	college	nn1	cc	jj	nn1
21	community	and	technical	colleges	nn1	cc	jj	nn2
12	Community	and	Technical	Colleges	nn1	cc	jj	nn2
12	conduct	a	thorough	investigation	vvi	at1	jj	nn1
18	consistency	and	test-retest	reliability	nn1	cc	jj	nn1
12	cup	chopped	toasted	pecans	nn1	vvd	jj	nn2
26	cup	toasted	pine	nuts	nn1	jj	nn1	nn2
33	cut	into	thin	slices	vvn	ii	jj	nn2
113	cut	into	thin	strips	vvn	ii	jj	nn2
14	cut	into	thin	wedges	vvn	ii	jj	nn2
14	Dating	My	Teenage	Daughter	vvg	appge	jj	nn1
17	Describe	your	top	priorities	vv0	appge	jj	nn2
13	diagnosed	with	terminal	cancer	vvn	iw	jj	nn1
15	diagnosed	with	testicular	cancer	vvn	iw	jj	nn1
12	did	a	terrible	job	vdd	at1	jj	nn1
17	did	a	terrible	thing	vdd	at1	jj	nn1
57	did	a	terrific	job	vdd	at1	jj	nn1
20	did	a	tremendous	job	vdd	at1	jj	nn1
13	discard	tough	ends	of	vv0	jj	nn2	io
16	dividing	the	total	number	vvg	at	jj	nn1
12	do	a	terrific	job	vd0	at1	jj	nn1
13	do	n't	think-	Mr.	vd0	xx	jj	nnb
12	doing	a	terrible	job	vdg	at1	jj	nn1
29	doing	a	terrific	job	vdg	at1	jj	nn1
12	doing	a	tremendous	amount	vdg	at1	jj	nn1
12	doing	a	tremendous	job	vdg	at1	jj	nn1
18	done	a	terrible	job	vdn	at1	jj	nn1
15	done	a	terrible	thing	vdn	at1	jj	nn1
47	done	a	terrific	job	vdn	at1	jj	nn1
15	done	a	tremendous	amount	vdn	at1	jj	nn1
44	done	a	tremendous	job	vdn	at1	jj	nn1
12	done	some	terrible	things	vdn	dd	jj	nn2
14	during	a	two-week	period	ii	at1	jj	nn1
24	during	the	teenage	years	ii	at	jj	nnt2
18	during	the	transitional	period	ii	at	jj	nn1
13	during	the	two-week	period	ii	at	jj	nn1
13	excursion	into	televised	broadcast	nn1	ii	jj	nn1
23	existence	for	three-year	measurement	nn1	if	jj	nn1
19	exposure	to	toxic	chemicals	nn1	ii	jj	nn2
12	favoring	technical	information	inquiry	vvg	jj	nn1	nn1
14	federal	Agency	for	Toxic	jj	nn1	if	jj
13	Federally	Administered	Tribal	Areas	np1	vvd	jj	nn2
36	financial	and	technical	assistance	jj	cc	jj	nn1
12	financial	and	technical	support	jj	cc	jj	nn1
14	following	the	terrorist	attacks	vvg	at	jj	nn2
26	for	a	terrorist	attack	if	at1	jj	nn1
12	for	a	total	ban	if	at1	jj	nn1
14	for	a	total	cost	if	at1	jj	nn1
28	for	a	total	return	if	at1	jj	nn1
14	for	a	two-point	conversion	if	at1	jj	nn1
20	for	a	two-state	solution	if	at1	jj	nn1
15	for	a	two-stroke	victory	if	at1	jj	nn1
17	for	a	two-year	period	if	at1	jj	nn1
13	for	a	two-year	term	if	at1	jj	nn1
